"trt.list","lim.list","cID.list","tm.list","strain.list","band.list","range.list","min.list","max.list","mean.list","mode.list"
"A","A",NA,"0","101-7803-A",8,30.5,15.81,46.31,28.50875,"numeric"
"T","N",4,"21","104-21N2S1",6,45.73,15.35,61.08,32.13,"numeric"
"T","N",4,"21","105-21N2S3",11,38.5,15.81,54.31,31.5636363636364,"numeric"
"T","N",4,"21","106-21N2S5",11,44.07,16.39,60.46,32.4236363636364,"numeric"
"T","N",5,"21","107-21N3S2",11,47.08,18.3,65.38,32.2390909090909,"numeric"
"T","N",5,"21","108-21N3S3",8,51.14,17.94,69.08,33.72375,"numeric"
"C","P",10,"1","103-01P5S1",4,24.64,15.69,40.33,24.8275,"numeric"
"T","N",6,"21","112-21N5S5",7,49.89,15.24,65.13,31.7271428571429,"numeric"
"T","P",7,"21","114-21P2S2",10,61.77,17.11,78.88,43.113,"numeric"
"T","P",9,"21","117-21P4S3",10,53.73,16.4,70.13,40.918,"numeric"
"T","P",9,"21","118-21P4S5",13,63.19,14.44,77.63,40.2346153846154,"numeric"
"T","P",10,"21","119-21P5S1",6,25.15,18.1,43.25,30.5583333333333,"numeric"
"T","P",10,"21","120-21P5S3",5,24.02,19.23,43.25,29.554,"numeric"
"T","N",6,"19","209-19N5S2",9,64.15,17.05,81.2,38.5733333333333,"numeric"
"T","N",4,"19","210-19N2S1",4,23.27,18.73,42,33.8375,"numeric"
"T","N",5,"21","109-21N3S4",12,40.45,16.88,57.33,31.8475,"numeric"
"T","P",7,"21","113-21P2S1",14,48.48,15.95,64.43,40.445,"numeric"
"T","P",7,"21","115-21P2S4",12,53.81,16.23,70.04,42.3208333333333,"numeric"
"T","P",9,"21","116-21P4S2",14,49.79,16.88,66.67,41.7742857142857,"numeric"
"T","P",7,"19","214-19P2S2",10,40.81,15.77,56.58,34.836,"numeric"
"C","N",4,"1","216-01N2S3",6,52.31,21.09,73.4,38.6416666666667,"numeric"
"C","P",9,"1","221-01P4S5",2,10.24,18.68,28.92,23.8,"numeric"
"C","N",4,"1","223-01N2S4",3,9.98,18.85,28.83,24.94,"numeric"
"C","N",6,"1","224-01N5S4",4,11.4,17.26,28.66,22.8925,"numeric"
"T","N",6,"19","225-19N5S1",13,31.5,17.43,48.93,31.0553846153846,"numeric"
"T","N",5,"19","226-19N3S2",6,27.47,17.36,44.83,29.6383333333333,"numeric"
"T","N",5,"19","227-19N3S5",10,44.66,17.5,62.16,38.442,"numeric"
"C","N",6,"1","228-01N5S2",2,9.64,19.36,29,24.18,"numeric"
"T","P",9,"19","229-19P4S3",13,59.1,19.12,78.22,37.3615384615385,"numeric"
"A","A",2,"0","231-8101-A",3,12.63,16.29,28.92,20.95,"numeric"
"A","A",2,"0","232-7803R8",18,52.56,19.36,71.92,43.6483333333333,"numeric"
"A","A",2,"0","233-7803R8R21",11,46.22,18.54,64.76,41.8763636363636,"numeric"
"C","N",4,"1","235-01N2S1",2,9.56,19.26,28.82,24.04,"numeric"
"C","N",5,"1","236-01N3S3",2,9.83,19.17,29,24.085,"numeric"
"T","P",10,"19","237-19P5S5",2,3.88,19.26,23.14,21.2,"numeric"
"T","P",10,"19","244-19P5S3",6,26.29,19.13,45.42,31.16,"numeric"
"T","P",9,"19","248-19P4S5",6,25.48,17.2,42.68,28.255,"numeric"
"T","N",5,"19","245-19N3S4",10,40.84,17.46,58.3,32.418,"numeric"
"C","P",10,"1","250-01P5S5",12,49.97,17.22,67.19,33.1558333333333,"numeric"
"T","N",4,"19","251-19N2S5",15,59.43,16.15,75.58,32.5986666666667,"numeric"
"C","P",7,"1","234-01P2S4",8,31.21,17.26,48.47,30.02375,"numeric"
"C","N",5,"1","239-01N3S4",6,25.63,17.55,43.18,31.185,"numeric"
"C","P",7,"1","240-01P2S1",10,30.85,17.33,48.18,31.642,"numeric"
"C","P",9,"1","252-01P4S4",8,29.75,16.96,46.71,30.17875,"numeric"
"C","N",5,"1","258-01N3S2",12,51.66,16.81,68.47,33.5383333333333,"numeric"
"C","P",7,"1","249-01P2S2",12,39.95,14.63,54.58,30.9641666666667,"numeric"
"T","P",10,"19","255-19P5S1",17,59.68,17.83,77.51,39.9823529411765,"numeric"
"T","P",7,"19","256-19P2S4",19,65.46,14.74,80.2,39.5057894736842,"numeric"
"T","P",7,"19","257-19P2S1",17,61.1,16.86,77.96,39.7541176470588,"numeric"
