	1: CandyCane			2: 57-19P2S1			3: 5-19P2S4			4: 56-19P2S4			5: 7-19P5S1			6: 55-19P5S1			7: 22-19P5S5			8: 37-19P5S5			9: 49-01P2S2			10: e.coli			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	387.71	0.2626	95.48	70.81	0.0179	18.38	46.31	1.0000	100.4 	115.30	0.0120	19   	20.44	1.0000	99.08	45.59	0.0076	18.94	18.32	1.0000	102.7 	8.0048	0.0065	54.58	121.44	0.0453	67.62	75.28	0.1014	
2	42   	650.33	0.5338	91.44	92.07	0.0240				95.48	200.35	0.0299				92.34	96.48	0.0153				93.69	39.55	0.0200	47.39	271.26	0.0842	61.78	139.15	0.2044	
3	29   	41.36	0.0318	87.39	149.33	0.0372				89.19	387.97	0.0485				83.35	250.66	0.0484				89.19	61.32	0.0206	41.21	225.19	0.0742	55.93	176.02	0.2636	
4	18   	42.58	0.0249	82.45	206.65	0.0528				84.25	528.02	0.0575				77.51	333.43	0.0651				85.15	98.02	0.0629	38.32	68.32	0.0142	49.64	153.87	0.2203	
5	14   	301.10	0.1469	77.96	256.94	0.0640				80.2 	603.70	0.0774				72.11	338.14	0.0811				79.75	137.95	0.1001	34.91	136.66	0.0524	42.9 	92.72	0.1340	
6				72.56	232.29	0.0556				74.81	567.95	0.0719				66.27	299.91	0.0650				73.91	138.95	0.0923	30.97	80.20	0.0246	40.29	42.57	0.0523	
7				66.72	167.67	0.0402				69.87	455.00	0.0557				59.98	264.73	0.0584				68.07	109.96	0.0768	27.19	666.47	0.3803	38.19	18.41	0.0179	
8				60.43	98.07	0.0249				63.57	300.62	0.0326				53.24	220.62	0.0509				61.78	89.04	0.0589	24.25	156.89	0.0553	35.83	4.2312	0.0060	
9				54.13	62.48	0.0159				56.83	181.42	0.0244				46.04	168.56	0.0370				54.58	62.28	0.0417	22.25	201.53	0.1023				
10				47.39	45.91	0.0118				50.54	123.04	0.0163				40.95	81.57	0.0180				47.39	40.51	0.0261	18.38	708.73	0.1284				
11				41.34	46.41	0.0124				42.45	71.40	0.0102				38.19	50.81	0.0109				41.08	12.98	0.0067	17.49	182.50	0.0326				
12				38.98	32.93	0.0088				39.51	87.14	0.0114				33.73	48.82	0.0157				27.94	49.15	0.0355	14.63	24.07	0.0061				
13				33.6 	34.12	0.0160				37.27	110.31	0.0191				30.84	82.12	0.0223				26.31	21.13	0.0122							
14				29   	43.13	0.0192				33.73	110.36	0.0129				27.69	307.18	0.0972				24.44	58.26	0.0396							
15				26.75	195.17	0.0847				29.79	189.96	0.0336				26.25	100.54	0.0124				23   	96.13	0.0266							
16				25.94	122.55	0.0435				26.94	499.25	0.1148				24.5 	188.20	0.0561				22.38	160.51	0.1422							
17				23.38	125.74	0.0590				25.56	166.36	0.0126				23.19	252.44	0.0609				18.88	298.62	0.2219							
18				21.88	187.43	0.0499				24   	312.03	0.0685				22.44	333.14	0.0954				17.83	26.26	0.0097							
19				21.13	231.78	0.0577				22.81	338.58	0.0490				18.94	590.45	0.1717													
20				17.77	464.35	0.2122				22   	453.01	0.0881				17.83	85.52	0.0106													
21				16.86	216.81	0.0923				18.5 	673.47	0.1430																			
22										17.49	121.65	0.0097																			
23										14.74	9.2727	0.0008																			
