"batch","lps.sample","gel.date","gel","gel.id","lane","sample.type.x","sample.type.y","strain","strain.id","trt","lim","cID","tm.pt"
"2","45",20160413,4,"20160413-gel4","6","syn","syn","19N3S4","245-19N3S4","T","N","N3",19
"2","45",20160420,1,"20160420-gel1","8","syn","syn","19N3S4","245-19N3S4","T","N","N3",19
"2","46",20160413,4,"20160413-gel4","7","syn","syn","19N1S2","246-19N1S2","C","N","N1",19
"2","47",20160413,4,"20160413-gel4","8","syn","syn","05P4S1","247-05P4S1","T","P","P4",5
"2","48",20160413,4,"20160413-gel4","9","syn","syn","19P4S5","248-19P4S5","T","P","P4",19
"2","49",20160420,3,"20160420-gel3","9","syn","syn","01P2S2","249-01P2S2","C","P","P2",1
"2","5",20160420,3,"20160420-gel3","3","syn","syn","19P2S4","205-19P2S4","T","P","P2",19
"2","5",20150525,2,"20150525-gel2","7","syn","syn","19P2S4","205-19P2S4","T","P","P2",19
"2","50",20160420,1,"20160420-gel1","3","syn","syn","01P5S5","250-01P5S5","C","P","P5",1
"2","51",20160420,1,"20160420-gel1","6","syn","syn","19N2S5","251-19N2S5","T","N","N2",19
"2","52",20160420,2,"20160420-gel2","9","syn","syn","01P4S4","252-01P4S4","C","P","P4",1
"2","55",20160420,3,"20160420-gel3","6","syn","syn","19P5S1","255-19P5S1","T","P","P5",19
"2","56",20160420,3,"20160420-gel3","4","syn","syn","19P2S4","256-19P2S4","T","P","P2",19
"2","57",20160420,3,"20160420-gel3","2","syn","syn","19P2S1","257-19P2S1","T","P","P2",19
"2","58",20160420,2,"20160420-gel2","3","syn","syn","01N3S2","258-01N3S2","C","N","N3",1
"2","6",20150525,2,"20150525-gel2","8","syn","syn","19P5S3","206-19P5S3","T","P","P5",19
"2","7",20160420,3,"20160420-gel3","5","syn","syn","19P5S1","207-19P5S1","T","P","P5",19
"2","7",20150525,2,"20150525-gel2","9","syn","syn","19P5S1","207-19P5S1","T","P","P5",19
"2","8",20150525,2,"20150525-gel2","10","syn","syn","01P2S1","208-01P2S1","C","P","P2",1
"2","8",20160420,2,"20160420-gel2","6","syn","syn","01P2S1","208-01P2S1","C","P","P2",1
"2","9",20150525,2,"20150525-gel2","11","syn","syn","19N5S2","209-19N5S2","T","N","N5",19
"MW","MW",20160413,2,"20160413-gel2","1","MW","MW","","","","","",NA
"MW","MW",20150114,1,"20150114-gel1","1","MW","MW","","","","","",NA
"MW","MW",20160413,1,"20160413-gel1","1","MW","MW","","","","","",NA
"MW","MW",20160420,2,"20160420-gel2","1","MW","MW","","","","","",NA
"MW","MW",20150129,1,"20150129-gel1","1","MW","MW","","","","","",NA
"MW","MW",20150129,1,"20150129-gel1","2","MW","MW","","","","","",NA
"MW","MW",20150525,1,"20150525-gel1","1","MW","MW","","","","","",NA
"MW","MW",20150129,2,"20150129-gel2","1","MW","MW","","","","","",NA
"MW","MW",20150525,3,"20150525-gel3","1","MW","MW","","","","","",NA
"MW","MW",20150525,2,"20150525-gel2","1","MW","MW","","","","","",NA
"MW","MW",20160420,3,"20160420-gel3","1","MW","MW","","","","","",NA
"MW","MW",20160425,1,"20160425-gel1","1","MW","MW","","","","","",NA
"MW","MW",20150129,2,"20150129-gel2","2","MW","MW","","","","","",NA
"MW","MW",20160413,4,"20160413-gel4","1","MW","MW","","","","","",NA
"MW","MW",20160413,4,"20160413-gel4","1","MW","MW","","","","","",NA
"MW","MW",20160413,3,"20160413-gel3","1","MW","MW","","","","","",NA
"std","EcoliR",20150114,1,"20150114-gel1","2","std","std","","","","","",NA
"std","EcoliR",20160413,1,"20160413-gel1","10","std","std","","","","","",NA
"std","EcoliR",20160420,1,"20160420-gel1","10","std","std","","","","","",NA
"std","EcoliR",20150129,1,"20150129-gel1","3","std","std","","","","","",NA
"std","EcoliR",20160413,2,"20160413-gel2","10","std","std","","","","","",NA
"std","EcoliR",20160413,4,"20160413-gel4","10","std","std","","","","","",NA
"std","EcoliR",20150525,3,"20150525-gel3","2","std","std","","","","","",NA
"std","EcoliR",20150525,2,"20150525-gel2","2","std","std","","","","","",NA
"std","EcoliR",20160420,3,"20160420-gel3","10","std","std","","","","","",NA
"std","EcoliR",20150525,1,"20150525-gel1","2","std","std","","","","","",NA
"std","EcoliR",20160420,2,"20160420-gel2","10","std","std","","","","","",NA
"std","EcoliR",20150129,2,"20150129-gel2","3","std","std","","","","","",NA
"std","EcoliR",20160413,3,"20160413-gel3","10","std","std","","","","","",NA
"std","EcoliR",20160425,1,"20160425-gel1","11","std","std","","","","","",NA
"std","EcoliSm",20150114,1,"20150114-gel1","3","std","std","","","","","",NA
"std","EcoliSm",20150129,1,"20150129-gel1","4","std","std","","","","","",NA
"std","EcoliSm",20150129,2,"20150129-gel2","4","std","std","","","","","",NA
