"batch","lps.sample","gel.date","gel","gel.id","lane","sample.type.x","sample.type.y","strain","strain.id","trt","lim","cID","tm.pt"
"1","1",20150114,1,"20150114-gel1","4","syn","syn","7803-A","101-7803-A","A","A",NA,0
"1","1",20150525,1,"20150525-gel1","3","syn","syn","7803-A","101-7803-A","A","A",NA,0
"1","1",20160425,1,"20160425-gel1","4","syn","syn","7803-A","101-7803-A","A","A",NA,0
"1","10",20150129,1,"20150129-gel1","6","syn","syn","21N5S1","110-21N5S1","T","N","N5",21
"1","11",20150129,1,"20150129-gel1","7","syn","syn","21N5S4","111-21N5S4","T","N","N5",21
"1","12",20150525,1,"20150525-gel1","6","syn","syn","21N5S5","112-21N5S5","T","N","N5",21
"1","12",20160425,1,"20160425-gel1","7","syn","syn","21N5S5","112-21N5S5","T","N","N5",21
"1","12",20150129,1,"20150129-gel1","8","syn","syn","21N5S5","112-21N5S5","T","N","N5",21
"1","13",20150129,1,"20150129-gel1","9","syn","syn","21P2S1","113-21P2S1","T","P","P2",21
"1","13",20150525,3,"20150525-gel3","9","syn","syn","21P2S1","113-21P2S1","T","P","P2",21
"1","14",20150525,1,"20150525-gel1","7","syn","syn","21P2S2","114-21P2S2","T","P","P2",21
"1","14",20150129,1,"20150129-gel1","10","syn","syn","21P2S2","114-21P2S2","T","P","P2",21
"1","15",20150129,1,"20150129-gel1","11","syn","syn","21P2S4","115-21P2S4","T","P","P2",21
"1","15",20150525,3,"20150525-gel3","10","syn","syn","21P2S4","115-21P2S4","T","P","P2",21
"1","16",20150129,1,"20150129-gel1","12","syn","syn","21P4S2","116-21P4S2","T","P","P4",21
"1","16",20150525,3,"20150525-gel3","11","syn","syn","21P4S2","116-21P4S2","T","P","P4",21
"1","17",20150525,1,"20150525-gel1","9","syn","syn","21P4S3","117-21P4S3","T","P","P4",21
"1","17",20150129,2,"20150129-gel2","5","syn","syn","21P4S3","117-21P4S3","T","P","P4",21
"1","18",20150525,1,"20150525-gel1","10","syn","syn","21P4S5","118-21P4S5","T","P","P4",21
"1","18",20150129,2,"20150129-gel2","6","syn","syn","21P4S5","118-21P4S5","T","P","P4",21
"1","18",20160425,1,"20160425-gel1","10","syn","syn","21P4S5","118-21P4S5","T","P","P4",21
"1","19",20150525,1,"20150525-gel1","11","syn","syn","21P5S1","119-21P5S1","T","P","P5",21
"1","19",20150129,2,"20150129-gel2","7","syn","syn","21P5S1","119-21P5S1","T","P","P5",21
"1","2",20150114,1,"20150114-gel1","5","syn","syn","01N3S3","102-01N3S3","C","N","N3",1
"1","2",20150525,1,"20150525-gel1","4","syn","syn","01N3S3","102-01N3S3","C","N","N3",1
"1","20",20150525,1,"20150525-gel1","12","syn","syn","21P5S3","120-21P5S3","T","P","P5",21
"1","20",20150129,2,"20150129-gel2","8","syn","syn","21P5S3","120-21P5S3","T","P","P5",21
"1","21",20150525,1,"20150525-gel1","8","syn","syn","21P3S3","121-21P3S3","C","P","P3",21
"1","21",20150129,2,"20150129-gel2","9","syn","syn","21P3S3","121-21P3S3","C","P","P3",21
"1","3",20150114,1,"20150114-gel1","6","syn","syn","01P5S1","103-01P5S1","C","P","P5",1
"1","3",20150525,1,"20150525-gel1","5","syn","syn","01P5S1","103-01P5S1","C","P","P5",1
"1","4",20150114,1,"20150114-gel1","7","syn","syn","21N2S1","104-21N2S1","T","N","N2",21
"1","5",20150114,1,"20150114-gel1","8","syn","syn","21N2S3","105-21N2S3","T","N","N2",21
"1","6",20150114,1,"20150114-gel1","9","syn","syn","21N2S5","106-21N2S5","T","N","N2",21
"1","7",20150114,1,"20150114-gel1","10","syn","syn","21N3S2","107-21N3S2","T","N","N3",21
"1","8",20150114,1,"20150114-gel1","11","syn","syn","21N3S3","108-21N3S3","T","N","N3",21
"1","9",20150525,3,"20150525-gel3","12","syn","syn","21N3S4","109-21N3S4","T","N","N3",21
"1","9",20150129,1,"20150129-gel1","5","syn","syn","21N3S4","109-21N3S4","T","N","N3",21
"2","1",20150525,2,"20150525-gel2","3","syn","syn","01N3S2","201-01N3S2","C","N","N3",1
"2","1",20160420,2,"20160420-gel2","2","syn","syn","01N3S2","201-01N3S2","C","N","N3",1
"2","10",20150525,2,"20150525-gel2","12","syn","syn","19N2S1","210-19N2S1","T","N","N2",19
"2","11",20150525,3,"20150525-gel3","3","syn","syn","19N1S2","211-19N1S2","C","N","N1",19
"2","12",20150525,3,"20150525-gel3","4","syn","syn","19N3S4","212-19N3S4","T","N","N3",19
"2","13",20150525,3,"20150525-gel3","5","syn","syn","19P4S5","213-19P4S5","T","P","P4",19
"2","14",20160425,1,"20160425-gel1","9","syn","syn","19P2S2","214-19P2S2","T","P","P2",19
"2","14",20150525,3,"20150525-gel3","6","syn","syn","19P2S2","214-19P2S2","T","P","P2",19
"2","15",20150525,3,"20150525-gel3","7","syn","syn","01P2S2","215-01P2S2","C","P","P2",1
"2","16",20150525,3,"20150525-gel3","8","syn","syn","01N2S3","216-01N2S3","C","N","N2",1
"2","17",20160413,1,"20160413-gel1","2","syn","syn","01N3S3","217-01N3S3","C","N","N3",1
"2","18",20160413,1,"20160413-gel1","3","syn","syn","05P4S1","218-05P4S1","T","P","P4",5
"2","19",20160413,1,"20160413-gel1","4","syn","syn","05N2S1","219-05N2S1","T","N","N2",5
"2","2",20160420,1,"20160420-gel1","4","syn","syn","19N1S4","202-19N1S4","C","N","N1",19
"2","2",20150525,2,"20150525-gel2","4","syn","syn","19N1S4","202-19N1S4","C","N","N1",19
"2","20",20160413,1,"20160413-gel1","5","syn","syn","01N2S1","220-01N2S1","C","N","N2",1
"2","20",20160425,1,"20160425-gel1","5","syn","syn","01N2S1","220-01N2S1","C","N","N2",1
"2","21",20160413,1,"20160413-gel1","6","syn","syn","01P4S5","221-01P4S5","C","P","P4",1
"2","21",20160425,1,"20160425-gel1","8","syn","syn","01P4S5","221-01P4S5","C","P","P4",1
"2","22",20160413,1,"20160413-gel1","7","syn","syn","19P5S5","222-19P5S5","T","P","P5",19
"2","22",20160420,3,"20160420-gel3","7","syn","syn","19P5S5","222-19P5S5","T","P","P5",19
"2","23",20160413,1,"20160413-gel1","8","syn","syn","01N2S4","223-01N2S4","C","N","N2",1
"2","24",20160413,1,"20160413-gel1","9","syn","syn","01N5S4","224-01N5S4","C","N","N5",1
"2","25",20160413,2,"20160413-gel2","2","syn","syn","19N5S1","225-19N5S1","T","N","N5",19
"2","25",20160425,1,"20160425-gel1","6","syn","syn","19N5S1","225-19N5S1","T","N","N5",19
"2","26",20160420,1,"20160420-gel1","7","syn","syn","19N3S2","226-19N3S2","T","N","N3",19
"2","26",20160413,2,"20160413-gel2","3","syn","syn","19N3S2","226-19N3S2","T","N","N3",19
"2","27",20160413,2,"20160413-gel2","4","syn","syn","19N3S5","227-19N3S5","T","N","N3",19
"2","27",20160420,1,"20160420-gel1","9","syn","syn","19N3S5","227-19N3S5","T","N","N3",19
"2","28",20160413,2,"20160413-gel2","5","syn","syn","01N5S2","228-01N5S2","C","N","N5",1
"2","29",20160413,2,"20160413-gel2","6","syn","syn","19P4S3","229-19P4S3","T","P","P4",19
"2","3",20160420,2,"20160420-gel2","4","syn","syn","01N3S4","203-01N3S4","C","N","N3",1
"2","3",20150525,2,"20150525-gel2","5","syn","syn","01N3S4","203-01N3S4","C","N","N3",1
"2","30",20160413,2,"20160413-gel2","7","syn","syn","05N2S4","230-05N2S4","T","N","N2",5
"2","31",20160413,2,"20160413-gel2","8","syn","syn","8101-A","231-8101-A","A","A","A",0
"2","31",20160425,1,"20160425-gel1","2","syn","syn","8101-A","231-8101-A","A","A","A",0
"2","32",20160425,1,"20160425-gel1","3","syn","syn","7803R8","232-7803R8","A","A","A",0
"2","32",20160413,2,"20160413-gel2","9","syn","syn","7803R8","232-7803R8","A","A","A",0
"2","33",20160413,3,"20160413-gel3","2","syn","syn","7803R8R21","233-7803R8R21","A","A","A",0
"2","34",20160413,3,"20160413-gel3","3","syn","syn","01P2S4","234-01P2S4","C","P","P2",1
"2","34",20160420,2,"20160420-gel2","8","syn","syn","01P2S4","234-01P2S4","C","P","P2",1
"2","35",20160413,3,"20160413-gel3","4","syn","syn","01N2S1","235-01N2S1","C","N","N2",1
"2","36",20160413,3,"20160413-gel3","5","syn","syn","01N3S3","236-01N3S3","C","N","N3",1
"2","37",20160413,3,"20160413-gel3","6","syn","syn","19P5S5","237-19P5S5","T","P","P5",19
"2","37",20160420,3,"20160420-gel3","8","syn","syn","19P5S5","237-19P5S5","T","P","P5",19
"2","38",20160413,3,"20160413-gel3","7","syn","syn","19N1S5","238-19N1S5","C","N","N1",19
"2","39",20160420,2,"20160420-gel2","5","syn","syn","01N3S4","239-01N3S4","C","N","N3",1
"2","39",20160413,3,"20160413-gel3","8","syn","syn","01N3S4","239-01N3S4","C","N","N3",1
"2","4",20150525,2,"20150525-gel2","6","syn","syn","01P5S5","204-01P5S5","C","P","P5",1
"2","4",20160420,1,"20160420-gel1","2","syn","syn","01P5S5","204-01P5S5","C","P","P5",1
"2","40",20160420,2,"20160420-gel2","7","syn","syn","01P2S1","240-01P2S1","C","P","P2",1
"2","40",20160413,3,"20160413-gel3","9","syn","syn","01P2S1","240-01P2S1","C","P","P2",1
"2","41",20160413,4,"20160413-gel4","2","syn","syn","19N2S1","241-19N2S1","T","N","N2",19
"2","42",20160413,4,"20160413-gel4","3","syn","syn","19N1S4","242-19N1S4","C","N","N1",19
"2","42",20160420,1,"20160420-gel1","5","syn","syn","19N1S4","242-19N1S4","C","N","N1",19
"2","43",20160413,4,"20160413-gel4","4","syn","syn","19N5S2","243-19N5S2","T","N","N5",19
"2","44",20160413,4,"20160413-gel4","5","syn","syn","19P5S3","244-19P5S3","T","P","P5",19
