,1: CandyCane,,,2: 25-19N5S1,,,3: 26-19N3S2,,,4: 27-19N3S5,,,5: 28-01N5S2,,,6: 29-19P4S3,,,7: 30-05N2S4,,,8: 31-8101,,,9: 32-7803R8,,,10: Untitled,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,447.67,0.0794,41632.5,576.15,0.0509,41554.2,128.45,0.1873,41885.5,264.73,0.1997,18000,43.44,0.1902,59454.5,288.26,0.0309,42545.5,325.84,0.0519,17970.8,30.12,0.0878,48545.5,777.26,0.0861,41807.2,232.55,0.0363
2,66000,784,0.1193,41554.2,1975.63,0.1967,38375,139.53,0.2037,41801.2,294.79,0.2117,14496.4,151.58,0.4885,41650.6,1207.25,0.1054,41945.8,502.57,0.0582,13854,437.11,0.5991,44181.8,1490.03,0.0297,41747,437.15,0.1026
3,42000,476.67,0.0589,38895.8,1540.14,0.147,17883.2,121.99,0.2145,41716.9,209.85,0.1351,12189.8,46.41,0.1638,41584.3,3720.4,0.2888,41885.5,631.29,0.062,13299.3,196.6,0.3131,41963.9,2304.99,0.1646,41686.7,595.75,0.1289
4,41500,2376.72,0.4226,27625,149.2,0.0117,17240.9,36.13,0.0439,41644.6,155.19,0.1002,11313.9,35.44,0.1575,40979.2,3872.23,0.3062,41825.3,513.01,0.0383,,,,41891.6,2190.15,0.2203,41614.5,526.88,0.118
5,29000,416.15,0.0457,25425,171.78,0.0235,14292,31.15,0.0523,41566.3,96.4,0.0656,,,,30041.7,336.59,0.0302,41753,313.68,0.035,,,,41831.3,1841.11,0.0599,41542.2,332,0.075
6,18000,220.65,0.0208,21987.5,306.69,0.0455,13737.2,47.41,0.0816,17970.8,72.36,0.0335,,,,27625,271.66,0.0228,41680.7,229.35,0.0276,,,,41771.1,1443.08,0.1188,38375,166.38,0.0347
7,14000,128.5,0.0172,17883.2,528.9,0.0919,11810.2,46.81,0.2167,17357.7,26.45,0.0133,,,,24600,268.95,0.0212,41590.4,334.93,0.0449,,,,41686.7,794.42,0.0611,31083.3,76.03,0.0142
8,-----,2347.35,0.2361,17270.1,154.66,0.0126,,,,15985.4,85.95,0.1515,,,,21162.5,226,0.0226,40979.2,262.49,0.0341,,,,41596.4,303.87,0.0294,27075,4.7123,0.004
9,,,,16510.9,260.61,0.0297,,,,14379.6,17.35,0.0136,,,,18825,425.68,0.0359,25287.5,219.11,0.0684,,,,41512,173.22,0.015,16189.8,13.19,0.0015
10,,,,15956.2,394.31,0.0289,,,,13795.6,70.58,0.057,,,,17562,476.04,0.0523,21712.5,176.39,0.0222,,,,33687.5,125.85,0.0109,15489.1,53.24,0.0108
11,,,,15635,618.71,0.0809,,,,12160.6,26.84,0.0187,,,,16744.5,520.86,0.067,18550,170.75,0.0214,,,,25012.5,66.51,0.005,14058.4,27.31,0.0039
12,,,,14204.4,1577.5,0.1954,,,,,,,,,,15897.8,151.6,0.0117,17562,133.23,0.0148,,,,21850,67.73,0.0068,13211.7,163.17,0.0365
13,,,,13766.4,625.04,0.076,,,,,,,,,,14408.8,1.6311,-----,16978.1,134.67,0.0178,,,,18962.5,190.75,0.0215,12277.4,522.91,0.1624
14,,,,12131.4,89.09,0.0095,,,,,,,,,,12219,34.79,0.0045,16335.8,235.07,0.0242,,,,17474.5,165.16,0.0178,11021.9,633.38,0.2713
15,,,,,,,,,,,,,,,,10788.3,24,0.0007,15781,446.54,0.0452,,,,16890.5,585.09,0.0504,,,
16,,,,,,,,,,,,,,,,,,,15430.7,777.21,0.1135,,,,16365,347.82,0.0493,,,
17,,,,,,,,,,,,,,,,,,,14438,632.27,0.0788,,,,15985.4,480.07,0.0315,,,
18,,,,,,,,,,,,,,,,,,,14058.4,379.91,0.0434,,,,14496.4,230.98,0.0219,,,
19,,,,,,,,,,,,,,,,,,,13532.8,1355.41,0.1749,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,13007.3,308.91,0.0234,,,,,,,,,
