	1: CandyCane			2: 1-01N3S2			3: 58-01N3S2			4: 3-01N3S4			5: 39-01N3S4			6: 8-01P2S1			7: 40-01P2S1			8: 34-01P2S4			9: 52-01P4S4			10: E.COLI			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	1141.94	0.1685	18   	167.43	0.6956	68.47	129.44	0.0202	18.74	169.90	1.0000	43.18	105.36	0.0390	18.97	159.32	1.0000	48.18	98.62	0.0149	48.47	246.28	0.0300	46.71	48.90	0.0035	56.12	263.71	0.1298	
2	42   	2843.54	0.7555	16.74	75.27	0.3044	46.71	360.95	0.0345				40.62	101.38	0.0420				43.76	278.88	0.0651	44.06	755.89	0.1130	43.47	141.54	0.0129	51.71	717.18	0.2161	
3	29   	246.72	0.0427				41.88	871.98	0.0616				38.09	33.92	0.0104				40.96	149.14	0.0322	41.08	487.50	0.0712	40.73	162.47	0.0143	48.76	880.82	0.2393	
4	18   	157.39	0.0334				40.04	591.96	0.0371				28.85	296.53	0.1354				38.32	27.60	0.0040	28.85	1033.53	0.2106	28.41	1029.85	0.2795	44.94	813.36	0.0352	
5							35.67	308.28	0.0286				18.82	1688.81	0.6404				32.68	34.98	0.0069	22.46	43.28	0.0044	24.69	122.76	0.0149	41.42	596.83	0.1725	
6							32.11	296.16	0.0144				17.55	158.60	0.1328				28.85	532.10	0.1765	19.49	364.33	0.0431	22.24	140.67	0.0184	39.47	251.23	0.0956	
7							28.48	1828.24	0.1474										24.99	68.92	0.0168	18.52	2648.92	0.4684	18.22	2898.81	0.4495	37.97	138.77	0.0539	
8							27.29	1915.21	0.1321										22.68	172.59	0.0485	17.26	344.61	0.0595	16.96	1424.79	0.2070	18   	36.70	0.0518	
9							24.54	340.47	0.0334										18.67	2146.72	0.5121							15.03	2.8430	0.0059	
10							22.24	522.36	0.0566										17.33	307.43	0.1230										
11							18.22	3231.65	0.2522																						
12							16.81	2159.81	0.1819																						
