	1: CandyCane			2: Untitled			3: Untitled			4: Untitled			5: Untitled			6: Untitled			7: Untitled			8: Untitled			9: Untitled			10: Untitled			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	1870.41	0.3872	64.76	658.52	0.1854	44.6 	46.45	0.0401	28.82	16.77	0.0329	29   	194.08	0.1174	23.14	133.31	0.1558	73.87	103.03	0.1065	83.3 	62.32	0.0605	79.07	53.09	0.0488	52.41	171.39	0.1976	
2	42   	1407.51	0.1534	62.16	1085.24	0.1907	28.64	239.47	0.2209	19.26	723.29	0.6032	19.17	629.72	0.5904	19.26	620.03	0.6854	29   	252.43	0.1587	67.69	75.05	0.0640	29   	244.81	0.1691	49.15	220.07	0.2802	
3	29   	1864.49	0.1381	59.24	1114.54	0.2042	19.08	954.61	0.5492	13.92	77.78	0.0822	13.51	202.16	0.2223	11.31	90.57	0.1587	19.26	486.23	0.3418	43.95	75.88	0.0716	18.99	843.91	0.5370	45.9 	199.75	0.2385	
4	18   	234.48	0.0256	55.66	662.03	0.1619	13.1 	174.54	0.1898	11.88	125.53	0.2818	11.22	85.75	0.0700				17.67	113.57	0.0706	29   	165.16	0.1115	13.18	178.20	0.1935	42   	129.37	0.1128	
5	14   	2306.04	0.2957	51.43	227.69	0.0928													13.59	204.96	0.2516	27.29	17.98	0.0109	10.73	73.89	0.0515	40.18	50.96	0.0495	
6				48.18	162.58	0.0287													11.39	76.48	0.0708	19.17	485.74	0.3334				14.82	-----	-----	
7				28.64	121.57	0.0222																13.51	202.34	0.2859				13.18	136.33	0.1253	
8				24.85	34.35	0.0172																11.14	89.03	0.0622							
9				24.13	-----	-----																									
10				23.05	88.43	0.0192																									
11				18.54	5.6522	0.0016																									
12				11.71	88.91	0.0768																									
