"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1",1,82,3752.14,0.3747,"20150525-gel1"
"1: CandyCane","1",2,42,3696.66,0.3718,"20150525-gel1"
"1: CandyCane","1",3,29,299,0.0334,"20150525-gel1"
"1: CandyCane","1",4,18,367.6,0.028,"20150525-gel1"
"1: CandyCane","1",5,14,2665.42,0.1921,"20150525-gel1"
"2: Ecoli","2",1,65.13,687.56,0.0836,"20150525-gel1"
"2: Ecoli","2",2,60.75,1062.61,0.0954,"20150525-gel1"
"2: Ecoli","2",3,54.5,1757.76,0.1465,"20150525-gel1"
"2: Ecoli","2",4,48.25,2126.95,0.1869,"20150525-gel1"
"2: Ecoli","2",5,42.63,2001.56,0.0891,"20150525-gel1"
"2: Ecoli","2",6,40.14,1423.9,0.0546,"20150525-gel1"
"2: Ecoli","2",7,38.1,823.69,0.0406,"20150525-gel1"
"2: Ecoli","2",8,36.06,453,0.0306,"20150525-gel1"
"2: Ecoli","2",9,33.64,192.28,0.0101,"20150525-gel1"
"2: Ecoli","2",10,31.6,84.29,0.0027,"20150525-gel1"
"2: Ecoli","2",11,29.19,20.33,NA,"20150525-gel1"
"2: Ecoli","2",12,27.36,NA,NA,"20150525-gel1"
"2: Ecoli","2",13,26.12,2.6118,NA,"20150525-gel1"
"2: Ecoli","2",14,24.89,44.44,0.0022,"20150525-gel1"
"2: Ecoli","2",15,23.35,66.17,0.0068,"20150525-gel1"
"2: Ecoli","2",16,21.7,117.81,0.0156,"20150525-gel1"
"2: Ecoli","2",17,19.64,214.9,0.0162,"20150525-gel1"
"2: Ecoli","2",18,17.73,202.48,0.0193,"20150525-gel1"
"2: Ecoli","2",19,15.69,334.48,0.0363,"20150525-gel1"
"2: Ecoli","2",20,14.36,456.62,0.0379,"20150525-gel1"
"2: Ecoli","2",21,12.58,699.03,0.0585,"20150525-gel1"
"2: Ecoli","2",22,10.36,1032.19,0.0685,"20150525-gel1"
"3: 101-7803-A","3",1,61.38,44.05,0.0078,"20150525-gel1"
"3: 101-7803-A","3",2,45.75,31,0.0019,"20150525-gel1"
"3: 101-7803-A","3",3,40.7,90.58,0.0106,"20150525-gel1"
"3: 101-7803-A","3",4,38.1,32.55,0.0041,"20150525-gel1"
"3: 101-7803-A","3",5,26.12,546.47,0.1615,"20150525-gel1"
"3: 101-7803-A","3",6,16.76,451.03,0.086,"20150525-gel1"
"3: 101-7803-A","3",7,15.6,321.44,0.0534,"20150525-gel1"
"3: 101-7803-A","3",8,7.867,736.74,0.2957,"20150525-gel1"
