"gel.id","strain.id","strain.x","trt.x","lim.x","cID.x","tm.pt.x","tm.pt.y","mw.list","lpda.list","band.list","omean.list","olow.list","ohigh.list","rel.int.list"
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,22.72,17.42,8,"2",1.6,1.5,0.0351
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,60.46,17.42,1,"12",12.7,12,0
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,28.78,17.42,6,"3",3.3,3.2,0.0156
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,36.45,17.42,5,"5",5.6,5.3,0.1238
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,38.51,17.42,4,"6",6.2,5.9,0.1392
"20150114-gel1","106-21N2S5","21N2S5","T","N","N2","21",21,26.71,17.42,7,"3",2.7,2.6,0.033
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,33.6,18.3,5,"4",4.5,4.2,0.0317
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,65.38,18.3,1,"13",13.8,13.1,0.0928
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,21.4,18.3,9,"1",0.9,0.9,0.1557
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,37.56,18.3,4,"6",5.7,5.4,0.209
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,23.46,18.3,8,"1",1.5,1.4,0.047
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,39.46,18.3,3,"6",6.2,5.9,0.1838
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,19.77,18.3,10,"0",0.4,0.4,0.0776
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,28.93,18.3,6,"3",3.1,3,0.0055
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,41.68,18.3,2,"7",6.9,6.5,0.0355
"20150114-gel1","107-21N3S2","21N3S2","T","N","N3","21",21,25.09,18.3,7,"2",2,1.9,0.0135
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,31.38,17.94,4,"4",4,3.7,0
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,69.08,17.94,1,"15",15,14.2,0.1377
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,41.52,17.94,2,"7",6.9,6.6,0.1269
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,28.34,17.94,5,"3",3.1,2.9,0
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,19.33,17.94,7,"0",0.4,0.4,0.0823
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,39.62,17.94,3,"6",6.4,6,0.2394
"20150114-gel1","108-21N3S3","21N3S3","T","N","N3","21",21,22.58,17.94,6,"1",1.4,1.3,0.2819
"20150525-gel1","103-01P5S1","01P5S1","C","P","P5","1",1,40.33,16.76,1,"7",6.9,6.5,0.0276
"20150525-gel1","103-01P5S1","01P5S1","C","P","P5","1",1,26.53,16.76,2,"3",2.9,2.7,0.0681
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,19.75,15.24,6,"1",1.3,1.3,0.1232
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,65.13,15.24,1,"14",14.7,13.9,0.0754
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,38.84,15.24,2,"7",6.9,6.6,0.2953
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,27.46,15.24,4,"3",3.6,3.4,0.019
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,31.6,15.24,3,"5",4.8,4.5,0.0852
"20150525-gel1","112-21N5S5","21N5S5","T","N","N5","21",21,24.07,15.24,5,"3",2.6,2.5,0.0561
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,20.78,17.11,10,"1",1.1,1,0.1224
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,78.88,17.11,2,"18",18.2,17.2,0.0907
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,60.13,17.11,5,"12",12.7,12,0.0123
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,33.46,17.11,6,"5",4.8,4.5,0.0141
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,67.63,17.11,4,"14",14.9,14,0.0688
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,30.11,17.11,7,"4",3.8,3.6,0.0391
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,22.73,17.11,9,"2",1.7,1.6,0.0221
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,27.05,17.11,8,"3",2.9,2.8,0.0684
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,83.25,17.11,1,"19",19.5,18.4,0.1285
"20150525-gel1","114-21P2S2","21P2S2","T","P","P2","21",21,73.25,17.11,3,"16",16.5,15.6,0.0558
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,51.38,17.47,4,"10",10,9.4,0.0401
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,42,17.47,5,"7",7.2,6.8,0.0952
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,27.36,17.47,7,"3",2.9,2.7,0.0088
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,20.78,17.47,8,"1",1,0.9,0.1289
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,59.5,17.47,3,"12",12.4,11.7,0.0708
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,65.13,17.47,2,"14",14,13.2,0.0859
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,70.13,17.47,1,"15",15.5,14.6,0.1373
"20150525-gel1","117-21P4S3","21P4S3","T","P","P4","21",21,39.03,17.47,6,"6",6.3,6,0.0482
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,59.5,17.64,5,"12",12.3,11.6,0.0617
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,72.63,17.64,3,"16",16.2,15.3,0.0737
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,66.38,17.64,4,"14",14.3,13.5,0.0853
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,52.63,17.64,6,"10",10.3,9.7,0.042
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,20.57,17.64,11,"1",0.9,0.8,0.0649
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,33.27,17.64,8,"4",4.6,4.3,0.051
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,40.7,17.64,7,"7",6.8,6.4,0.0705
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,22.42,17.64,10,"1",1.4,1.3,0.0223
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,77.63,17.64,2,"17",17.6,16.7,0.0877
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,82,17.64,1,"18",18.9,17.9,0.1219
"20150525-gel1","118-21P4S5","21P4S5","T","P","P4","21",21,29.37,17.64,9,"3",3.5,3.3,0.0273
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,43.25,14.6,1,"8",8.4,8,0.1923
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,28.18,14.6,4,"4",4,3.8,0.0273
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,18.1,14.6,6,"1",1,1,0.1875
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,21.7,14.6,5,"2",2.1,2,0.1797
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,40.33,14.6,2,"7",7.6,7.1,0.162
"20150525-gel1","119-21P5S1","21P5S1","T","P","P5","21",21,31.79,14.6,3,"5",5.1,4.8,0.025
"20150525-gel1","120-21P5S3","21P5S3","T","P","P5","21",21,33.27,15.73,2,"5",5.2,4.9,0.0731
"20150525-gel1","120-21P5S3","21P5S3","T","P","P5","21",21,29.19,15.73,3,"4",4,3.7,0.0892
"20150525-gel1","120-21P5S3","21P5S3","T","P","P5","21",21,43.25,15.73,1,"8",8.1,7.6,0.2705
"20150525-gel1","120-21P5S3","21P5S3","T","P","P5","21",21,19.23,15.73,5,"1",1,1,0.1594
"20150525-gel1","120-21P5S3","21P5S3","T","P","P5","21",21,22.83,15.73,4,"2",2.1,2,0.138
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,25.7,17.05,7,"2",2.5,2.4,0.0206
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,92.4,17.05,1,"22",22.2,20.9,0.0167
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,34.33,17.05,6,"5",5.1,4.8,0.0244
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,60.8,17.05,3,"12",12.9,12.2,0.125
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,81.2,17.05,2,"18",18.9,17.8,0.0896
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,23.5,17.05,8,"2",1.9,1.8,0.0378
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,21.48,17.05,9,"1",1.3,1.2,0.2137
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,42.8,17.05,4,"7",7.6,7.2,0.192
"20150525-gel2","209-19N5S2","19N5S2","T","N","N5","19",19,40.3,17.05,5,"7",6.8,6.5,0.2248
"20150525-gel2","210-19N2S1","19N2S1","T","N","N2","19",19,42,18.73,1,"7",6.8,6.5,0.1603
"20150525-gel2","210-19N2S1","19N2S1","T","N","N2","19",19,38.8,18.73,2,"6",5.9,5.6,0.3224
"20150525-gel2","210-19N2S1","19N2S1","T","N","N2","19",19,35.82,18.73,3,"5",5,4.7,0.1839
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,30.96,18.29,6,"4",3.7,3.5,0.0411
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,25.33,18.29,8,"2",2.1,2,0.0175
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,41.64,18.29,3,"7",6.9,6.5,0.0541
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,27.65,18.29,7,"3",2.8,2.6,0.0516
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,45.36,18.29,2,"8",8,7.5,0.0249
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,23.21,18.29,9,"1",1.4,1.4,0.0232
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,57.33,18.29,1,"11",11.5,10.8,0.0604
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,39.33,18.29,4,"6",6.2,5.8,0.0776
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,21.67,18.29,10,"1",1,0.9,0.0808
"20150525-gel3","109-21N3S4","21N3S4","T","N","N3","21",21,34.52,18.29,5,"5",4.8,4.5,0.0443
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,43.12,15.95,7,"8",8,7.5,0.0201
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,58.45,15.95,3,"12",12.5,11.8,0.0914
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,25.62,15.95,11,"3",2.8,2.7,0.0438
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,31.49,15.95,9,"4",4.6,4.3,0.0311
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,55.46,15.95,4,"11",11.6,11,0.104
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,28.13,15.95,10,"3",3.6,3.4,0.028
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,19.54,15.95,13,"1",1.1,1,0.0735
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,51.72,15.95,5,"10",10.5,9.9,0.062
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,47.98,15.95,6,"9",9.4,8.9,0.0396
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,40.58,15.95,8,"7",7.2,6.8,0.0157
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,62.19,15.95,2,"13",13.6,12.8,0.0924
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,21.57,15.95,12,"2",1.7,1.6,0.0262
"20150525-gel3","113-21P2S1","21P2S1","T","P","P2","21",21,64.43,15.95,1,"14",14.3,13.5,0.0655
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,21.76,16.23,10,"2",1.6,1.5,0.0187
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,52.09,16.23,5,"10",10.5,10,0.0598
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,48.36,16.23,6,"9",9.4,8.9,0.0462
"20150525-gel3","115-21P2S4","21P2S4","T","P","P2","21",21,28.52,16.23,8,"4",3.6,3.4,0.0054
