	1: CandyCane			2: Untitled			3: Untitled			4: Untitled			5: Untitled			6: Untitled			7: Untitled			8: Untitled			9: Untitled			10: Untitled			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	696.19	0.4031							43.03	436.32	0.4541	45.42	199.33	0.4110	47.47	169.70	0.0885	39.67	58.37	0.0371	28.48	116.15	0.2012	42.68	171.26	0.1462	52.6 	113.78	0.0536	
2	42   	148.98	0.0658							40.77	535.69	0.5459	41.73	197.54	0.3630	43.37	769.11	0.3024	37.48	383.20	0.3077	27.44	56.19	0.0850	40.49	125.41	0.0959	48.84	194.93	0.1340	
3	29   	273.70	0.0820										29   	29.73	0.0470	40.49	900.28	0.3492	35.29	318.25	0.2364	18.78	177.30	0.3326	28.22	136.56	0.1302	45.42	257.62	0.1762	
4	18   	81.76	0.0371										27.96	22.74	0.0328	28.83	60.71	0.0263	28.74	100.26	0.0952	13.04	92.73	0.2269	22.59	55.14	0.0670	41.86	220.75	0.1467	
5	14   	1163.37	0.4119										23.72	26.87	0.0574	27.53	65.45	0.0277	27.44	29.79	0.0242	10.4 	57.00	0.1543	18.35	387.42	0.3819	40.22	139.36	0.0858	
6													19.13	36.50	0.0886	25.19	113.15	0.0611	19.13	307.10	0.2815				17.2 	111.14	0.0696	38.58	69.43	0.0365	
7																23.11	141.23	0.0940	9.68  	9.7614	0.0067				12.4 	63.62	0.1051	36.25	10.52	0.0122	
8																19.3 	79.44	0.0332	8.08  	15.44	0.0113				6.88  	5.4065	0.0041	14.72	28.39	0.0174	
9																13.44	22.42	0.0175										12.4 	179.46	0.1281	
10																												9.36  	232.15	0.2095	
