	1: CandyCane			2: 04-01P5S5			3: 50-01P5S5			4: 2-19N1S4			5: 42-19N1S4			6: 51-19N2S5			7: 26-19N3S2			8: 45-19N3S4			9: 27-19N3S5			10: Untitled			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	621.44	0.1297				94.35	87.94	0.0121	45.46	37.36	0.2272	54.84	154.57	0.0333	101.8 	526.58	0.0566	50.89	82.33	0.2890	106.7 	130.52	0.0099	82.49	138.94	0.1718	71.63	183.99	0.1048	
2	42   	2639.19	0.7142				67.19	142.64	0.0225	41.05	28.64	0.1946	46.94	688.30	0.2478	92.37	67.40	0.0038	42.99	106.75	0.3839	82   	156.41	0.0225	76.57	159.37	0.1968	66.2 	356.30	0.2149	
3	29   	286.71	0.0568				52.37	303.93	0.0289	17.52	46.34	0.5254	41.46	709.93	0.2520	75.58	360.40	0.0389	22.66	33.80	0.3270	58.3 	715.09	0.0537	71.63	153.40	0.1733	60.27	475.64	0.2967	
4	18   	180.87	0.0317				43.98	767.92	0.1167	16.63	11.06	0.0527	28.16	5.6667	0.0017	54.35	1184.09	0.0635				50.4 	2794.65	0.1962	65.7 	118.83	0.1350	53.85	423.00	0.2588	
5	14   	418.43	0.0676				40.51	522.57	0.0777				26.63	63.09	0.0188	45.46	3085.50	0.1605				42.99	3348.93	0.2319	58.3 	84.88	0.0962	47.43	276.36	0.1616	
6							35.23	170.45	0.0299				24.75	157.23	0.0598	40.92	3339.67	0.1698				32.39	226.74	0.0247	48.91	37.73	0.0459	41.59	138.76	0.0768	
7							30.9 	282.09	0.0576				22.66	384.05	0.2137	36.72	526.43	0.0216				28.58	451.58	0.0568	42.49	16.37	0.0215	39.56	68.18	0.0365	
8							27.33	1410.79	0.3207				19.11	131.64	0.0389	33.6 	384.89	0.0386				26.98	613.14	0.0895	26.84	10.77	0.0125	37.53	29.60	0.0130	
9							24.06	201.08	0.0320				17.82	330.95	0.1279	30.63	174.95	0.0089				24.89	734.69	0.1204	22.59	68.81	0.1865	35.36	9.0467	0.0035	
10							22.04	356.19	0.0855				16.75	28.05	0.0061	28.3 	226.00	0.0114				22.94	873.67	0.1607	18.97	-----	-----	18.28	-----	-----	
11							18.97	310.95	0.0366							26.49	559.70	0.0620				19.25	373.78	0.0334				16.45	-----	-----	
12							18.07	1585.24	0.1426							24.27	835.87	0.1102				17.46	5.4816	0.0003				14.6 	28.56	-----	
13							17.22	339.71	0.0348							22.39	1122.98	0.2001										12.63	-----	-----	
14							13.82	-----	0.0003							19.32	-----	-----													
15							13.22	24.64	0.0021							17.76	406.55	0.0206													
16																17.04	571.49	0.0280													
17																16.15	139.66	0.0066													
