	1: CandyCane			2: Untitled			3: Untitled			4: Untitled			5: Untitled			6: Untitled			7: Untitled			8: Untitled			9: Untitled			10: Untitled			11: Untitled			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	927.00	0.2788	15.85	301.56	0.5636	66   	549.06	0.0648	48.52	18.33	0.0101				48.81	139.92	0.0137	40.36	1334.06	0.1828				67.19	185.54	0.0326	66   	508.92	0.0290	54.15	89.00	0.0230	
2	42   	2379.00	0.6673	14.74	84.72	0.4364	63.33	1002.10	0.1166	44.67	95.10	0.0417				44.37	433.35	0.0669	38.21	1441.13	0.1932				64.52	267.16	0.0528	62.74	811.55	0.0542	50.89	192.67	0.0822	
3	29   	156.99	0.0086				60.07	1633.25	0.1900	41.24	229.00	0.1042				41.24	1306.69	0.2118	24.7 	190.38	0.0259				61.85	386.77	0.0869	59.78	1260.75	0.0909	47.63	370.33	0.1637	
4	18   	26.50	-----				56.81	1843.41	0.2095	39.1 	141.01	0.0687				39.48	1098.03	0.1730	23.71	258.96	0.0375				58.59	480.29	0.1182	56.52	1699.38	0.1325	44.07	479.33	0.2140	
5	14   	850.00	0.0591				53.26	1453.12	0.1664	27.26	263.92	0.1894				36.57	70.23	0.0080	22.47	461.69	0.0650				55.33	476.82	0.1238	52.96	1780.42	0.1462	41.37	433.33	0.1863	
6							49.11	971.96	0.1053	20.98	89.98	-----				27.76	193.85	0.0281	20.89	741.61	0.1050				51.78	397.30	0.1069	49.41	1502.47	0.1202	39.73	299.67	0.1228	
7							44.96	608.80	0.0592	17.45	1102.23	0.4995				25.94	100.83	0.0122	19.9 	829.19	0.1129				47.63	280.70	0.0732	44.96	943.78	0.0819	37.96	156.33	0.0677	
8							41.12	293.31	0.0184	16.4 	503.99	0.2497				23.79	283.61	0.0522	18.83	302.83	0.0444				43.48	198.09	0.0471	40.99	648.35	0.0740	36.19	83.00	0.0352	
9							39.1 	156.27	-----							22.3 	389.77	0.0477	17.45	156.75	0.0202				40.74	121.45	0.0288	38.84	488.50	0.0465	34.3 	48.00	0.0169	
10							37.58	77.98	-----							21.39	627.76	0.1308	16.34	368.62	0.0540				38.59	48.72	0.0098	34.93	78.54	0.0049	32.28	21.33	0.0083	
11							36.45	83.02	-----							19.24	123.55	0.0140	15.54	828.25	0.1073				27.35	36.47	0.0068	32.79	59.69	0.0045	14.62	36.79	0.0142	
12							34.3 	59.53	-----							17.57	1099.52	0.1923	14.55	405.03	0.0517				25.53	19.68	0.0053	27.1 	35.14	0.0018	12.89	153.09	0.0657	
13							31.78	62.73	-----							16.58	271.77	0.0388							23.13	116.99	0.0303	26.02	66.53	0.0043				
14							29.25	76.92	-----							11.91	44.35	0.0103							21.64	176.70	0.0237	23.95	87.43	0.0063				
15							27.18	83.35	-----																20.65	312.18	0.1042	21.8 	331.21	0.0272				
16							25.53	183.55	-----																17.02	482.23	0.1341	20.23	577.86	0.0511				
17							23.38	273.10	0.0601																16.03	82.00	0.0155	19.08	719.12	0.0788				
18							21.97	212.61	0.0548																			16.77	480.04	0.0365				
19							20.89	274.89	0.0699																			15.91	127.30	0.0060				
20							17.2 	97.81	0.0163																			14.8 	236.07	0.0123				
21																												13.38	-----	-----				
