,1: CandyCane,,,3: 58-01N3S2,,,5: 39-01N3S4,,,7: 40-01P2S1,,,9: 52-01P4S4,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,1141.94,0.1478,67280,129.44,0.0202,43116.3,106.36,0.0384,47860.5,98.97,0.0142,46465.1,29.48,0.0035
2,66000,379.06,0.0532,46465.1,360.95,0.0345,41769.2,102.2,0.0413,43674.4,279.34,0.0619,43395.3,117.85,0.0129
3,42000,2856.92,0.6626,41980.8,871.98,0.0616,40350.6,34.48,0.0102,41826.9,149.72,0.0306,41788.5,132.56,0.0143
4,41500,370.25,0.0573,41673.1,591.96,0.0371,28841.7,296.17,0.1332,40637.9,28.36,0.0038,28366.9,998.57,0.2795
5,29000,264.54,0.0374,37333.3,308.28,0.0286,18158.3,1689.38,0.777,33597.7,36.56,0.0066,24410.1,99.62,0.0149
6,18000,128.02,0.0417,32879.3,296.16,0.0144,,,,28841.7,534.52,0.1679,21798.6,122.91,0.0184
7,,,,28446,1828.24,0.1474,,,,24726.6,72.63,0.016,17525.2,2889.85,0.4495
8,,,,27179.9,1915.21,0.1321,,,,22273.4,177.07,0.0462,16179.9,1418.6,0.207
9,,,,24251.8,340.47,0.0334,,,,18079.1,2226.36,0.6528,,,
10,,,,21798.6,522.36,0.0566,,,,,,,,,
11,,,,17525.2,3231.65,0.2522,,,,,,,,,
12,,,,16021.6,2159.81,0.1819,,,,,,,,,
