strain	lim	trt	time
01N3S3	N	C	120
01P5S1	P	C	120
21N5S5	N	T	160
21P2S2	P	T	160
21P3S2	P	C	160
21P4S3	P	T	160
21P4S5	P	T	160
21P5S1	P	T	160
21P5S3	P	T	160
01N3S2	N	C	120
01N3S4	N	C	120
01P2S1	P	C	120
01P5S4	P	C	120
19N1S4	N	C	148
19N2S1	N	T	148
19N5S2	N	T	148
19P2S4	P	T	148
19P5S1	P	T	148
19P5S3	P	T	148
01N2S3	N	C	120
01P2S2	P	C	120
19N1S2	N	C	148
19N3S4	N	T	148
19P2S2	P	T	148
19P4S5	P	T	148
21N3S4	N	T	160
21P2S1	P	T	160
21P4S2	P	T	160
21P4S4	P	T	160
