	1: CandyCane			2: Untitled			3: Untitled			4: Untitled			5: Untitled			6: Untitled			7: Untitled			8: Untitled			9: Untitled			10: Untitled			11: Untitled			
Band #	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	
1	82   	146126.19	0.0768	55.54	225167.52	0.0590	39.3 	13853.00	0.0032	46.31	41686.45	0.0351	44.46	18997.33	0.0225	25.97	30111.00	0.1361	61.08	-----	-----	54.31	13221.55	0.0291	60.46	-----	-----	65.38	158308.00	0.0928	69.08	76902.00	0.1377	
2	42   	1205618.18	0.6337	50   	270549.95	0.0709	19.85	519845.67	0.1186	37.4 	28053.21	0.0236	36.93	16883.15	0.0200	16.84	80341.90	0.3630	37.72	272113.61	0.3751	50   	7038.35	0.0155	48.15	3282.95	0.0033	41.68	60604.99	0.0355	41.52	70902.68	0.1269	
3	29   	-----	-----	44.46	407891.84	0.1069	15.42	1067778.74	0.2436	35.34	61126.64	0.0515	34.87	42539.13	0.0504	15.81	48403.74	0.2187	35.18	301256.66	0.4153	39.62	8104.40	0.0178	40.41	26359.24	0.0263	39.46	313495.00	0.1838	39.62	133706.13	0.2394	
4	18   	129449.25	0.0680	40.89	446788.67	0.1171	12.26	1166467.93	0.2661	26.27	147135.69	0.1239	26.12	108821.36	0.1290	11.23	22434.23	0.1014	23.83	10701.00	0.0148	37.72	37036.00	0.0815	38.51	139616.88	0.1392	37.56	356405.99	0.2090	31.38	-----	-----	
5	14   	441308.64	0.2320	39.3 	418358.33	0.1097	9.935 	1615168.95	0.3685	25.53	34287.39	0.0289	25.53	69983.64	0.0830	8.0   	25639.06	0.1158	19.62	19336.89	0.0267	35.82	37234.99	0.0819	36.45	124184.27	0.1238	33.6 	53991.00	0.0317	28.34	-----	-----	
6				37.56	249092.53	0.0653				24.64	107142.02	0.0902	24.72	49636.52	0.0588	7.226 	14391.94	0.0650	15.35	41063.81	0.0566	28.34	28332.29	0.0623	28.78	15692.82	0.0156	28.93	9390.01	0.0055	22.58	157455.25	0.2819	
7				35.66	125661.35	0.0329				16.77	299675.39	0.2523	16.71	195046.83	0.2312				8.129 	61781.75	0.0852	26.27	38836.34	0.0854	26.71	33090.36	0.0330	25.09	23054.00	0.0135	19.33	45997.29	0.0823	
8				33.6 	35670.66	0.0093				15.81	319499.77	0.2690	15.74	218708.83	0.2592				7.29  	49887.69	0.0688	22.21	9283.21	0.0204	22.72	35158.00	0.0351	23.46	80149.21	0.0470	17.94	21298.49	0.0381	
9				31.22	-----	-----				8.065 	94086.35	0.0792	11.1 	20848.37	0.0247							20.07	78965.65	0.1737	20.66	229278.00	0.2286	21.4 	265591.00	0.1557	8.516 	67414.11	0.1207	
10				29.16	-----	-----				7.161 	54985.32	0.0463	8.065 	58725.93	0.0696							17.03	114538.00	0.2519	17.42	260206.00	0.2595	19.77	132359.80	0.0776				
11				27.82	-----	-----							7.226 	43481.79	0.0515							15.81	31330.50	0.0689	16.39	64669.00	0.0645	18.3 	22728.80	0.0133				
12				26.79	-----	-----																8.129 	34279.50	0.0754	8.129 	50135.34	0.0500	8.194 	180704.66	0.1059				
13				25.46	-----	-----																7.226 	16409.00	0.0361	7.29  	23917.36	0.0238	7.355 	48812.89	0.0286				
14				24.35	-----	-----																												
15				23.09	-----	-----																												
16				21.69	28856.49	0.0076																												
17				19.99	137165.25	0.0360																												
18				18   	108378.07	0.0284																												
19				16   	146738.34	0.0385																												
20				14.97	108725.56	0.0285																												
21				13.1 	305477.55	0.0801																												
22				12.39	111672.10	0.0293																												
23				10.52	631770.68	0.1656																												
24				9.871 	208372.04	0.0546																												
