,1: CandyCane,,,2: ECOLI,,,3: 101-01N3S2,,,4: 102-19N1S4,,,5: 103-01N3S4,,,6: 104-01P5S4,,,7: 105-19P2S4,,,8: 106-19P5S3,,,9: 107-19P5S1,,,10: 108-01P2S1,,,11: 109-19N5S2,,,12: 110-19N2S1,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,0,0,67483.4,233.08,0.0588,52036.4,112.74,0.7542,41657.9,89.7,0.3708,25595.2,94.86,1,23500,13.47,1,55090.9,131.01,0.3721,68331.1,416.01,0.0574,52690.9,85.6,0.7557,28738.1,79.06,1,67695.4,61.81,0.0167,42000,159.99,0.1603
2,66000,1411.32,0.3018,43745.5,2771.03,0.8418,24547.6,62,0.2458,40959.9,77.9,0.248,,,,,,,53563.6,150.93,0.071,54218.2,787.35,0.1057,31546.3,44.78,0.168,,,,63381.8,221.74,0.0896,41605.3,226.75,0.3224
3,42000,3701.76,0.4043,31932.1,115.1,0.0102,,,,30620.4,51.26,0.1704,,,,,,,52036.4,157.75,0.0111,52254.5,1219.86,0.1191,27952.4,33.47,0.0763,,,,52254.5,264.12,0.125,40728.4,168.47,0.1839
4,41500,1287.98,0.0854,30620.4,287.86,0.028,,,,22190.5,81.79,0.2109,,,,,,,49854.5,126.41,0.0774,50072.7,1473.3,0.1744,,,,,,,42436.4,756.91,0.192,29617.3,135.14,0.3334
5,29000,478.7,0.0714,22190.5,281.8,0.0184,,,,,,,,,,,,,47454.5,79.27,0.0898,48327.3,1502.43,0.2097,,,,,,,41789.5,823.54,0.2248,,,
6,18000,1970.57,0.1371,19571.4,353.57,0.0429,,,,,,,,,,,,,44836.4,42.63,0.0528,45490.9,870.07,0.0568,,,,,,,40188.3,73.17,0.0244,,,
7,,,,,,,,,,,,,,,,,,,37642,13.41,0.0016,42654.5,432.69,0.0444,,,,,,,35481.5,63.68,0.0206,,,
8,,,,,,,,,,,,,,,,,,,32472.2,46.46,0.0597,41842.1,319.41,0.035,,,,,,,33629.6,179.28,0.0378,,,
9,,,,,,,,,,,,,,,,,,,31006.2,125.84,0.1418,41422.8,185.68,0.031,,,,,,,31932.1,421.04,0.2137,,,
10,,,,,,,,,,,,,,,,,,,26381,112.39,0.1227,35558.6,132.46,0.0185,,,,,,,26381,152.58,0.0553,,,
11,,,,,,,,,,,,,,,,,,,,,,34246.9,206.4,0.0269,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,32703.7,351.16,0.0424,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,31932.1,328.22,0.0707,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,26904.8,82.72,0.008,,,,,,,,,,,,
