	1: CandyCane			2: Ecoli			3: 101-7803-A			4: 102-01N3S3			5: 103-01P5S1			6: 112-21N5S5			7: 114-21P2S2			8: 121-21P3S2			9: 117-21P4S3			10: 118-21P4S5			11: 119-21P5S1			12: 120-21P5S3			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	3752.14	0.3747	65.13	687.56	0.0836	61.38	44.05	0.0078	47   	137.69	0.0221	40.33	59.27	0.0276	65.13	590.32	0.0754	83.25	511.24	0.1285	41.26	492.94	0.1058	70.13	552.42	0.1373	82   	1472.00	0.1219	43.25	363.60	0.1923	43.25	412.63	0.2705	
2	42   	3696.66	0.3718	60.75	1062.61	0.0954	45.75	31.00	0.0019	36.43	120.04	0.0196	26.53	99.57	0.0681	38.84	1866.87	0.2953	78.88	598.34	0.0907	38.84	342.08	0.0691	65.13	525.56	0.0859	77.63	1754.77	0.0877	40.33	300.26	0.1620	33.27	199.95	0.0731	
3	29   	299.00	0.0334	54.5 	1757.76	0.1465	40.7 	90.58	0.0106	26.12	604.05	0.1725	16.76	339.73	0.1897	31.6 	658.35	0.0852	73.25	526.92	0.0558	30.11	54.99	0.0111	59.5 	378.88	0.0708	72.63	2038.51	0.0737	31.79	54.95	0.0250	29.19	271.07	0.0892	
4	18   	367.60	0.0280	48.25	2126.95	0.1869	38.1 	32.55	0.0041	16.67	537.29	0.1095	15.69	180.64	0.0769	27.46	361.22	0.0190	67.63	326.80	0.0688	26.94	80.79	0.0210	51.38	227.87	0.0401	66.38	2133.77	0.0853	28.18	67.06	0.0273	22.83	327.48	0.1380	
5	14   	2665.42	0.1921	42.63	2001.56	0.0891	26.12	546.47	0.1615	15.69	466.36	0.0877	11.24	135.64	0.0708	24.07	566.64	0.0561	60.13	77.95	0.0123	20.67	263.67	0.0800	42   	519.97	0.0952	59.5 	1711.81	0.0617	21.7 	284.33	0.1797	19.23	438.90	0.1594	
6				40.14	1423.90	0.0546	16.76	451.03	0.0860	11.16	1.8903	-----	9.556 	398.59	0.1282	19.75	977.61	0.1232	33.46	92.77	0.0141	16.76	220.05	0.1228	39.03	286.19	0.0482	52.63	1151.55	0.0420	18.1 	317.82	0.1875	9.644 	564.37	0.2319	
7				38.1 	823.69	0.0406	15.6 	321.44	0.0534	8.044 	1133.26	0.4157	8.133 	303.26	0.2294	15.24	762.35	0.0563	30.11	270.23	0.0391	9.644 	530.66	0.1417	27.36	57.20	0.0088	40.7 	736.57	0.0705	10     	391.54	0.1620	5.111 	88.10	0.0378	
8				36.06	453.00	0.0306	7.867 	736.74	0.2957	5.2   	592.88	0.1764	5.378 	203.28	0.2093	14   	428.99	0.0169	27.05	425.04	0.0684	8.578 	865.39	0.3840	20.78	423.88	0.1289	33.27	731.34	0.0510	4.667 	110.38	0.0643				
9				33.64	192.28	0.0101	5.289 	716.62	0.3790							9.733 	1340.91	0.0620	22.73	173.70	0.0221	5.022 	156.30	0.0646	17.47	308.93	0.0459	29.37	552.48	0.0273							
10				31.6 	84.29	0.0027										8.933 	1162.93	0.0326	20.78	560.08	0.1224				16.4 	295.09	0.0510	22.42	477.57	0.0223							
11				29.19	20.33	-----										8.133 	1526.02	0.1350	17.11	627.66	0.1035				9.644 	480.29	0.0888	20.57	751.22	0.0649							
12				27.36	-----	-----										5.2   	368.26	0.0431	9.556 	529.54	0.0990				8.667 	667.94	0.1698	17.64	240.78	0.0102							
13				26.12	2.6118	-----													8.578 	691.39	0.1756				4.933 	98.65	0.0294	15.87	348.29	0.0161							
14				24.89	44.44	0.0022																						14.44	116.26	0.0030							
15				23.35	66.17	0.0068																						11.78	103.17	0.0035							
16				21.7 	117.81	0.0156																						9.822 	1020.78	0.0482							
17				19.64	214.90	0.0162																						8.489 	1419.40	0.1304							
18				17.73	202.48	0.0193																						5.556 	1011.65	0.0801							
19				15.69	334.48	0.0363																															
20				14.36	456.62	0.0379																															
21				12.58	699.03	0.0585																															
22				10.36	1032.19	0.0685																															
