	1: CandyCane			2: ECOLI			3: 11-19N1S2			4: 12-19N3S4			5: 13-19P4S5			6: 14-19P2S2			7: 15-01P2S2			8: 16-01N2S3			9: 113-21P2S1			10: 115-21P4S4			11: 116-21P4S2			12: 119-21N3S4			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	1511.09	0.4023	47.23	1108.06	0.1481	44.24	55.05	0.0553	38.26	273.50	0.3043	52.84	52.70	0.0929	56.58	258.09	0.0431	3.116 	509.83	1.0000	73.4 	425.60	0.1410	64.43	402.06	0.0655	70.04	165.74	0.0684	66.67	435.45	0.1359	57.33	369.80	0.0604	
2	42   	2359.39	0.2538	42.75	1275.46	0.1529	38.97	73.95	0.0668	35.23	249.22	0.1513	38.79	14.68	-----	51.35	282.87	0.1793				40.4 	203.38	0.0305	62.19	477.13	0.0924	65.93	235.48	0.0822	64.43	444.98	0.0574	45.36	416.85	0.0249	
3	29   	139.71	0.0019	40.75	1120.70	0.1207	36.66	84.44	0.0642	20.7 	70.80	0.0697	35.59	2.6985	-----	47.61	232.33	0.0691				38.26	1060.52	0.1599	58.45	527.76	0.0914	59.57	235.70	0.1214	61.07	431.35	0.0724	41.64	1053.65	0.0541	
4	18   	266.68	0.0231	38.97	800.72	0.0827	33.81	132.54	0.1044	19.35	117.55	0.1324	18.19	52.24	0.0916	43.12	161.27	0.0389				35.59	928.85	0.2842	55.46	529.82	0.1040	55.83	217.23	0.0573	58.07	388.71	0.0706	39.33	965.04	0.0776	
5	14   	3550.53	0.3188	37.01	411.24	0.0376	30.96	109.44	0.0880	7.395 	126.88	0.0954	15.77	6.8733	-----	40.22	99.18	0.0283				23.11	44.01	0.0052	51.72	386.35	0.0620	52.09	145.44	0.0598	54.71	300.08	0.0591	34.52	404.43	0.0443	
6				35.41	176.26	0.0166	16.33	47.03	0.0468	4.605 	181.80	0.2469	13.91	49.65	0.0321	27.94	43.76	0.0172				21.09	95.14	0.0381	47.98	265.38	0.0396	48.36	92.03	0.0462	50.97	207.71	0.0443	30.96	378.21	0.0411	
7				32.92	48.01	0.0029	15.12	62.50	0.0465				7.209 	156.35	0.2901	25.43	44.34	0.0213				8.605 	217.83	0.0300	43.12	173.48	0.0201	43.87	44.94	0.0178	46.86	148.74	0.0327	27.65	405.99	0.0516	
8				30.96	-----	-----	14   	33.75	0.0203				4.419 	223.99	0.5546	21.18	77.38	0.0304				7.395 	336.88	0.1141	40.58	128.24	0.0157	28.52	17.93	0.0054	42   	114.14	0.0327	25.33	145.60	0.0175	
9				28.81	-----	-----	7.581 	150.42	0.2612							19.16	214.30	0.1179				4.512 	437.38	0.1971	31.49	167.36	0.0311	25.91	37.08	0.0122	29.18	98.31	0.0250	23.21	296.34	0.0232	
10				27.84	-----	-----	4.884 	174.33	0.2465							15.77	194.44	0.0922							28.13	186.45	0.0280	21.76	64.29	0.0187	26.59	214.86	0.0489	21.67	553.57	0.0808	
11				26.11	9.3296	0.0005										7.488 	247.35	0.1851							25.62	273.61	0.0438	19.74	179.33	0.0871	24.46	137.81	0.0315	18.29	271.69	0.0327	
12				24.56	25.16	0.0025										4.698 	221.60	0.1772							21.57	200.49	0.0262	16.23	174.13	0.0614	22.63	161.93	0.0137	16.88	156.81	0.0084	
13				23.21	32.14	0.0032																			19.54	432.15	0.0735	7.674 	283.19	0.1619	20.32	206.30	0.0550	8.14  	1341.47	0.2407	
14				21.57	68.84	0.0068																			15.95	374.49	0.0512	4.791 	271.55	0.2002	16.88	291.98	0.0502	5.442 	1278.59	0.2428	
15				19.83	198.54	0.0344																			7.488 	591.15	0.1557				7.86  	414.89	0.1479				
16				17.81	191.06	0.0204																			4.326 	431.85	0.0996				4.977 	333.38	0.1227				
17				14.37	522.20	0.1427																															
18				12.33	693.02	0.1342																															
19				10.28	566.97	0.0850																															
20				7.86  	116.09	0.0111																															
