strain.list,lim,time,strain,bin,no.bands.list,rel.int
101-7803-A,A,NA,7803-A,1,0,0
101-7803-A,A,NA,7803-A,2,0,0
101-7803-A,A,NA,7803-A,3,0,0
101-7803-A,A,NA,7803-A,4,0,0
101-7803-A,A,NA,7803-A,5,0,0
101-7803-A,A,NA,7803-A,6,0,0
101-7803-A,A,NA,7803-A,7,0,0
101-7803-A,A,NA,7803-A,8,1,0.0351
101-7803-A,A,NA,7803-A,9,0,0
101-7803-A,A,NA,7803-A,10,0,0
101-7803-A,A,NA,7803-A,11,2,0.03755
101-7803-A,A,NA,7803-A,12,0,0
101-7803-A,A,NA,7803-A,13,0,0
101-7803-A,A,NA,7803-A,14,0,0
101-7803-A,A,NA,7803-A,15,2,0.0764
101-7803-A,A,NA,7803-A,16,1,0.0902
101-7803-A,A,NA,7803-A,17,0,0
104-21N2S1,N,21,21N2S1,1,0,0
104-21N2S1,N,21,21N2S1,2,0,0
104-21N2S1,N,21,21N2S1,3,0,0
104-21N2S1,N,21,21N2S1,4,0,0
104-21N2S1,N,21,21N2S1,5,0,0
104-21N2S1,N,21,21N2S1,6,0,0
104-21N2S1,N,21,21N2S1,7,0,0
104-21N2S1,N,21,21N2S1,8,0,0
104-21N2S1,N,21,21N2S1,9,0,0
104-21N2S1,N,21,21N2S1,10,0,0
104-21N2S1,N,21,21N2S1,11,2,0.3952
104-21N2S1,N,21,21N2S1,12,0,0
104-21N2S1,N,21,21N2S1,13,0,0
104-21N2S1,N,21,21N2S1,14,0,0
104-21N2S1,N,21,21N2S1,15,0,0
104-21N2S1,N,21,21N2S1,16,0,0
104-21N2S1,N,21,21N2S1,17,1,0.0148
105-21N2S3,N,21,21N2S3,1,0,0
105-21N2S3,N,21,21N2S3,2,0,0
105-21N2S3,N,21,21N2S3,3,0,0
105-21N2S3,N,21,21N2S3,4,0,0
105-21N2S3,N,21,21N2S3,5,0,0
105-21N2S3,N,21,21N2S3,6,1,0.0291
105-21N2S3,N,21,21N2S3,7,1,0.0155
105-21N2S3,N,21,21N2S3,8,0,0
105-21N2S3,N,21,21N2S3,9,0,0
105-21N2S3,N,21,21N2S3,10,1,0.0178
105-21N2S3,N,21,21N2S3,11,2,0.0817
105-21N2S3,N,21,21N2S3,12,0,0
105-21N2S3,N,21,21N2S3,13,0,0
105-21N2S3,N,21,21N2S3,14,1,0.0623
105-21N2S3,N,21,21N2S3,15,1,0.0854
105-21N2S3,N,21,21N2S3,16,0,0
105-21N2S3,N,21,21N2S3,17,1,0.0204
106-21N2S5,N,21,21N2S5,1,0,0
106-21N2S5,N,21,21N2S5,2,0,0
106-21N2S5,N,21,21N2S5,3,0,0
106-21N2S5,N,21,21N2S5,4,0,0
106-21N2S5,N,21,21N2S5,5,0,0
106-21N2S5,N,21,21N2S5,6,0,0
106-21N2S5,N,21,21N2S5,7,0,0
106-21N2S5,N,21,21N2S5,8,1,0.0033
106-21N2S5,N,21,21N2S5,9,0,0
106-21N2S5,N,21,21N2S5,10,2,0.08275
106-21N2S5,N,21,21N2S5,11,1,0.1238
106-21N2S5,N,21,21N2S5,12,0,0
106-21N2S5,N,21,21N2S5,13,1,0.0156
106-21N2S5,N,21,21N2S5,14,0,0
106-21N2S5,N,21,21N2S5,15,1,0.033
106-21N2S5,N,21,21N2S5,16,0,0
106-21N2S5,N,21,21N2S5,17,1,0.0351
107-21N3S2,N,21,21N3S2,1,0,0
107-21N3S2,N,21,21N3S2,2,0,0
107-21N3S2,N,21,21N3S2,3,1,0.0928
107-21N3S2,N,21,21N3S2,4,0,0
107-21N3S2,N,21,21N3S2,5,0,0
107-21N3S2,N,21,21N3S2,6,0,0
107-21N3S2,N,21,21N3S2,7,0,0
107-21N3S2,N,21,21N3S2,8,0,0
107-21N3S2,N,21,21N3S2,9,1,0.0355
107-21N3S2,N,21,21N3S2,10,1,0.1838
107-21N3S2,N,21,21N3S2,11,1,0.209
107-21N3S2,N,21,21N3S2,12,1,0.0317
107-21N3S2,N,21,21N3S2,13,1,0.0055
107-21N3S2,N,21,21N3S2,14,0,0
107-21N3S2,N,21,21N3S2,15,0,0
107-21N3S2,N,21,21N3S2,16,1,0.0135
107-21N3S2,N,21,21N3S2,17,1,0.047
108-21N3S3,N,21,21N3S3,1,0,0
108-21N3S3,N,21,21N3S3,2,1,0.1377
108-21N3S3,N,21,21N3S3,3,0,0
108-21N3S3,N,21,21N3S3,4,0,0
108-21N3S3,N,21,21N3S3,5,0,0
108-21N3S3,N,21,21N3S3,6,0,0
108-21N3S3,N,21,21N3S3,7,0,0
108-21N3S3,N,21,21N3S3,8,0,0
108-21N3S3,N,21,21N3S3,9,1,0.1269
108-21N3S3,N,21,21N3S3,10,1,0.2394
108-21N3S3,N,21,21N3S3,11,0,0
108-21N3S3,N,21,21N3S3,12,0,0
108-21N3S3,N,21,21N3S3,13,0,0
108-21N3S3,N,21,21N3S3,14,0,0
108-21N3S3,N,21,21N3S3,15,0,0
108-21N3S3,N,21,21N3S3,16,0,0
108-21N3S3,N,21,21N3S3,17,1,0.2819
103-01P5S1,P,01,01P5S1,1,0,0
103-01P5S1,P,01,01P5S1,2,0,0
103-01P5S1,P,01,01P5S1,3,0,0
103-01P5S1,P,01,01P5S1,4,0,0
103-01P5S1,P,01,01P5S1,5,0,0
103-01P5S1,P,01,01P5S1,6,0,0
103-01P5S1,P,01,01P5S1,7,0,0
103-01P5S1,P,01,01P5S1,8,0,0
103-01P5S1,P,01,01P5S1,9,0,0
103-01P5S1,P,01,01P5S1,10,1,0.0276
103-01P5S1,P,01,01P5S1,11,0,0
103-01P5S1,P,01,01P5S1,12,0,0
103-01P5S1,P,01,01P5S1,13,0,0
103-01P5S1,P,01,01P5S1,14,0,0
103-01P5S1,P,01,01P5S1,15,1,0.0681
103-01P5S1,P,01,01P5S1,16,0,0
103-01P5S1,P,01,01P5S1,17,0,0
112-21N5S5,N,21,21N5S5,1,0,0
112-21N5S5,N,21,21N5S5,2,0,0
112-21N5S5,N,21,21N5S5,3,1,0.0754
112-21N5S5,N,21,21N5S5,4,0,0
112-21N5S5,N,21,21N5S5,5,0,0
112-21N5S5,N,21,21N5S5,6,0,0
112-21N5S5,N,21,21N5S5,7,0,0
112-21N5S5,N,21,21N5S5,8,0,0
112-21N5S5,N,21,21N5S5,9,0,0
112-21N5S5,N,21,21N5S5,10,1,0.2953
112-21N5S5,N,21,21N5S5,11,0,0
