gel.date,gel,gel.id,lane,gellane.id,sample.type,batch,lps.sample
20150114,1,20150114-gel1,1,20150114-gel1-01,MW,MW,MW
20150114,1,20150114-gel1,2,20150114-gel1-02,std,std,EcoliR
20150114,1,20150114-gel1,3,20150114-gel1-03,std,std,EcoliSm
20150114,1,20150114-gel1,4,20150114-gel1-04,syn,1,1
20150114,1,20150114-gel1,5,20150114-gel1-05,syn,1,2
20150114,1,20150114-gel1,6,20150114-gel1-06,syn,1,3
20150114,1,20150114-gel1,7,20150114-gel1-07,syn,1,4
20150114,1,20150114-gel1,8,20150114-gel1-08,syn,1,5
20150114,1,20150114-gel1,9,20150114-gel1-09,syn,1,6
20150114,1,20150114-gel1,10,20150114-gel1-10,syn,1,7
20150114,1,20150114-gel1,11,20150114-gel1-11,syn,1,8
20150129,1,20150129-gel1,1,20150129-gel1-01,MW,MW,MW
20150129,1,20150129-gel1,2,20150129-gel1-02,MW,MW,MW
20150129,1,20150129-gel1,3,20150129-gel1-03,std,std,EcoliR
20150129,1,20150129-gel1,4,20150129-gel1-04,std,std,EcoliSm
20150129,1,20150129-gel1,5,20150129-gel1-05,syn,1,9
20150129,1,20150129-gel1,6,20150129-gel1-06,syn,1,10
20150129,1,20150129-gel1,7,20150129-gel1-07,syn,1,11
20150129,1,20150129-gel1,8,20150129-gel1-08,syn,1,12
20150129,1,20150129-gel1,9,20150129-gel1-09,syn,1,13
20150129,1,20150129-gel1,10,20150129-gel1-10,syn,1,14
20150129,1,20150129-gel1,11,20150129-gel1-11,syn,1,15
20150129,1,20150129-gel1,12,20150129-gel1-12,syn,1,16
20150129,2,20150129-gel2,1,20150129-gel2-01,MW,MW,MW
20150129,2,20150129-gel2,2,20150129-gel2-02,MW,MW,MW
20150129,2,20150129-gel2,3,20150129-gel2-03,std,std,EcoliR
20150129,2,20150129-gel2,4,20150129-gel2-04,std,std,EcoliSm
20150129,2,20150129-gel2,5,20150129-gel2-05,syn,1,17
20150129,2,20150129-gel2,6,20150129-gel2-06,syn,1,18
20150129,2,20150129-gel2,7,20150129-gel2-07,syn,1,19
20150129,2,20150129-gel2,8,20150129-gel2-08,syn,1,20
20150129,2,20150129-gel2,9,20150129-gel2-09,syn,1,21
20150129,2,20150129-gel2,10,20150129-gel2-10,syn,1,NA
20150129,2,20150129-gel2,11,20150129-gel2-11,syn,1,NA
20150129,2,20150129-gel2,12,20150129-gel2-12,syn,1,NA
20150525,1,20150525-gel1,1,20150525-gel1-01,MW,MW,MW
20150525,1,20150525-gel1,2,20150525-gel1-02,std,std,EcoliR
20150525,1,20150525-gel1,3,20150525-gel1-03,syn,1,1
20150525,1,20150525-gel1,4,20150525-gel1-04,syn,1,2
20150525,1,20150525-gel1,5,20150525-gel1-05,syn,1,3
20150525,1,20150525-gel1,6,20150525-gel1-06,syn,1,12
20150525,1,20150525-gel1,7,20150525-gel1-07,syn,1,14
20150525,1,20150525-gel1,8,20150525-gel1-08,syn,1,21
20150525,1,20150525-gel1,9,20150525-gel1-09,syn,1,17
20150525,1,20150525-gel1,10,20150525-gel1-10,syn,1,18
20150525,1,20150525-gel1,11,20150525-gel1-11,syn,1,19
20150525,1,20150525-gel1,12,20150525-gel1-12,syn,1,20
20150525,2,20150525-gel2,1,20150525-gel2-01,MW,MW,MW
20150525,2,20150525-gel2,2,20150525-gel2-02,std,std,EcoliR
20150525,2,20150525-gel2,3,20150525-gel2-03,syn,2,1
20150525,2,20150525-gel2,4,20150525-gel2-04,syn,2,2
20150525,2,20150525-gel2,5,20150525-gel2-05,syn,2,3
20150525,2,20150525-gel2,6,20150525-gel2-06,syn,2,4
20150525,2,20150525-gel2,7,20150525-gel2-07,syn,2,5
20150525,2,20150525-gel2,8,20150525-gel2-08,syn,2,6
20150525,2,20150525-gel2,9,20150525-gel2-09,syn,2,7
20150525,2,20150525-gel2,10,20150525-gel2-10,syn,2,8
20150525,2,20150525-gel2,11,20150525-gel2-11,syn,2,9
20150525,2,20150525-gel2,12,20150525-gel2-12,syn,2,10
20150525,3,20150525-gel3,1,20150525-gel3-01,MW,MW,MW
20150525,3,20150525-gel3,2,20150525-gel3-02,std,std,EcoliR
20150525,3,20150525-gel3,3,20150525-gel3-03,syn,2,11
20150525,3,20150525-gel3,4,20150525-gel3-04,syn,2,12
20150525,3,20150525-gel3,5,20150525-gel3-05,syn,2,13
20150525,3,20150525-gel3,6,20150525-gel3-06,syn,2,14
20150525,3,20150525-gel3,7,20150525-gel3-07,syn,2,15
20150525,3,20150525-gel3,8,20150525-gel3-08,syn,2,16
20150525,3,20150525-gel3,9,20150525-gel3-09,syn,1,13
20150525,3,20150525-gel3,10,20150525-gel3-10,syn,1,15
20150525,3,20150525-gel3,11,20150525-gel3-11,syn,1,16
20150525,3,20150525-gel3,12,20150525-gel3-12,syn,1,9
20160413,1,20160413-gel1,1,20160413-gel1-01,MW,MW,MW
20160413,1,20160413-gel1,2,20160413-gel1-02,syn,2,17
20160413,1,20160413-gel1,3,20160413-gel1-03,syn,2,18
20160413,1,20160413-gel1,4,20160413-gel1-04,syn,2,19
20160413,1,20160413-gel1,5,20160413-gel1-05,syn,2,20
20160413,1,20160413-gel1,6,20160413-gel1-06,syn,2,21
20160413,1,20160413-gel1,7,20160413-gel1-07,syn,2,22
20160413,1,20160413-gel1,8,20160413-gel1-08,syn,2,23
20160413,1,20160413-gel1,9,20160413-gel1-09,syn,2,24
20160413,1,20160413-gel1,10,20160413-gel1-10,std,std,EcoliR
20160413,2,20160413-gel2,1,20160413-gel2-01,MW,MW,MW
20160413,2,20160413-gel2,2,20160413-gel2-02,syn,2,25
20160413,2,20160413-gel2,3,20160413-gel2-03,syn,2,26
20160413,2,20160413-gel2,4,20160413-gel2-04,syn,2,27
20160413,2,20160413-gel2,5,20160413-gel2-05,syn,2,28
20160413,2,20160413-gel2,6,20160413-gel2-06,syn,2,29
20160413,2,20160413-gel2,7,20160413-gel2-07,syn,2,30
20160413,2,20160413-gel2,8,20160413-gel2-08,syn,2,31
20160413,2,20160413-gel2,9,20160413-gel2-09,syn,2,32
20160413,2,20160413-gel2,10,20160413-gel2-10,std,std,EcoliR
20160413,3,20160413-gel3,1,20160413-gel3-01,MW,MW,MW
20160413,3,20160413-gel3,2,20160413-gel3-02,syn,2,33
20160413,3,20160413-gel3,3,20160413-gel3-03,syn,2,34
20160413,3,20160413-gel3,4,20160413-gel3-04,syn,2,35
20160413,3,20160413-gel3,5,20160413-gel3-05,syn,2,36
20160413,3,20160413-gel3,6,20160413-gel3-06,syn,2,37
20160413,3,20160413-gel3,7,20160413-gel3-07,syn,2,38
20160413,3,20160413-gel3,8,20160413-gel3-08,syn,2,39
20160413,3,20160413-gel3,9,20160413-gel3-09,syn,2,40
20160413,3,20160413-gel3,10,20160413-gel3-10,std,std,EcoliR
20160413,4,20160413-gel4,1,20160413-gel4-01,MW,MW,MW
20160413,4,20160413-gel4,2,20160413-gel4-02,syn,2,41
20160413,4,20160413-gel4,3,20160413-gel4-03,syn,2,42
20160413,4,20160413-gel4,4,20160413-gel4-04,syn,2,43
20160413,4,20160413-gel4,5,20160413-gel4-05,syn,2,44
20160413,4,20160413-gel4,6,20160413-gel4-06,syn,2,45
20160413,4,20160413-gel4,7,20160413-gel4-07,syn,2,46
