,2: 57-19P2S1,,,4: 56-19P2S4,,,6: 55-19P5S1,,,8: 37-19P5S5,,,9: 49-01P2S2,,
Band #,MW (Kd),Band Int.,Rel. Int.,MW (Kd),Band Int.,Rel. Int.,MW (Kd),Band Int.,Rel. Int.,MW (Kd),Band Int.,Rel. Int.,MW (Kd),Band Int.,Rel. Int.
1,87.39,68.05,0.0178,91.71,45,0.0049,86.13,98.26,0.0162,83.26,99.67,0.0644,71.39,121.33,0.0374
2,84.16,144.8,0.0469,87.93,193.83,0.0379,82.54,252.36,0.0478,81.1,139.47,0.1085,68.16,271.26,0.0734
3,82,202.97,0.1114,84.88,389.93,0.0492,80.2,335.08,0.073,78.76,140.33,0.0999,61.03,225.19,0.0647
4,78.4,237.58,0.0746,82.9,529.93,0.0581,78.04,339.74,0.08,76.43,111.2,0.0889,41.82,136.66,0.0457
5,76.07,166.67,0.0545,81.28,605.57,0.0782,75.71,301.46,0.0641,73.73,85.2,0.0694,41.6,81.25,0.0237
6,73.73,99.77,0.0313,79.12,569.76,0.0726,73.19,266.23,0.0576,71.03,63.2,0.0428,39.44,666.47,0.3313
7,71.03,55.73,0.0179,77.15,456.76,0.0563,70.49,222.05,0.0529,68.16,41.27,0.0285,36.17,157.84,0.0452
8,68.16,32.61,0.0101,74.63,302.31,0.0389,67.62,169.93,0.0367,60.21,13.53,0.0083,33.83,201.53,0.0849
9,63.52,36.57,0.0128,72.11,187.86,0.0238,59.38,82.87,0.018,40.29,49.65,0.0368,29.5,707.68,0.275
10,48.62,20.32,0.0064,69.42,124.6,0.0166,42,52.03,0.011,38.38,21.91,0.0148,27.43,164.55,0.0153
11,41.76,17.1,0.009,66.36,74.69,0.0087,41.84,65.3,0.0174,36.32,59.26,0.0432,19.73,24.07,0.0035
12,41.5,28.38,0.0113,49.45,87.7,0.0137,41.61,84.06,0.018,33.97,161.79,0.1541,,,
13,38.8,164.85,0.1175,41.95,111.62,0.0205,40.01,308.04,0.0985,29.99,300.4,0.2404,,,
14,35.11,116.59,0.0478,41.76,111.54,0.0132,38.3,100.37,0.0169,,,,,,
15,32.76,240.6,0.1306,41.54,191,0.0341,36.32,193.91,0.0535,,,,,,
16,28.37,460.8,0.2092,39.16,500.11,0.116,34.89,253.01,0.0656,,,,,,
17,25.86,214.26,0.0908,35.82,312.67,0.0692,34.04,333.67,0.0937,,,,,,
18,,,,34.47,339.14,0.0494,30.07,590.76,0.1686,,,,,,
19,,,,33.55,453.5,0.0858,28.53,85.75,0.0104,,,,,,
20,,,,29.57,673.71,0.1436,,,,,,,,,
21,,,,27.59,121.81,0.0093,,,,,,,,,
