gel.id,gellane.id,strain,strain.id,trt,lim,cID,tm.pt,Band,MW,intensity,rel.int,
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,1,46.31,41686.45,0.0351,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,2,37.4,28053.21,0.0236,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,3,35.34,61126.64,0.0515,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,4,26.27,147135.69,0.1239,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,5,25.53,34287.39,0.0289,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,6,24.64,107142.02,0.0902,oant
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,7,16.77,299675.39,0.2523,lpdaC
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,8,15.81,319499.77,0.269,lpda
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,9,8.065,94086.35,0.0792,lpda
20150114-gel1,20150114-gel1-04,7803-A,101-7803-A,A,A,NA,0,10,7.161,54985.32,0.0463,lpda
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,1,44.46,18997.33,0.0225,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,2,36.93,16883.15,0.02,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,3,34.87,42539.13,0.0504,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,4,26.12,108821.36,0.129,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,5,25.53,69983.64,0.083,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,6,24.72,49636.52,0.0588,oant
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,7,16.71,195046.83,0.2312,lpdaC
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,8,15.74,218708.83,0.2592,lpda
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,9,11.1,20848.37,0.0247,lpda
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,10,8.065,58725.93,0.0696,lpda
20150114-gel1,20150114-gel1-05,01N3S3,102-01N3S3,C,N,N3,1,11,7.226,43481.79,0.0515,lpda
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,1,25.97,30111,0.1361,oant
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,2,16.84,80341.9,0.363,lpdaC
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,3,15.81,48403.74,0.2187,lpda
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,4,11.23,22434.23,0.1014,lpda
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,5,8,25639.06,0.1158,lpda
20150114-gel1,20150114-gel1-06,01P5S1,103-01P5S1,C,P,P5,1,6,7.226,14391.94,0.065,lpda
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,1,61.08,NA,NA,oant
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,2,37.72,272113.61,0.3751,oant
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,3,35.18,301256.66,0.4153,oant
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,4,23.83,10701,0.0148,oant
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,5,19.62,19336.89,0.0267,oant
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,6,15.35,41063.81,0.0566,lpdaC
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,7,8.129,61781.75,0.0852,lpda
20150114-gel1,20150114-gel1-07,21N2S1,104-21N2S1,T,N,N2,21,8,7.29,49887.69,0.0688,lpda
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,1,54.31,13221.55,0.0291,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,2,50,7038.35,0.0155,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,3,39.62,8104.4,0.0178,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,4,37.72,37036,0.0815,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,5,35.82,37234.99,0.0819,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,6,28.34,28332.29,0.0623,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,7,26.27,38836.34,0.0854,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,8,22.21,9283.21,0.0204,oant
20150114-gel1,20150114-gel1-08,21N2S3,105-21N2S3,T,N,N2,21,9,20.07,78965.65,0.1737,oant
