	1: CandyCane			2: 25-19N5S1			3: 26-19N3S2			4: 27-19N3S5			5: 28-01N5S2			6: 29-19P4S3			7: 30-05N2S4			8: 31-8101			9: 32-7803R8			10: Untitled			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	784.00	0.1463	48.93	576.15	0.0509	44.83	128.45	0.1873	62.16	264.73	0.1997	29   	43.44	0.1902	78.22	288.26	0.0309	68.46	325.84	0.0519	28.92	30.12	0.0878	71.92	777.26	0.0861	58.06	232.55	0.0363	
2	42   	2376.72	0.5179	44.83	1975.63	0.1967	41.25	139.53	0.2037	57.75	294.79	0.2117	19.36	151.58	0.4885	49.87	1207.25	0.1054	65.31	502.57	0.0582	17.64	437.11	0.5991	69.4 	1490.03	0.0297	54.91	437.15	0.1026	
3	29   	220.65	0.0255	41.38	1540.14	0.1470	28.68	121.99	0.2145	53.34	209.85	0.1351	13.57	46.41	0.1638	46.41	3720.40	0.2888	62.16	631.29	0.0620	16.29	196.60	0.3131	66.25	2304.99	0.1646	51.76	595.75	0.1289	
4	18   	128.50	0.0210	37.75	149.20	0.0117	26.91	36.13	0.0439	49.56	155.19	0.1002	11.43	35.44	0.1575	41.88	3872.23	0.3062	59.01	513.01	0.0383				62.47	2190.15	0.2203	47.98	526.88	0.1180	
5	14   	2347.35	0.2894	35.75	171.78	0.0235	18.8 	31.15	0.0523	45.46	96.40	0.0656				39.25	336.59	0.0302	55.23	313.68	0.0350				59.32	1841.11	0.0599	44.2 	332.00	0.0750	
6				32.63	306.69	0.0455	17.36	47.41	0.0816	28.92	72.36	0.0335				37.75	271.66	0.0228	51.45	229.35	0.0276				56.17	1443.08	0.1188	41.25	166.38	0.0347	
7				28.68	528.90	0.0919	12.64	46.81	0.2167	27.23	26.45	0.0133				35   	268.95	0.0212	46.72	334.93	0.0449				51.76	794.42	0.0611	39.5 	76.03	0.0142	
8				26.99	154.66	0.0126				23.46	85.95	0.1515				31.88	226.00	0.0226	41.88	262.49	0.0341				47.04	303.87	0.0294	37.25	4.7123	0.0040	
9				24.91	260.61	0.0297				19.04	17.35	0.0136				29.75	425.68	0.0359	35.63	219.11	0.0684				42.63	173.22	0.0150	24.02	13.19	0.0015	
10				23.38	394.31	0.0289				17.5 	70.58	0.0570				27.8 	476.04	0.0523	32.38	176.39	0.0222				40.13	125.85	0.0109	22.09	53.24	0.0108	
11				22.5 	618.71	0.0809				13.5 	26.84	0.0187				25.55	520.86	0.0670	29.5 	170.75	0.0214				35.38	66.51	0.0050	18.16	27.31	0.0039	
12				18.56	1577.50	0.1954										23.22	151.60	0.0117	27.8 	133.23	0.0148				32.5 	67.73	0.0068	16.07	163.17	0.0365	
13				17.43	625.04	0.0760										19.12	1.6311	-----	26.19	134.67	0.0178				29.88	190.75	0.0215	13.79	522.91	0.1624	
14				13.43	89.09	0.0095										13.64	34.79	0.0045	24.42	235.07	0.0242				27.55	165.16	0.0178	10.71	633.38	0.2713	
15																10.14	24.00	0.0007	22.9 	446.54	0.0452				25.95	585.09	0.0504				
16																			21.93	777.21	0.1135				24.5 	347.82	0.0493				
17																			19.2 	632.27	0.0788				23.46	480.07	0.0315				
18																			18.16	379.91	0.0434				19.36	230.98	0.0219				
19																			16.86	1355.41	0.1749										
20																			15.57	308.91	0.0234										
