,1: CandyCane,,,2: 42-19N1S4,,,3: 43-19N5S2,,,4: 44-19P5S3,,,5: 45-19N3S4,,,6: 46-19N1S2,,,7: 47-05P4S1,,,8: 48-19P4S5,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,1496.29,0.3365,28914.1,104.76,0.4349,45042.3,1332.86,0.47,52140.8,145.45,0.0513,49774.6,550.65,0.1241,41883.3,216.24,0.0512,30838.2,398.41,0.186,47746.5,601.25,0.1331
2,66000,240.8,0.0291,27625,29.55,0.0871,41866.7,1518.89,0.53,47408.5,669.45,0.276,45380.3,2082.17,0.2509,41616.7,1297.71,0.266,28742.2,158.24,0.0715,43014.1,416.44,0.071
3,42000,147.73,-----,19289.1,9.92,0.0294,,,,43352.1,651.73,0.3591,41983.3,2311.16,0.3646,39845.6,1048.18,0.226,20234.4,676.49,0.3429,30470.6,489.06,0.1332
4,41500,-----,-----,17755.1,38.04,0.1915,,,,30470.6,85.97,0.0434,29367.6,135.65,0.0573,31022.1,349.2,0.1042,14326.5,336.39,0.2512,28226.6,115.75,0.0316
5,29000,918.41,0.1053,13183.7,33.08,0.257,,,,28570.3,53.56,0.0256,26078.1,304.42,0.0697,28570.3,93.76,0.0169,11469.4,224.34,0.1484,25562.5,33.36,0.0111
6,18000,321.67,0.0724,,,,,,,26679.7,24.72,0.0163,24101.6,391.65,0.1072,26164.1,-----,-----,,,,23929.7,231.89,0.0482
7,14000,2365.57,0.5478,,,,,,,24445.3,103.9,0.0689,20234.4,176.86,0.0227,23757.8,5.72,-----,,,,19890.6,1385.26,0.3639
8,,,,,,,,,,19976.6,154.27,0.1103,13918.4,6.472,0.0035,20320.3,989.12,0.2637,,,,18687.5,397.18,0.083
9,,,,,,,,,,14408.2,61.38,0.0491,,,,15551,101.08,0.0221,,,,13673.5,232.47,0.1025
10,,,,,,,,,,,,,,,,14408.2,104.32,0.0356,,,,11469.4,86.39,0.0223
11,,,,,,,,,,,,,,,,11959.2,25.12,0.0043,,,,,,
12,,,,,,,,,,,,,,,,9428.6,17.17,0.0012,,,,,,
13,,,,,,,,,,,,,,,,9020.4,49,0.0111,,,,,,
