,1: CandyCane,,,2: 101-7803,,,3: 102-01N3S3,,,4: 103-01P5S1,,,5: 112-21N5S5,,,6: 114-21P2S2,,,7: 121-21P3S2,,,8: 117-21P4S3,,,9: 118-21P4S5,,,10: 119-21P5S1,,,11: 120-21P5S3,,,12: Untitled,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,3752.14,0.3524,65125,687.56,0.0925,61375,44.05,0.0078,47000,137.69,0.0221,41750,59.27,0.0276,97000,383.09,0.037,83250,511.24,0.1285,96375,374.14,0.1432,70125,552.42,0.1373,82000,1472,0.1219,43250,363.6,0.1923,43250,412.63,0.2705
2,42000,3696.66,0.3496,60750,1062.61,0.1056,45750,31,0.0019,39726.4,120.04,0.0196,30267.3,99.57,0.0681,65125,590.32,0.0726,78875,598.34,0.0907,65125,351.9,0.1175,65125,525.56,0.0859,77625,1754.77,0.0877,41750,300.26,0.162,37213.8,199.95,0.0731
3,41500,1187.36,0.0911,54500,1757.76,0.1621,41805.6,90.58,0.0106,29676.1,604.05,0.1725,16755.6,339.73,0.1897,41527.8,1866.87,0.2843,73250,526.92,0.0558,41888.9,492.94,0.0782,59500,378.88,0.0708,72625,2038.51,0.0737,36031.4,54.95,0.025,33962.3,271.07,0.0892
4,18000,367.6,0.0263,48250,2126.95,0.2068,41056.6,32.55,0.0041,16666.7,537.29,0.1095,15688.9,180.64,0.0769,35883.6,658.35,0.0821,67625,326.8,0.0688,41527.8,342.08,0.0511,51375,227.87,0.0401,66375,2133.77,0.0853,32632.1,67.06,0.0273,24946.5,327.48,0.138
5,14000,2665.42,0.1806,42625,2001.56,0.0986,29676.1,546.47,0.1615,15688.9,466.36,0.0877,11244.4,135.64,0.0708,31597.5,361.22,0.0183,60125,77.95,0.0123,34701.3,54.99,0.0082,42000,519.97,0.0952,59500,1711.81,0.0617,23320.8,284.33,0.1797,19773.6,438.9,0.1594
6,,,,41722.2,1423.9,0.0604,16755.6,451.03,0.086,11155.6,1.8903,-----,9555.6,398.59,0.1282,26720.1,566.64,0.054,37361.6,92.77,0.0141,30858.5,80.79,0.0156,41555.6,286.19,0.0482,52625,1151.55,0.042,18147.8,317.82,0.1875,9644.4,564.37,0.2319
7,,,,41056.6,823.69,0.0449,15600,321.44,0.0534,8044.4,1133.26,0.4157,8133.3,303.26,0.2294,20512.6,977.61,0.1186,34701.3,270.23,0.0391,21842.8,263.67,0.0591,31449.7,57.2,0.0088,41805.6,736.57,0.0705,10000,391.54,0.162,5111.1,88.1,0.0378
8,,,,39430.8,453,0.0339,7866.7,736.74,0.2957,5200,592.88,0.1764,5377.8,203.28,0.2093,15244.4,762.35,0.0543,31006.3,425.04,0.0684,16755.6,220.05,0.0908,21990.6,423.88,0.1289,37213.8,731.34,0.051,4666.7,110.38,0.0643,,,
9,,,,37509.4,192.28,0.0112,5288.9,716.62,0.379,,,,,,,14000,428.99,0.0163,24798.7,173.7,0.0221,9644.4,530.66,0.1048,17466.7,308.93,0.0459,34110.1,552.48,0.0273,,,,,,
10,,,,35883.6,84.29,0.0029,,,,,,,,,,9733.3,1340.91,0.0597,21990.6,560.08,0.1224,8577.8,865.39,0.2839,16400,295.09,0.051,24355.3,477.57,0.0223,,,,,,
11,,,,33962.3,20.33,-----,,,,,,,,,,8933.3,1162.93,0.0314,17111.1,627.66,0.1035,5022.2,156.3,0.0477,9644.4,480.29,0.0888,21695,751.22,0.0649,,,,,,
12,,,,31449.7,-----,-----,,,,,,,,,,8133.3,1526.02,0.13,9555.6,529.54,0.099,,,,8666.7,667.94,0.1698,17644.4,240.78,0.0102,,,,,,
13,,,,29676.1,2.6118,-----,,,,,,,,,,5200,368.26,0.0415,8577.8,691.39,0.1756,,,,4933.3,98.65,0.0294,15866.7,348.29,0.0161,,,,,,
14,,,,27902.5,44.44,0.0025,,,,,,,,,,,,,,,,,,,,,,14444.4,116.26,0.003,,,,,,
15,,,,25685.5,66.17,0.0075,,,,,,,,,,,,,,,,,,,,,,11777.8,103.17,0.0035,,,,,,
16,,,,23320.8,117.81,0.0173,,,,,,,,,,,,,,,,,,,,,,9822.2,1020.78,0.0482,,,,,,
17,,,,20364.8,214.9,0.018,,,,,,,,,,,,,,,,,,,,,,8488.9,1419.4,0.1304,,,,,,
18,,,,17733.3,202.48,0.0213,,,,,,,,,,,,,,,,,,,,,,5555.6,1011.65,0.0801,,,,,,
19,,,,15688.9,334.48,0.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,10355.6,1032.19,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
