	1: CandyCane			2: E. coli Sm			3: E. coli R			
Band #	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	MW (Kd)	Net Int.	Rel. Int.	
1	82   	1761393.54	0.3468	68.27	164296.24	0.0483	20.8 	190870.00	0.0473	
2	42   	862834.94	0.1699	62.9 	401638.80	0.1181	18   	146725.86	0.0364	
3	29   	115930.62	0.0228	56.93	566871.28	0.1667	15.17	2335757.44	0.5793	
4	18   	413669.22	0.0814	50.96	635129.75	0.1868	12.83	557041.58	0.1382	
5	14   	1925237.11	0.3791	44.99	546282.95	0.1607	11   	801551.16	0.1988	
6				41.25	367661.64	0.1081				
7				39.61	177479.38	0.0522				
8				37.82	65996.60	0.0194				
9				36.02	13380.42	0.0039				
10				33.63	-----	-----				
11				31.69	-----	-----				
12				29.3 	-----	-----				
13				27.6 	2903.26	0.0009				
14				26.1 	4573.61	0.0013				
15				24.7 	13958.95	0.0041				
16				22.9 	38271.26	0.0113				
17				21   	86675.52	0.0255				
18				18.2 	24496.40	0.0072				
19				15.75	73077.34	0.0215				
20				13.25	101486.18	0.0298				
21				10.92	151088.47	0.0444				
