	1: CandyCane			2: ECOLI			3: 101-01N3S2			4: 102-19N1S4			5: 103-01N3S4			6: 104-01P5S4			7: 105-19P2S4			8: 106-19P5S3			9: 107-19P5S1			10: 108-01P2S1			11: 109-19N5S2			12: 110-19N2S1			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	1179.70	0.3172	52.4 	1592.61	0.1171	16.38	62.00	1.0000	39.23	89.70	0.3708	16.76	94.86	1.0000	16.86	28.94	1.0000	66   	131.01	0.3721	94.8 	416.01	0.0574	61.6 	85.60	0.7557	17.9 	79.06	1.0000	92.4 	61.81	0.0167	42   	159.99	0.1603	
2	42   	3701.76	0.4317	48.8 	2275.68	0.1207				36.46	77.90	0.2480							63.2 	150.93	0.0710	64.4 	787.35	0.1057	21.02	44.78	0.1680				81.2 	221.74	0.0896	38.8 	226.75	0.3224	
3	29   	337.47	0.0285	45.2 	2771.03	0.1884				19.93	51.26	0.1704							60.4 	157.75	0.0111	60.8 	1219.86	0.1191	17.62	33.47	0.0763				60.8 	264.12	0.1250	35.82	168.47	0.1839	
4	18   	478.70	0.0763	41.79	2519.67	0.1364				15.52	81.79	0.2109							56.4 	126.41	0.0774	56.8 	1473.30	0.1744							42.8 	756.91	0.1920	18.73	135.14	0.3334	
5	14   	1970.57	0.1464	39.44	1763.30	0.1603													52   	79.27	0.0898	53.6 	1502.43	0.2097							40.3 	823.54	0.2248				
6				37.1 	1078.16	0.1016													47.2 	42.63	0.0528	48.4 	870.07	0.0568							34.33	73.17	0.0244				
7				34.54	564.87	0.0585													28.27	13.41	0.0016	43.2 	432.69	0.0444							25.7 	63.68	0.0206				
8				32.2 	332.85	0.0323													22.13	46.46	0.0597	40.72	319.41	0.0350							23.5 	179.28	0.0378				
9				29.85	161.12	0.0172													20.38	125.84	0.1418	37.74	185.68	0.0310							21.48	421.04	0.2137				
10				28.18	76.34	0.0076													17.05	112.39	0.1227	25.79	132.46	0.0185							17.05	152.58	0.0553				
11				27.07	43.08	0.0042																24.23	206.40	0.0269													
12				25.7 	41.62	0.0023																22.4 	351.16	0.0424													
13				24.32	72.36	0.0040																21.48	328.22	0.0707													
14				22.95	67.50	0.0040																17.24	82.72	0.0080													
15				21.48	115.10	0.0044																															
16				19.93	287.86	0.0122																															
17				18   	136.40	0.0043																															
18				14.57	353.57	0.0132																															
19				12.29	450.76	0.0206																															
20				10     	390.87	-----																															
