,1: CandyCane,,,2: 04-01P5S5,,,3: 50-01P5S5,,,4: 2-19N1S4,,,5: 42-19N1S4,,,6: 51-19N2S5,,,7: 26-19N3S2,,,8: 45-19N3S4,,,9: 27-19N3S5,,,10: Untitled,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,621.44,0.1002,,,,95333.3,87.94,0.0121,45294.1,37.36,0.2272,54235.3,154.57,0.0335,103333.3,526.58,0.0557,50470.6,82.33,0.289,108666.7,130.52,0.0099,82533.3,138.94,0.1682,70800,183.99,0.1039
2,66000,540.98,0.0934,,,,66000,142.64,0.0224,41865.4,28.64,0.1946,46705.9,688.3,0.2498,93200,67.4,0.0037,42941.2,106.75,0.3839,82000,156.41,0.0225,76133.3,159.37,0.1926,65058.8,356.3,0.2131
3,42000,2639.19,0.5518,,,,51882.4,303.93,0.0289,17522.4,46.34,0.5254,41923.1,709.93,0.254,75066.7,360.4,0.0383,22664.6,33.8,0.327,57529.4,715.09,0.0537,70800,153.4,0.1697,59411.8,475.64,0.2942
4,41500,723.46,0.134,,,,43882.4,767.92,0.1166,16626.9,11.06,0.0527,26632.9,63.09,0.0189,53764.7,1184.09,0.0625,,,,50000,2794.65,0.1963,64588.2,118.83,0.1322,53294.1,423,0.2566
5,29000,286.71,0.0439,,,,41788.5,522.57,0.0776,,,,24753.2,157.23,0.0603,45294.1,3085.5,0.1578,,,,42941.2,3348.93,0.232,57529.4,84.88,0.0941,47176.5,276.36,0.1602
6,18000,180.87,0.0245,,,,37214.3,170.45,0.0299,,,,22664.6,384.05,0.2154,41846.2,3339.67,0.167,,,,33464.3,226.74,0.0247,48588.2,37.73,0.0449,41942.3,138.76,0.0761
7,14000,418.43,0.0522,,,,31500,282.09,0.0575,,,,19113.9,131.64,0.0392,39178.6,526.43,0.0213,,,,28582.3,451.58,0.0568,42470.6,16.37,0.0211,41653.8,68.18,0.0362
8,,,,,,,27329.1,1410.79,0.3205,,,,17820.9,330.95,0.1289,35071.4,384.89,0.038,,,,26981,613.14,0.0895,23082.3,55.15,0.2159,40250,29.6,0.0129
9,,,,,,,24057,201.08,0.032,,,,,,,31142.9,174.95,0.0088,,,,24892.4,734.69,0.1204,18974.7,-----,-----,37392.9,9.0467,0.0035
10,,,,,,,22038,356.19,0.0854,,,,,,,28303.8,226,0.0112,,,,22943,873.67,0.1608,,,,22107.6,14.07,0.0085
11,,,,,,,18974.7,310.95,0.0366,,,,,,,26493.7,559.7,0.061,,,,19253.2,373.78,0.0335,,,,18278.5,-----,-----
12,,,,,,,18069.6,1585.24,0.1425,,,,,,,24265.8,835.87,0.1084,,,,,,,,,,16447.8,-----,-----
13,,,,,,,17223.9,339.71,0.0348,,,,,,,22386.1,1122.98,0.1968,,,,,,,,,,14597,28.56,-----
14,,,,,,,14238.8,11.7,0.0009,,,,,,,19322.8,-----,-----,,,,,,,,,,12626.9,-----,-----
15,,,,,,,13223.9,24.64,0.0021,,,,,,,17283.6,629.84,0.0707,,,,,,,,,,,,
