Gel.dat,Gel,lim,cID,Sample,lane,Band,MW,Band Int.,Rel. Int.
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,3,38895.8,1540.14,0.147
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,4,27625,149.2,0.0117
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,5,25425,171.78,0.0235
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,6,21987.5,306.69,0.0455
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,7,17883.2,528.9,0.0919
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,8,17270.1,154.66,0.0126
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,9,16510.9,260.61,0.0297
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,10,15956.2,394.31,0.0289
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,11,15635,618.71,0.0809
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,12,14204.4,1577.5,0.1954
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,13,13766.4,625.04,0.076
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N5,19N5S1,2: 25-19N5S1,14,12131.4,89.09,0.0095
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,1,41554.2,128.45,0.1873
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,2,38375,139.53,0.2037
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,3,17883.2,121.99,0.2145
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,4,17240.9,36.13,0.0439
2016-4-25_1_20160413-gel2_Data,20160413-gel2,N,N3,19N3S2,3: 26-19N3S2,5,14292,31.15,0.0523
