"band.point","fluorescence"
0.5085,9.89647574191104
0.6525,9.01613761668336
0.9068,12.047111890515
1.0932,12.6112831928299
1.1186,12.6275637794498
1.1441,12.6425640274825
1.2203,12.9526531269675
1.5593,16.5515452474584
1.8729,12.8391545677866
2.1017,15.3573073577256
2.2203,14.1326269316928
2.4153,15.6636778002571
2.6102,18.2101186209722
2.839,18.603268038197
2.9576,22.0254479358758
3.0508,19.9475428609326
3.0847,20.0956580859129
3.4831,16.7748690781229
3.7203,58.6615241553651
4.0254,14.8100483938244
4.2119,17.6690534283658
4.3644,14.4934550869701
4.5169,50.1312445699724
4.5932,45.5227869726731
4.8136,9.7698199681403
4.8475,9.79330519744692
4.9915,9.32268951948596
5.0593,9.07548804232946
5.0932,9.34744036797046
5.3559,78.4973232932526
5.6017,77.1037744342096
