"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","784.00","0.1463","20160413-gel2"
"1: CandyCane","1","2","42   ","2376.72","0.5179","20160413-gel2"
"1: CandyCane","1","3","29   ","220.65","0.0255","20160413-gel2"
"1: CandyCane","1","4","18   ","128.50","0.0210","20160413-gel2"
"1: CandyCane","1","5","14   ","2347.35","0.2894","20160413-gel2"
"2: 25-19N5S1","2","1","48.93","576.15","0.0509","20160413-gel2"
"2: 25-19N5S1","2","2","44.83","1975.63","0.1967","20160413-gel2"
"2: 25-19N5S1","2","3","41.38","1540.14","0.1470","20160413-gel2"
"2: 25-19N5S1","2","4","37.75","149.20","0.0117","20160413-gel2"
"2: 25-19N5S1","2","5","35.75","171.78","0.0235","20160413-gel2"
"2: 25-19N5S1","2","6","32.63","306.69","0.0455","20160413-gel2"
"2: 25-19N5S1","2","7","28.68","528.90","0.0919","20160413-gel2"
"2: 25-19N5S1","2","8","26.99","154.66","0.0126","20160413-gel2"
"2: 25-19N5S1","2","9","24.91","260.61","0.0297","20160413-gel2"
"2: 25-19N5S1","2","10","23.38","394.31","0.0289","20160413-gel2"
"2: 25-19N5S1","2","11","22.5 ","618.71","0.0809","20160413-gel2"
"2: 25-19N5S1","2","12","18.56","1577.50","0.1954","20160413-gel2"
"2: 25-19N5S1","2","13","17.43","625.04","0.0760","20160413-gel2"
"2: 25-19N5S1","2","14","13.43","89.09","0.0095","20160413-gel2"
"3: 26-19N3S2","3","1","44.83","128.45","0.1873","20160413-gel2"
"3: 26-19N3S2","3","2","41.25","139.53","0.2037","20160413-gel2"
"3: 26-19N3S2","3","3","28.68","121.99","0.2145","20160413-gel2"
"3: 26-19N3S2","3","4","26.91","36.13","0.0439","20160413-gel2"
"3: 26-19N3S2","3","5","18.8 ","31.15","0.0523","20160413-gel2"
"3: 26-19N3S2","3","6","17.36","47.41","0.0816","20160413-gel2"
"3: 26-19N3S2","3","7","12.64","46.81","0.2167","20160413-gel2"
"4: 27-19N3S5","4","1","62.16","264.73","0.1997","20160413-gel2"
"4: 27-19N3S5","4","2","57.75","294.79","0.2117","20160413-gel2"
"4: 27-19N3S5","4","3","53.34","209.85","0.1351","20160413-gel2"
"4: 27-19N3S5","4","4","49.56","155.19","0.1002","20160413-gel2"
"4: 27-19N3S5","4","5","45.46","96.40","0.0656","20160413-gel2"
"4: 27-19N3S5","4","6","28.92","72.36","0.0335","20160413-gel2"
"4: 27-19N3S5","4","7","27.23","26.45","0.0133","20160413-gel2"
"4: 27-19N3S5","4","8","23.46","85.95","0.1515","20160413-gel2"
"4: 27-19N3S5","4","9","19.04","17.35","0.0136","20160413-gel2"
"4: 27-19N3S5","4","10","17.5 ","70.58","0.0570","20160413-gel2"
"4: 27-19N3S5","4","11","13.5 ","26.84","0.0187","20160413-gel2"
"5: 28-01N5S2","5","1","29   ","43.44","0.1902","20160413-gel2"
"5: 28-01N5S2","5","2","19.36","151.58","0.4885","20160413-gel2"
"5: 28-01N5S2","5","3","13.57","46.41","0.1638","20160413-gel2"
"5: 28-01N5S2","5","4","11.43","35.44","0.1575","20160413-gel2"
"6: 29-19P4S3","6","1","78.22","288.26","0.0309","20160413-gel2"
"6: 29-19P4S3","6","2","49.87","1207.25","0.1054","20160413-gel2"
"6: 29-19P4S3","6","3","46.41","3720.40","0.2888","20160413-gel2"
"6: 29-19P4S3","6","4","41.88","3872.23","0.3062","20160413-gel2"
"6: 29-19P4S3","6","5","39.25","336.59","0.0302","20160413-gel2"
"6: 29-19P4S3","6","6","37.75","271.66","0.0228","20160413-gel2"
"6: 29-19P4S3","6","7","35   ","268.95","0.0212","20160413-gel2"
"6: 29-19P4S3","6","8","31.88","226.00","0.0226","20160413-gel2"
"6: 29-19P4S3","6","9","29.75","425.68","0.0359","20160413-gel2"
"6: 29-19P4S3","6","10","27.8 ","476.04","0.0523","20160413-gel2"
"6: 29-19P4S3","6","11","25.55","520.86","0.0670","20160413-gel2"
"6: 29-19P4S3","6","12","23.22","151.60","0.0117","20160413-gel2"
"6: 29-19P4S3","6","13","19.12","1.6311","-----","20160413-gel2"
"6: 29-19P4S3","6","14","13.64","34.79","0.0045","20160413-gel2"
"6: 29-19P4S3","6","15","10.14","24.00","0.0007","20160413-gel2"
"7: 30-05N2S4","7","1","68.46","325.84","0.0519","20160413-gel2"
"7: 30-05N2S4","7","2","65.31","502.57","0.0582","20160413-gel2"
"7: 30-05N2S4","7","3","62.16","631.29","0.0620","20160413-gel2"
"7: 30-05N2S4","7","4","59.01","513.01","0.0383","20160413-gel2"
"7: 30-05N2S4","7","5","55.23","313.68","0.0350","20160413-gel2"
"7: 30-05N2S4","7","6","51.45","229.35","0.0276","20160413-gel2"
"7: 30-05N2S4","7","7","46.72","334.93","0.0449","20160413-gel2"
"7: 30-05N2S4","7","8","41.88","262.49","0.0341","20160413-gel2"
"7: 30-05N2S4","7","9","35.63","219.11","0.0684","20160413-gel2"
"7: 30-05N2S4","7","10","32.38","176.39","0.0222","20160413-gel2"
"7: 30-05N2S4","7","11","29.5 ","170.75","0.0214","20160413-gel2"
"7: 30-05N2S4","7","12","27.8 ","133.23","0.0148","20160413-gel2"
"7: 30-05N2S4","7","13","26.19","134.67","0.0178","20160413-gel2"
"7: 30-05N2S4","7","14","24.42","235.07","0.0242","20160413-gel2"
"7: 30-05N2S4","7","15","22.9 ","446.54","0.0452","20160413-gel2"
"7: 30-05N2S4","7","16","21.93","777.21","0.1135","20160413-gel2"
"7: 30-05N2S4","7","17","19.2 ","632.27","0.0788","20160413-gel2"
"7: 30-05N2S4","7","18","18.16","379.91","0.0434","20160413-gel2"
"7: 30-05N2S4","7","19","16.86","1355.41","0.1749","20160413-gel2"
"7: 30-05N2S4","7","20","15.57","308.91","0.0234","20160413-gel2"
"8: 31-8101","8","1","28.92","30.12","0.0878","20160413-gel2"
"8: 31-8101","8","2","17.64","437.11","0.5991","20160413-gel2"
"8: 31-8101","8","3","16.29","196.60","0.3131","20160413-gel2"
"9: 32-7803R8","9","1","71.92","777.26","0.0861","20160413-gel2"
"9: 32-7803R8","9","2","69.4 ","1490.03","0.0297","20160413-gel2"
"9: 32-7803R8","9","3","66.25","2304.99","0.1646","20160413-gel2"
"9: 32-7803R8","9","4","62.47","2190.15","0.2203","20160413-gel2"
"9: 32-7803R8","9","5","59.32","1841.11","0.0599","20160413-gel2"
"9: 32-7803R8","9","6","56.17","1443.08","0.1188","20160413-gel2"
"9: 32-7803R8","9","7","51.76","794.42","0.0611","20160413-gel2"
"9: 32-7803R8","9","8","47.04","303.87","0.0294","20160413-gel2"
"9: 32-7803R8","9","9","42.63","173.22","0.0150","20160413-gel2"
"9: 32-7803R8","9","10","40.13","125.85","0.0109","20160413-gel2"
"9: 32-7803R8","9","11","35.38","66.51","0.0050","20160413-gel2"
"9: 32-7803R8","9","12","32.5 ","67.73","0.0068","20160413-gel2"
"9: 32-7803R8","9","13","29.88","190.75","0.0215","20160413-gel2"
"9: 32-7803R8","9","14","27.55","165.16","0.0178","20160413-gel2"
"9: 32-7803R8","9","15","25.95","585.09","0.0504","20160413-gel2"
"9: 32-7803R8","9","16","24.5 ","347.82","0.0493","20160413-gel2"
"9: 32-7803R8","9","17","23.46","480.07","0.0315","20160413-gel2"
"9: 32-7803R8","9","18","19.36","230.98","0.0219","20160413-gel2"
"10: Untitled","10","1","58.06","232.55","0.0363","20160413-gel2"
"10: Untitled","10","2","54.91","437.15","0.1026","20160413-gel2"
"10: Untitled","10","3","51.76","595.75","0.1289","20160413-gel2"
"10: Untitled","10","4","47.98","526.88","0.1180","20160413-gel2"
"10: Untitled","10","5","44.2 ","332.00","0.0750","20160413-gel2"
"10: Untitled","10","6","41.25","166.38","0.0347","20160413-gel2"
"10: Untitled","10","7","39.5 ","76.03","0.0142","20160413-gel2"
"10: Untitled","10","8","37.25","4.7123","0.0040","20160413-gel2"
"10: Untitled","10","9","24.02","13.19","0.0015","20160413-gel2"
"10: Untitled","10","10","22.09","53.24","0.0108","20160413-gel2"
"10: Untitled","10","11","18.16","27.31","0.0039","20160413-gel2"
"10: Untitled","10","12","16.07","163.17","0.0365","20160413-gel2"
"10: Untitled","10","13","13.79","522.91","0.1624","20160413-gel2"
"10: Untitled","10","14","10.71","633.38","0.2713","20160413-gel2"
