"band.point","fluorescence"
0.6525,16.3465309796938
0.7881,15.8752988893203
0.9576,17.8318066673569
1.2034,14.5797617582127
1.5847,21.6706344483491
2.2797,45.7840071702941
2.4661,57.8488576588114
2.9915,25.6775119464718
3.3305,30.0122162569542
3.4915,36.2950254040363
3.6949,43.5932530727644
4.0678,29.0448413525184
4.1017,29.3047644381801
4.2288,48.6758080075382
4.5339,46.3888267149358
4.839,10.2929054093611
4.8644,10.2781881203476
5.0932,11.1930617182447
5.1271,11.1443880723946
5.3305,55.491843797418
5.7288,14.8504651516483
