"band.point","fluorescence"
0.1271,13.6992331098886
0.3898,44.8216374277216
0.9068,19.4084588692545
1.1017,14.9724642179216
1.1271,14.9476813278551
1.3305,15.9714343701295
1.4746,15.2183708979656
2.2203,103.603034761033
2.4237,242.241671967147
2.5932,90.2731837839612
2.9661,244.14186006783
3.1186,87.2910151795468
3.2627,43.0580641109091
3.5254,40.9139315991341
4.0424,22.9881495321658
4.1864,25.1768191229313
4.4746,45.8367866530019
4.6864,18.0258364779218
4.8559,193.844683415682
5.1441,26.3631574069273
5.2712,24.3851466274909
5.6356,86.3691332281994
