"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","146126.19","0.0768","20150114-gel1"
"1: CandyCane","1","2","42   ","1205618.18","0.6337","20150114-gel1"
"1: CandyCane","1","3","29   ","-----","-----","20150114-gel1"
"1: CandyCane","1","4","18   ","129449.25","0.0680","20150114-gel1"
"1: CandyCane","1","5","14   ","441308.64","0.2320","20150114-gel1"
"2: Untitled","2","1","55.54","225167.52","0.0590","20150114-gel1"
"2: Untitled","2","2","50   ","270549.95","0.0709","20150114-gel1"
"2: Untitled","2","3","44.46","407891.84","0.1069","20150114-gel1"
"2: Untitled","2","4","40.89","446788.67","0.1171","20150114-gel1"
"2: Untitled","2","5","39.3 ","418358.33","0.1097","20150114-gel1"
"2: Untitled","2","6","37.56","249092.53","0.0653","20150114-gel1"
"2: Untitled","2","7","35.66","125661.35","0.0329","20150114-gel1"
"2: Untitled","2","8","33.6 ","35670.66","0.0093","20150114-gel1"
"2: Untitled","2","9","31.22","-----","-----","20150114-gel1"
"2: Untitled","2","10","29.16","-----","-----","20150114-gel1"
"2: Untitled","2","11","27.82","-----","-----","20150114-gel1"
"2: Untitled","2","12","26.79","-----","-----","20150114-gel1"
"2: Untitled","2","13","25.46","-----","-----","20150114-gel1"
"2: Untitled","2","14","24.35","-----","-----","20150114-gel1"
"2: Untitled","2","15","23.09","-----","-----","20150114-gel1"
"2: Untitled","2","16","21.69","28856.49","0.0076","20150114-gel1"
"2: Untitled","2","17","19.99","137165.25","0.0360","20150114-gel1"
"2: Untitled","2","18","18   ","108378.07","0.0284","20150114-gel1"
"2: Untitled","2","19","16   ","146738.34","0.0385","20150114-gel1"
"2: Untitled","2","20","14.97","108725.56","0.0285","20150114-gel1"
"2: Untitled","2","21","13.1 ","305477.55","0.0801","20150114-gel1"
"2: Untitled","2","22","12.39","111672.10","0.0293","20150114-gel1"
"2: Untitled","2","23","10.52","631770.68","0.1656","20150114-gel1"
"2: Untitled","2","24","9.871 ","208372.04","0.0546","20150114-gel1"
"3: Untitled","3","1","39.3 ","13853.00","0.0032","20150114-gel1"
"3: Untitled","3","2","19.85","519845.67","0.1186","20150114-gel1"
"3: Untitled","3","3","15.42","1067778.74","0.2436","20150114-gel1"
"3: Untitled","3","4","12.26","1166467.93","0.2661","20150114-gel1"
"3: Untitled","3","5","9.935 ","1615168.95","0.3685","20150114-gel1"
"4: Untitled","4","1","46.31","41686.45","0.0351","20150114-gel1"
"4: Untitled","4","2","37.4 ","28053.21","0.0236","20150114-gel1"
"4: Untitled","4","3","35.34","61126.64","0.0515","20150114-gel1"
"4: Untitled","4","4","26.27","147135.69","0.1239","20150114-gel1"
"4: Untitled","4","5","25.53","34287.39","0.0289","20150114-gel1"
"4: Untitled","4","6","24.64","107142.02","0.0902","20150114-gel1"
"4: Untitled","4","7","16.77","299675.39","0.2523","20150114-gel1"
"4: Untitled","4","8","15.81","319499.77","0.2690","20150114-gel1"
"4: Untitled","4","9","8.065 ","94086.35","0.0792","20150114-gel1"
"4: Untitled","4","10","7.161 ","54985.32","0.0463","20150114-gel1"
"5: Untitled","5","1","44.46","18997.33","0.0225","20150114-gel1"
"5: Untitled","5","2","36.93","16883.15","0.0200","20150114-gel1"
"5: Untitled","5","3","34.87","42539.13","0.0504","20150114-gel1"
"5: Untitled","5","4","26.12","108821.36","0.1290","20150114-gel1"
"5: Untitled","5","5","25.53","69983.64","0.0830","20150114-gel1"
"5: Untitled","5","6","24.72","49636.52","0.0588","20150114-gel1"
"5: Untitled","5","7","16.71","195046.83","0.2312","20150114-gel1"
"5: Untitled","5","8","15.74","218708.83","0.2592","20150114-gel1"
"5: Untitled","5","9","11.1 ","20848.37","0.0247","20150114-gel1"
"5: Untitled","5","10","8.065 ","58725.93","0.0696","20150114-gel1"
"5: Untitled","5","11","7.226 ","43481.79","0.0515","20150114-gel1"
"6: Untitled","6","1","25.97","30111.00","0.1361","20150114-gel1"
"6: Untitled","6","2","16.84","80341.90","0.3630","20150114-gel1"
"6: Untitled","6","3","15.81","48403.74","0.2187","20150114-gel1"
"6: Untitled","6","4","11.23","22434.23","0.1014","20150114-gel1"
"6: Untitled","6","5","8.0   ","25639.06","0.1158","20150114-gel1"
"6: Untitled","6","6","7.226 ","14391.94","0.0650","20150114-gel1"
"7: Untitled","7","1","61.08","-----","-----","20150114-gel1"
"7: Untitled","7","2","37.72","272113.61","0.3751","20150114-gel1"
"7: Untitled","7","3","35.18","301256.66","0.4153","20150114-gel1"
"7: Untitled","7","4","23.83","10701.00","0.0148","20150114-gel1"
"7: Untitled","7","5","19.62","19336.89","0.0267","20150114-gel1"
"7: Untitled","7","6","15.35","41063.81","0.0566","20150114-gel1"
"7: Untitled","7","7","8.129 ","61781.75","0.0852","20150114-gel1"
"7: Untitled","7","8","7.29  ","49887.69","0.0688","20150114-gel1"
"8: Untitled","8","1","54.31","13221.55","0.0291","20150114-gel1"
"8: Untitled","8","2","50   ","7038.35","0.0155","20150114-gel1"
"8: Untitled","8","3","39.62","8104.40","0.0178","20150114-gel1"
"8: Untitled","8","4","37.72","37036.00","0.0815","20150114-gel1"
"8: Untitled","8","5","35.82","37234.99","0.0819","20150114-gel1"
"8: Untitled","8","6","28.34","28332.29","0.0623","20150114-gel1"
"8: Untitled","8","7","26.27","38836.34","0.0854","20150114-gel1"
"8: Untitled","8","8","22.21","9283.21","0.0204","20150114-gel1"
"8: Untitled","8","9","20.07","78965.65","0.1737","20150114-gel1"
"8: Untitled","8","10","17.03","114538.00","0.2519","20150114-gel1"
"8: Untitled","8","11","15.81","31330.50","0.0689","20150114-gel1"
"8: Untitled","8","12","8.129 ","34279.50","0.0754","20150114-gel1"
"8: Untitled","8","13","7.226 ","16409.00","0.0361","20150114-gel1"
"9: Untitled","9","1","60.46","-----","-----","20150114-gel1"
"9: Untitled","9","2","48.15","3282.95","0.0033","20150114-gel1"
"9: Untitled","9","3","40.41","26359.24","0.0263","20150114-gel1"
"9: Untitled","9","4","38.51","139616.88","0.1392","20150114-gel1"
"9: Untitled","9","5","36.45","124184.27","0.1238","20150114-gel1"
"9: Untitled","9","6","28.78","15692.82","0.0156","20150114-gel1"
"9: Untitled","9","7","26.71","33090.36","0.0330","20150114-gel1"
"9: Untitled","9","8","22.72","35158.00","0.0351","20150114-gel1"
"9: Untitled","9","9","20.66","229278.00","0.2286","20150114-gel1"
"9: Untitled","9","10","17.42","260206.00","0.2595","20150114-gel1"
"9: Untitled","9","11","16.39","64669.00","0.0645","20150114-gel1"
"9: Untitled","9","12","8.129 ","50135.34","0.0500","20150114-gel1"
"9: Untitled","9","13","7.29  ","23917.36","0.0238","20150114-gel1"
"10: Untitled","10","1","65.38","158308.00","0.0928","20150114-gel1"
"10: Untitled","10","2","41.68","60604.99","0.0355","20150114-gel1"
"10: Untitled","10","3","39.46","313495.00","0.1838","20150114-gel1"
"10: Untitled","10","4","37.56","356405.99","0.2090","20150114-gel1"
"10: Untitled","10","5","33.6 ","53991.00","0.0317","20150114-gel1"
"10: Untitled","10","6","28.93","9390.01","0.0055","20150114-gel1"
"10: Untitled","10","7","25.09","23054.00","0.0135","20150114-gel1"
"10: Untitled","10","8","23.46","80149.21","0.0470","20150114-gel1"
"10: Untitled","10","9","21.4 ","265591.00","0.1557","20150114-gel1"
"10: Untitled","10","10","19.77","132359.80","0.0776","20150114-gel1"
"10: Untitled","10","11","18.3 ","22728.80","0.0133","20150114-gel1"
"10: Untitled","10","12","8.194 ","180704.66","0.1059","20150114-gel1"
"10: Untitled","10","13","7.355 ","48812.89","0.0286","20150114-gel1"
"11: Untitled","11","1","69.08","76902.00","0.1377","20150114-gel1"
"11: Untitled","11","2","41.52","70902.68","0.1269","20150114-gel1"
"11: Untitled","11","3","39.62","133706.13","0.2394","20150114-gel1"
