"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","1511.09","0.4023","20150525-gel3"
"1: CandyCane","1","2","42   ","2359.39","0.2538","20150525-gel3"
"1: CandyCane","1","3","29   ","139.71","0.0019","20150525-gel3"
"1: CandyCane","1","4","18   ","266.68","0.0231","20150525-gel3"
"1: CandyCane","1","5","14   ","3550.53","0.3188","20150525-gel3"
"2: ECOLI","2","1","47.23","1108.06","0.1481","20150525-gel3"
"2: ECOLI","2","2","42.75","1275.46","0.1529","20150525-gel3"
"2: ECOLI","2","3","40.75","1120.70","0.1207","20150525-gel3"
"2: ECOLI","2","4","38.97","800.72","0.0827","20150525-gel3"
"2: ECOLI","2","5","37.01","411.24","0.0376","20150525-gel3"
"2: ECOLI","2","6","35.41","176.26","0.0166","20150525-gel3"
"2: ECOLI","2","7","32.92","48.01","0.0029","20150525-gel3"
"2: ECOLI","2","8","30.96","-----","-----","20150525-gel3"
"2: ECOLI","2","9","28.81","-----","-----","20150525-gel3"
"2: ECOLI","2","10","27.84","-----","-----","20150525-gel3"
"2: ECOLI","2","11","26.11","9.3296","0.0005","20150525-gel3"
"2: ECOLI","2","12","24.56","25.16","0.0025","20150525-gel3"
"2: ECOLI","2","13","23.21","32.14","0.0032","20150525-gel3"
"2: ECOLI","2","14","21.57","68.84","0.0068","20150525-gel3"
"2: ECOLI","2","15","19.83","198.54","0.0344","20150525-gel3"
"2: ECOLI","2","16","17.81","191.06","0.0204","20150525-gel3"
"2: ECOLI","2","17","14.37","522.20","0.1427","20150525-gel3"
"2: ECOLI","2","18","12.33","693.02","0.1342","20150525-gel3"
"2: ECOLI","2","19","10.28","566.97","0.0850","20150525-gel3"
"2: ECOLI","2","20","7.86  ","116.09","0.0111","20150525-gel3"
"3: 11-19N1S2","3","1","44.24","55.05","0.0553","20150525-gel3"
"3: 11-19N1S2","3","2","38.97","73.95","0.0668","20150525-gel3"
"3: 11-19N1S2","3","3","36.66","84.44","0.0642","20150525-gel3"
"3: 11-19N1S2","3","4","33.81","132.54","0.1044","20150525-gel3"
"3: 11-19N1S2","3","5","30.96","109.44","0.0880","20150525-gel3"
"3: 11-19N1S2","3","6","16.33","47.03","0.0468","20150525-gel3"
"3: 11-19N1S2","3","7","15.12","62.50","0.0465","20150525-gel3"
"3: 11-19N1S2","3","8","14   ","33.75","0.0203","20150525-gel3"
"3: 11-19N1S2","3","9","7.581 ","150.42","0.2612","20150525-gel3"
"3: 11-19N1S2","3","10","4.884 ","174.33","0.2465","20150525-gel3"
"4: 12-19N3S4","4","1","38.26","273.50","0.3043","20150525-gel3"
"4: 12-19N3S4","4","2","35.23","249.22","0.1513","20150525-gel3"
"4: 12-19N3S4","4","3","20.7 ","70.80","0.0697","20150525-gel3"
