"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","0","0","2016-4-25_1_20150525-gel2-1_Data"
"1: CandyCane","dyCane","2","66000","1411.32","0.3018","2016-4-25_1_20150525-gel2-1_Data"
"1: CandyCane","dyCane","3","42000","3701.76","0.4043","2016-4-25_1_20150525-gel2-1_Data"
"1: CandyCane","dyCane","4","41500","1287.98","0.0854","2016-4-25_1_20150525-gel2-1_Data"
"1: CandyCane","dyCane","5","29000","478.7","0.0714","2016-4-25_1_20150525-gel2-1_Data"
"1: CandyCane","dyCane","6","18000","1970.57","0.1371","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","1","67483.4","233.08","0.0588","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","2","43745.5","2771.03","0.8418","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","3","31932.1","115.1","0.0102","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","4","30620.4","287.86","0.028","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","5","22190.5","281.8","0.0184","2016-4-25_1_20150525-gel2-1_Data"
"2: ECOLI"," ECOLI","6","19571.4","353.57","0.0429","2016-4-25_1_20150525-gel2-1_Data"
"3: 101-01N3S2","01N3S2","1","52036.4","112.74","0.7542","2016-4-25_1_20150525-gel2-1_Data"
"3: 101-01N3S2","01N3S2","2","24547.6","62","0.2458","2016-4-25_1_20150525-gel2-1_Data"
"4: 102-19N1S4","19N1S4","1","41657.9","89.7","0.3708","2016-4-25_1_20150525-gel2-1_Data"
"4: 102-19N1S4","19N1S4","2","40959.9","77.9","0.248","2016-4-25_1_20150525-gel2-1_Data"
"4: 102-19N1S4","19N1S4","3","30620.4","51.26","0.1704","2016-4-25_1_20150525-gel2-1_Data"
"4: 102-19N1S4","19N1S4","4","22190.5","81.79","0.2109","2016-4-25_1_20150525-gel2-1_Data"
"5: 103-01N3S4","01N3S4","1","25595.2","94.86","1","2016-4-25_1_20150525-gel2-1_Data"
"6: 104-01P5S4","01P5S4","1","23500","13.47","1","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","1","55090.9","131.01","0.3721","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","2","53563.6","150.93","0.071","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","3","52036.4","157.75","0.0111","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","4","49854.5","126.41","0.0774","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","5","47454.5","79.27","0.0898","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","6","44836.4","42.63","0.0528","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","7","37642","13.41","0.0016","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","8","32472.2","46.46","0.0597","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","9","31006.2","125.84","0.1418","2016-4-25_1_20150525-gel2-1_Data"
"7: 105-19P2S4","19P2S4","10","26381","112.39","0.1227","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","1","68331.1","416.01","0.0574","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","2","54218.2","787.35","0.1057","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","3","52254.5","1219.86","0.1191","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","4","50072.7","1473.3","0.1744","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","5","48327.3","1502.43","0.2097","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","6","45490.9","870.07","0.0568","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","7","42654.5","432.69","0.0444","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","8","41842.1","319.41","0.035","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","9","41422.8","185.68","0.031","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","10","35558.6","132.46","0.0185","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","11","34246.9","206.4","0.0269","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","12","32703.7","351.16","0.0424","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","13","31932.1","328.22","0.0707","2016-4-25_1_20150525-gel2-1_Data"
"8: 106-19P5S3","19P5S3","14","26904.8","82.72","0.008","2016-4-25_1_20150525-gel2-1_Data"
"9: 107-19P5S1","19P5S1","1","52690.9","85.6","0.7557","2016-4-25_1_20150525-gel2-1_Data"
"9: 107-19P5S1","19P5S1","2","31546.3","44.78","0.168","2016-4-25_1_20150525-gel2-1_Data"
"9: 107-19P5S1","19P5S1","3","27952.4","33.47","0.0763","2016-4-25_1_20150525-gel2-1_Data"
"10: 108-01P2S1","01P2S1","1","28738.1","79.06","1","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","1","67695.4","61.81","0.0167","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","2","63381.8","221.74","0.0896","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","3","52254.5","264.12","0.125","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","4","42436.4","756.91","0.192","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","5","41789.5","823.54","0.2248","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","6","40188.3","73.17","0.0244","2016-4-25_1_20150525-gel2-1_Data"
"11: 109-19N5S2","19N5S2","7","35481.5","63.68","0.0206","2016-4-25_1_20150525-gel2-1_Data"
