"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","1496.29","0.3365","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","2","66000","240.8","0.0291","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","3","42000","147.73","-----","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","4","41500","-----","-----","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","5","29000","918.41","0.1053","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","6","18000","321.67","0.0724","2016-4-25_1_New Project8_Data"
"1: CandyCane","dyCane","7","14000","2365.57","0.5478","2016-4-25_1_New Project8_Data"
"2: 42-19N1S4","19N1S4","1","28914.1","104.76","0.4349","2016-4-25_1_New Project8_Data"
"2: 42-19N1S4","19N1S4","2","27625","29.55","0.0871","2016-4-25_1_New Project8_Data"
"2: 42-19N1S4","19N1S4","3","19289.1","9.92","0.0294","2016-4-25_1_New Project8_Data"
"2: 42-19N1S4","19N1S4","4","17755.1","38.04","0.1915","2016-4-25_1_New Project8_Data"
"2: 42-19N1S4","19N1S4","5","13183.7","33.08","0.257","2016-4-25_1_New Project8_Data"
"3: 43-19N5S2","19N5S2","1","45042.3","1332.86","0.47","2016-4-25_1_New Project8_Data"
"3: 43-19N5S2","19N5S2","2","41866.7","1518.89","0.53","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","1","52140.8","145.45","0.0513","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","2","47408.5","669.45","0.276","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","3","43352.1","651.73","0.3591","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","4","30470.6","85.97","0.0434","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","5","28570.3","53.56","0.0256","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","6","26679.7","24.72","0.0163","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","7","24445.3","103.9","0.0689","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","8","19976.6","154.27","0.1103","2016-4-25_1_New Project8_Data"
"4: 44-19P5S3","19P5S3","9","14408.2","61.38","0.0491","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","1","49774.6","550.65","0.1241","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","2","45380.3","2082.17","0.2509","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","3","41983.3","2311.16","0.3646","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","4","29367.6","135.65","0.0573","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","5","26078.1","304.42","0.0697","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","6","24101.6","391.65","0.1072","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","7","20234.4","176.86","0.0227","2016-4-25_1_New Project8_Data"
"5: 45-19N3S4","19N3S4","8","13918.4","6.472","0.0035","2016-4-25_1_New Project8_Data"
"6: 46-19N1S2","19N1S2","1","41883.3","216.24","0.0512","2016-4-25_1_New Project8_Data"
"6: 46-19N1S2","19N1S2","2","41616.7","1297.71","0.266","2016-4-25_1_New Project8_Data"
