"band.point","fluorescence"
0.0989,16.1914106369922
0.1978,10.8798999097537
0.3791,10.8483651658531
0.478,10.8894090913575
0.7417,12.2388298406357
0.9231,10.9977987990237
1.0879,11.7668249585884
1.1538,11.8695958809695
1.4588,18.5875825184883
2.5467,35.8961056461527
3.3214,16.4266254211282
3.5439,15.3823171132983
3.7499,15.9072797013242
3.8901,13.41610143624
4.2692,32.8896882691891
4.5659,24.8439528337694
4.8214,10.7579286980252
4.8378,10.7293834960633
4.9862,11.019408363097
5.0027,11.0364844895514
