"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","927.00","0.2788","20160425-gel1"
"1: CandyCane","1","2","42   ","2379.00","0.6673","20160425-gel1"
"1: CandyCane","1","3","29   ","156.99","0.0086","20160425-gel1"
"1: CandyCane","1","4","18   ","26.50","-----","20160425-gel1"
"1: CandyCane","1","5","14   ","850.00","0.0591","20160425-gel1"
"2: Untitled","2","1","15.85","301.56","0.5636","20160425-gel1"
"2: Untitled","2","2","14.74","84.72","0.4364","20160425-gel1"
"3: Untitled","3","1","66   ","549.06","0.0648","20160425-gel1"
"3: Untitled","3","2","63.33","1002.10","0.1166","20160425-gel1"
"3: Untitled","3","3","60.07","1633.25","0.1900","20160425-gel1"
"3: Untitled","3","4","56.81","1843.41","0.2095","20160425-gel1"
"3: Untitled","3","5","53.26","1453.12","0.1664","20160425-gel1"
"3: Untitled","3","6","49.11","971.96","0.1053","20160425-gel1"
"3: Untitled","3","7","44.96","608.80","0.0592","20160425-gel1"
"3: Untitled","3","8","41.12","293.31","0.0184","20160425-gel1"
"3: Untitled","3","9","39.1 ","156.27","-----","20160425-gel1"
"3: Untitled","3","10","37.58","77.98","-----","20160425-gel1"
"3: Untitled","3","11","36.45","83.02","-----","20160425-gel1"
"3: Untitled","3","12","34.3 ","59.53","-----","20160425-gel1"
"3: Untitled","3","13","31.78","62.73","-----","20160425-gel1"
"3: Untitled","3","14","29.25","76.92","-----","20160425-gel1"
"3: Untitled","3","15","27.18","83.35","-----","20160425-gel1"
"3: Untitled","3","16","25.53","183.55","-----","20160425-gel1"
"3: Untitled","3","17","23.38","273.10","0.0601","20160425-gel1"
"3: Untitled","3","18","21.97","212.61","0.0548","20160425-gel1"
"3: Untitled","3","19","20.89","274.89","0.0699","20160425-gel1"
"3: Untitled","3","20","17.2 ","97.81","0.0163","20160425-gel1"
"4: Untitled","4","1","48.52","18.33","0.0101","20160425-gel1"
"4: Untitled","4","2","44.67","95.10","0.0417","20160425-gel1"
"4: Untitled","4","3","41.24","229.00","0.1042","20160425-gel1"
"4: Untitled","4","4","39.1 ","141.01","0.0687","20160425-gel1"
"4: Untitled","4","5","27.26","263.92","0.1894","20160425-gel1"
"4: Untitled","4","6","20.98","89.98","-----","20160425-gel1"
"4: Untitled","4","7","17.45","1102.23","0.4995","20160425-gel1"
"4: Untitled","4","8","16.4 ","503.99","0.2497","20160425-gel1"
"6: Untitled","6","1","48.81","139.92","0.0137","20160425-gel1"
"6: Untitled","6","2","44.37","433.35","0.0669","20160425-gel1"
"6: Untitled","6","3","41.24","1306.69","0.2118","20160425-gel1"
"6: Untitled","6","4","39.48","1098.03","0.1730","20160425-gel1"
"6: Untitled","6","5","36.57","70.23","0.0080","20160425-gel1"
"6: Untitled","6","6","27.76","193.85","0.0281","20160425-gel1"
"6: Untitled","6","7","25.94","100.83","0.0122","20160425-gel1"
"6: Untitled","6","8","23.79","283.61","0.0522","20160425-gel1"
"6: Untitled","6","9","22.3 ","389.77","0.0477","20160425-gel1"
"6: Untitled","6","10","21.39","627.76","0.1308","20160425-gel1"
"6: Untitled","6","11","19.24","123.55","0.0140","20160425-gel1"
"6: Untitled","6","12","17.57","1099.52","0.1923","20160425-gel1"
"6: Untitled","6","13","16.58","271.77","0.0388","20160425-gel1"
"6: Untitled","6","14","11.91","44.35","0.0103","20160425-gel1"
"7: Untitled","7","1","40.36","1334.06","0.1828","20160425-gel1"
"7: Untitled","7","2","38.21","1441.13","0.1932","20160425-gel1"
"7: Untitled","7","3","24.7 ","190.38","0.0259","20160425-gel1"
"7: Untitled","7","4","23.71","258.96","0.0375","20160425-gel1"
"7: Untitled","7","5","22.47","461.69","0.0650","20160425-gel1"
"7: Untitled","7","6","20.89","741.61","0.1050","20160425-gel1"
"7: Untitled","7","7","19.9 ","829.19","0.1129","20160425-gel1"
"7: Untitled","7","8","18.83","302.83","0.0444","20160425-gel1"
"7: Untitled","7","9","17.45","156.75","0.0202","20160425-gel1"
"7: Untitled","7","10","16.34","368.62","0.0540","20160425-gel1"
"7: Untitled","7","11","15.54","828.25","0.1073","20160425-gel1"
"7: Untitled","7","12","14.55","405.03","0.0517","20160425-gel1"
"9: Untitled","9","1","67.19","185.54","0.0326","20160425-gel1"
"9: Untitled","9","2","64.52","267.16","0.0528","20160425-gel1"
"9: Untitled","9","3","61.85","386.77","0.0869","20160425-gel1"
"9: Untitled","9","4","58.59","480.29","0.1182","20160425-gel1"
"9: Untitled","9","5","55.33","476.82","0.1238","20160425-gel1"
"9: Untitled","9","6","51.78","397.30","0.1069","20160425-gel1"
"9: Untitled","9","7","47.63","280.70","0.0732","20160425-gel1"
"9: Untitled","9","8","43.48","198.09","0.0471","20160425-gel1"
"9: Untitled","9","9","40.74","121.45","0.0288","20160425-gel1"
"9: Untitled","9","10","38.59","48.72","0.0098","20160425-gel1"
"9: Untitled","9","11","27.35","36.47","0.0068","20160425-gel1"
"9: Untitled","9","12","25.53","19.68","0.0053","20160425-gel1"
"9: Untitled","9","13","23.13","116.99","0.0303","20160425-gel1"
"9: Untitled","9","14","21.64","176.70","0.0237","20160425-gel1"
"9: Untitled","9","15","20.65","312.18","0.1042","20160425-gel1"
"9: Untitled","9","16","17.02","482.23","0.1341","20160425-gel1"
"9: Untitled","9","17","16.03","82.00","0.0155","20160425-gel1"
"10: Untitled","10","1","66   ","508.92","0.0290","20160425-gel1"
"10: Untitled","10","2","62.74","811.55","0.0542","20160425-gel1"
"10: Untitled","10","3","59.78","1260.75","0.0909","20160425-gel1"
"10: Untitled","10","4","56.52","1699.38","0.1325","20160425-gel1"
"10: Untitled","10","5","52.96","1780.42","0.1462","20160425-gel1"
"10: Untitled","10","6","49.41","1502.47","0.1202","20160425-gel1"
"10: Untitled","10","7","44.96","943.78","0.0819","20160425-gel1"
"10: Untitled","10","8","40.99","648.35","0.0740","20160425-gel1"
"10: Untitled","10","9","38.84","488.50","0.0465","20160425-gel1"
"10: Untitled","10","10","34.93","78.54","0.0049","20160425-gel1"
"10: Untitled","10","11","32.79","59.69","0.0045","20160425-gel1"
"10: Untitled","10","12","27.1 ","35.14","0.0018","20160425-gel1"
"10: Untitled","10","13","26.02","66.53","0.0043","20160425-gel1"
"10: Untitled","10","14","23.95","87.43","0.0063","20160425-gel1"
"10: Untitled","10","15","21.8 ","331.21","0.0272","20160425-gel1"
"10: Untitled","10","16","20.23","577.86","0.0511","20160425-gel1"
"10: Untitled","10","17","19.08","719.12","0.0788","20160425-gel1"
"10: Untitled","10","18","16.77","480.04","0.0365","20160425-gel1"
"10: Untitled","10","19","15.91","127.30","0.0060","20160425-gel1"
"10: Untitled","10","20","14.8 ","236.07","0.0123","20160425-gel1"
"10: Untitled","10","21","13.38","-----","-----","20160425-gel1"
"11: Untitled","11","1","54.15","89.00","0.0230","20160425-gel1"
"11: Untitled","11","2","50.89","192.67","0.0822","20160425-gel1"
"11: Untitled","11","3","47.63","370.33","0.1637","20160425-gel1"
"11: Untitled","11","4","44.07","479.33","0.2140","20160425-gel1"
"11: Untitled","11","5","41.37","433.33","0.1863","20160425-gel1"
"11: Untitled","11","6","39.73","299.67","0.1228","20160425-gel1"
"11: Untitled","11","7","37.96","156.33","0.0677","20160425-gel1"
"11: Untitled","11","8","36.19","83.00","0.0352","20160425-gel1"
"11: Untitled","11","9","34.3 ","48.00","0.0169","20160425-gel1"
"11: Untitled","11","10","32.28","21.33","0.0083","20160425-gel1"
"11: Untitled","11","11","14.62","36.79","0.0142","20160425-gel1"
"11: Untitled","11","12","12.89","153.09","0.0657","20160425-gel1"
