"strain.list","band.list","peak.list"
"CCMW",0.1271,13.6992331098886
"CCMW",0.3898,44.8216374277216
"CCMW",0.9068,19.4084588692545
"CCMW",1.1017,14.9724642179216
"CCMW",1.1271,14.9476813278551
"CCMW",1.3305,15.9714343701295
"CCMW",1.4746,15.2183708979656
"CCMW",2.2203,103.603034761033
"CCMW",2.4237,242.241671967147
"CCMW",2.5932,90.2731837839612
"CCMW",2.9661,244.14186006783
"CCMW",3.1186,87.2910151795468
"CCMW",3.2627,43.0580641109091
"CCMW",3.5254,40.9139315991341
"CCMW",4.0424,22.9881495321658
"CCMW",4.1864,25.1768191229313
"CCMW",4.4746,45.8367866530019
"CCMW",4.6864,18.0258364779218
"CCMW",4.8559,193.844683415682
"CCMW",5.1441,26.3631574069273
"CCMW",5.2712,24.3851466274909
"CCMW",5.6356,86.3691332281994
"O55:B5",0.1102,17.3414994644916
"O55:B5",0.1356,17.8791163441644
"O55:B5",0.2288,17.7430737120441
"O55:B5",1.1356,12.0779937263845
"O55:B5",1.2881,11.0339515087947
"O55:B5",1.8136,20.0588660043555
"O55:B5",1.9322,20.8841235185823
"O55:B5",2.839,129.485019458876
"O55:B5",3.3136,28.3163649241483
"O55:B5",3.4068,21.9905395017612
"O55:B5",3.5424,18.4228326578381
"O55:B5",3.661,17.4129778329514
"O55:B5",3.7542,18.1987001190054
"O55:B5",3.8898,20.1217013659833
"O55:B5",3.9153,20.1170940570451
"O55:B5",4,20.9163960690715
"O55:B5",4.1441,24.0500423937239
"O55:B5",4.2797,31.1284903209964
"O55:B5",4.4746,28.1246786842918
"O55:B5",4.7712,44.586053835607
"O55:B5",4.9576,57.621413343837
"O55:B5",5.178,70.0778651586997
"O55:B5",5.3729,17.5219038428186
"O55:B5",5.3983,17.5414290245859
"7803",0.5085,9.89647574191104
"7803",0.9068,12.047111890515
"7803",1.0932,12.6112831928299
"7803",1.1186,12.6275637794498
"7803",1.1441,12.6425640274825
"7803",1.2203,12.9526531269675
"7803",1.5593,16.5515452474584
"7803",1.8729,12.8391545677866
"7803",2.1017,15.3573073577256
"7803",2.2203,14.1326269316928
"7803",2.4153,15.6636778002571
"7803",2.6102,18.2101186209722
"7803",2.839,18.603268038197
"7803",2.9576,22.0254479358758
"7803",3.0508,19.9475428609326
"7803",3.0847,20.0956580859129
"7803",3.4831,16.7748690781229
"7803",3.7203,58.6615241553651
"7803",4.0254,14.8100483938244
"7803",4.2119,17.6690534283658
"7803",4.3644,14.4934550869701
"7803",4.5169,50.1312445699724
"7803",4.5932,45.5227869726731
"7803",4.8136,9.7698199681403
"7803",4.8475,9.79330519744692
"7803",5.3559,78.4973232932526
"7803",5.6017,77.1037744342096
"01N3S3",0.178,12.3878482143186
"01N3S3",0.6356,10.3049557836276
"01N3S3",0.9576,13.454945738273
"01N3S3",1.1186,14.0724239977827
