"band.point","fluorescence"
0.1102,30.4453890208084
0.2203,26.4383219066494
0.5931,25.1326645453571
0.7372,22.5598080142579
0.9914,25.0293004639727
1.2117,24.8672758876506
1.4574,28.6849164828838
2.1183,26.1501609311655
2.2878,25.5748045151509
2.5166,25.6857949109426
2.8386,26.1282494020202
3.0843,22.2090004273617
3.1945,22.1797339428165
3.4148,21.298416916713
3.5673,22.1864347830644
3.7876,20.3408265890355
3.9147,21.2610994744372
3.9825,21.0432936419789
4.1265,22.2183591031263
4.4061,30.9332695921412
4.7705,18.9424498309641
4.9569,19.4212847853202
4.9908,19.343965721265
5.1433,45.9987491837948
5.262,40.8715688762391
5.6517,36.1054297640887
