"band.point","fluorescence"
0.305,20.6729391186911
0.4067,20.5508506279598
0.6101,20.3647719295043
0.7626,20.8931521189833
0.9321,21.2306791041562
1.0846,22.1727625384665
1.1015,22.1827142239238
1.4913,28.2526590220887
1.7964,29.2364187900744
1.8472,29.2003190397389
2.3471,37.5633057361104
2.4234,37.5816167963735
2.8132,29.6664970175465
3.1097,26.4625244354248
3.2961,26.3212448172624
3.508,27.7148952366539
3.6774,27.8692188762825
3.8045,26.7450203786071
4.0079,25.4839441402228
4.1689,25.0304879567674
4.4146,33.0677254074054
4.4994,36.5357856447978
4.8552,24.9182004928235
5.1264,58.8649545952338
5.2281,44.4880122060447
5.6602,40.8578558207923
