"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","1870.41","0.3872","20160413-gel3"
"1: CandyCane","1","2","42   ","1407.51","0.1534","20160413-gel3"
"1: CandyCane","1","3","29   ","1864.49","0.1381","20160413-gel3"
"1: CandyCane","1","4","18   ","234.48","0.0256","20160413-gel3"
"1: CandyCane","1","5","14   ","2306.04","0.2957","20160413-gel3"
"2: Untitled","2","1","64.76","658.52","0.1854","20160413-gel3"
"2: Untitled","2","2","62.16","1085.24","0.1907","20160413-gel3"
"2: Untitled","2","3","59.24","1114.54","0.2042","20160413-gel3"
"2: Untitled","2","4","55.66","662.03","0.1619","20160413-gel3"
"2: Untitled","2","5","51.43","227.69","0.0928","20160413-gel3"
"2: Untitled","2","6","48.18","162.58","0.0287","20160413-gel3"
"2: Untitled","2","7","28.64","121.57","0.0222","20160413-gel3"
"2: Untitled","2","8","24.85","34.35","0.0172","20160413-gel3"
"2: Untitled","2","9","24.13","-----","-----","20160413-gel3"
"2: Untitled","2","10","23.05","88.43","0.0192","20160413-gel3"
"2: Untitled","2","11","18.54","5.6522","0.0016","20160413-gel3"
"2: Untitled","2","12","11.71","88.91","0.0768","20160413-gel3"
"3: Untitled","3","1","44.6 ","46.45","0.0401","20160413-gel3"
"3: Untitled","3","2","28.64","239.47","0.2209","20160413-gel3"
"3: Untitled","3","3","19.08","954.61","0.5492","20160413-gel3"
"3: Untitled","3","4","13.1 ","174.54","0.1898","20160413-gel3"
"4: Untitled","4","1","28.82","16.77","0.0329","20160413-gel3"
"4: Untitled","4","2","19.26","723.29","0.6032","20160413-gel3"
"4: Untitled","4","3","13.92","77.78","0.0822","20160413-gel3"
"4: Untitled","4","4","11.88","125.53","0.2818","20160413-gel3"
"5: Untitled","5","1","29   ","194.08","0.1174","20160413-gel3"
"5: Untitled","5","2","19.17","629.72","0.5904","20160413-gel3"
"5: Untitled","5","3","13.51","202.16","0.2223","20160413-gel3"
"5: Untitled","5","4","11.22","85.75","0.0700","20160413-gel3"
"6: Untitled","6","1","23.14","133.31","0.1558","20160413-gel3"
"6: Untitled","6","2","19.26","620.03","0.6854","20160413-gel3"
"6: Untitled","6","3","11.31","90.57","0.1587","20160413-gel3"
"7: Untitled","7","1","73.87","103.03","0.1065","20160413-gel3"
"7: Untitled","7","2","29   ","252.43","0.1587","20160413-gel3"
"7: Untitled","7","3","19.26","486.23","0.3418","20160413-gel3"
"7: Untitled","7","4","17.67","113.57","0.0706","20160413-gel3"
"7: Untitled","7","5","13.59","204.96","0.2516","20160413-gel3"
"7: Untitled","7","6","11.39","76.48","0.0708","20160413-gel3"
"8: Untitled","8","1","83.3 ","62.32","0.0605","20160413-gel3"
"8: Untitled","8","2","67.69","75.05","0.0640","20160413-gel3"
"8: Untitled","8","3","43.95","75.88","0.0716","20160413-gel3"
"8: Untitled","8","4","29   ","165.16","0.1115","20160413-gel3"
"8: Untitled","8","5","27.29","17.98","0.0109","20160413-gel3"
"8: Untitled","8","6","19.17","485.74","0.3334","20160413-gel3"
"8: Untitled","8","7","13.51","202.34","0.2859","20160413-gel3"
"8: Untitled","8","8","11.14","89.03","0.0622","20160413-gel3"
"9: Untitled","9","1","79.07","53.09","0.0488","20160413-gel3"
"9: Untitled","9","2","29   ","244.81","0.1691","20160413-gel3"
"9: Untitled","9","3","18.99","843.91","0.5370","20160413-gel3"
"9: Untitled","9","4","13.18","178.20","0.1935","20160413-gel3"
"9: Untitled","9","5","10.73","73.89","0.0515","20160413-gel3"
"10: Untitled","10","1","52.41","171.39","0.1976","20160413-gel3"
"10: Untitled","10","2","49.15","220.07","0.2802","20160413-gel3"
"10: Untitled","10","3","45.9 ","199.75","0.2385","20160413-gel3"
"10: Untitled","10","4","42   ","129.37","0.1128","20160413-gel3"
"10: Untitled","10","5","40.18","50.96","0.0495","20160413-gel3"
"10: Untitled","10","6","14.82","-----","-----","20160413-gel3"
"10: Untitled","10","7","13.18","136.33","0.1253","20160413-gel3"
