"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","1937.3","0.1758","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","2","66000","3208.58","0.2795","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","3","42000","2892.09","0.2431","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","4","41500","501.24","0.0294","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","5","29000","382.73","0.0179","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","6","18000","264.25","0.0187","2016-4-25_1_20160413-gel1_Data"
"1: CandyCane","dyCane","7","14000","3463.54","0.2356","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","1","31656.3","35","0.0711","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","2","28407.7","140","0.1752","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","3","26715.4","43","0.054","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","4","20030.8","43.51","0.0506","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","5","18338.5","317.42","0.4486","2016-4-25_1_20160413-gel1_Data"
"2: 17-01N3S3","01N3S3","6","13259.3","66.11","0.2004","2016-4-25_1_20160413-gel1_Data"
"3: 18-05P4S1","05P4S1","1","28576.9","167.33","0.4228","2016-4-25_1_20160413-gel1_Data"
"3: 18-05P4S1","05P4S1","2","26884.6","47.45","0.1241","2016-4-25_1_20160413-gel1_Data"
"3: 18-05P4S1","05P4S1","3","18592.3","159.71","0.3963","2016-4-25_1_20160413-gel1_Data"
"3: 18-05P4S1","05P4S1","4","10814.8","15.55","0.0568","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","1","49407.4","145.34","0.0236","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","2","45851.9","1108.89","0.3809","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","3","41979.2","1460.69","0.4737","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","4","28830.8","131.88","0.0465","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","5","27307.7","112.82","0.0398","2016-4-25_1_20160413-gel1_Data"
"4: 19-05N2S1","05N2S1","6","25276.9","103.07","0.0356","2016-4-25_1_20160413-gel1_Data"
"5: 20-01N2S1","01N2S1","1","28915.4","140","0.2646","2016-4-25_1_20160413-gel1_Data"
"5: 20-01N2S1","01N2S1","2","27223.1","43","0.0851","2016-4-25_1_20160413-gel1_Data"
"5: 20-01N2S1","01N2S1","3","19100","140.45","0.2581","2016-4-25_1_20160413-gel1_Data"
"5: 20-01N2S1","01N2S1","4","13629.6","91.55","0.3226","2016-4-25_1_20160413-gel1_Data"
"5: 20-01N2S1","01N2S1","5","11111.1","34.15","0.0696","2016-4-25_1_20160413-gel1_Data"
"6: 21-01P4S5","01P4S5","1","28915.4","177.19","0.2366","2016-4-25_1_20160413-gel1_Data"
"6: 21-01P4S5","01P4S5","2","18676.9","69.83","0.3369","2016-4-25_1_20160413-gel1_Data"
"6: 21-01P4S5","01P4S5","3","13555.6","130.5","0.3259","2016-4-25_1_20160413-gel1_Data"
"6: 21-01P4S5","01P4S5","4","11259.3","66.51","0.1006","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","1","28830.8","190.9","0.2396","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","2","27138.5","49.07","0.0597","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","3","22823.1","29.84","0.04","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","4","19100","175.8","0.2271","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","5","17185.2","39.32","0.0561","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","6","13407.4","126.06","0.2969","2016-4-25_1_20160413-gel1_Data"
"7: 22-19P5S5","19P5S5","7","11111.1","59.86","0.0806","2016-4-25_1_20160413-gel1_Data"
"8: 23-01N2S4","01N2S4","1","28830.8","149","0.2897","2016-4-25_1_20160413-gel1_Data"
"8: 23-01N2S4","01N2S4","2","27138.5","47","0.0907","2016-4-25_1_20160413-gel1_Data"
"8: 23-01N2S4","01N2S4","3","18846.2","162.82","0.3076","2016-4-25_1_20160413-gel1_Data"
"8: 23-01N2S4","01N2S4","4","13333.3","72.54","0.2673","2016-4-25_1_20160413-gel1_Data"
"8: 23-01N2S4","01N2S4","5","10888.9","27.16","0.0447","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","1","28661.5","133.53","0.2256","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","2","27138.5","56.56","0.1031","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","3","18507.7","255.18","0.4577","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","4","17259.3","83.02","0.104","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","5","12963","22.03","0.0733","2016-4-25_1_20160413-gel1_Data"
"9: 24-01N5S4","01N5S4","6","10444.4","22.5","0.0363","2016-4-25_1_20160413-gel1_Data"
"10: ECOLI"," ECOLI","1","55925.9","330.13","0.0589","2016-4-25_1_20160413-gel1_Data"
"10: ECOLI"," ECOLI","2","52666.7","598.9","0.126","2016-4-25_1_20160413-gel1_Data"
