"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","447.67","0.0794","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","2","66000","784","0.1193","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","3","42000","476.67","0.0589","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","4","41500","2376.72","0.4226","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","5","29000","416.15","0.0457","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","6","18000","220.65","0.0208","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","7","14000","128.5","0.0172","2016-4-25_1_20160413-gel2_Data"
"1: CandyCane","dyCane","8","-----","2347.35","0.2361","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","1","41632.5","576.15","0.0509","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","2","41554.2","1975.63","0.1967","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","3","38895.8","1540.14","0.147","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","4","27625","149.2","0.0117","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","5","25425","171.78","0.0235","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","6","21987.5","306.69","0.0455","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","7","17883.2","528.9","0.0919","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","8","17270.1","154.66","0.0126","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","9","16510.9","260.61","0.0297","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","10","15956.2","394.31","0.0289","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","11","15635","618.71","0.0809","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","12","14204.4","1577.5","0.1954","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","13","13766.4","625.04","0.076","2016-4-25_1_20160413-gel2_Data"
"2: 25-19N5S1","19N5S1","14","12131.4","89.09","0.0095","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","1","41554.2","128.45","0.1873","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","2","38375","139.53","0.2037","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","3","17883.2","121.99","0.2145","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","4","17240.9","36.13","0.0439","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","5","14292","31.15","0.0523","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","6","13737.2","47.41","0.0816","2016-4-25_1_20160413-gel2_Data"
"3: 26-19N3S2","19N3S2","7","11810.2","46.81","0.2167","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","1","41885.5","264.73","0.1997","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","2","41801.2","294.79","0.2117","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","3","41716.9","209.85","0.1351","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","4","41644.6","155.19","0.1002","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","5","41566.3","96.4","0.0656","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","6","17970.8","72.36","0.0335","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","7","17357.7","26.45","0.0133","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","8","15985.4","85.95","0.1515","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","9","14379.6","17.35","0.0136","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","10","13795.6","70.58","0.057","2016-4-25_1_20160413-gel2_Data"
"4: 27-19N3S5","19N3S5","11","12160.6","26.84","0.0187","2016-4-25_1_20160413-gel2_Data"
"5: 28-01N5S2","01N5S2","1","18000","43.44","0.1902","2016-4-25_1_20160413-gel2_Data"
"5: 28-01N5S2","01N5S2","2","14496.4","151.58","0.4885","2016-4-25_1_20160413-gel2_Data"
"5: 28-01N5S2","01N5S2","3","12189.8","46.41","0.1638","2016-4-25_1_20160413-gel2_Data"
"5: 28-01N5S2","01N5S2","4","11313.9","35.44","0.1575","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","1","59454.5","288.26","0.0309","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","2","41650.6","1207.25","0.1054","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","3","41584.3","3720.4","0.2888","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","4","40979.2","3872.23","0.3062","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","5","30041.7","336.59","0.0302","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","6","27625","271.66","0.0228","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","7","24600","268.95","0.0212","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","8","21162.5","226","0.0226","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","9","18825","425.68","0.0359","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","10","17562","476.04","0.0523","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","11","16744.5","520.86","0.067","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","12","15897.8","151.6","0.0117","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","13","14408.8","1.6311","-----","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","14","12219","34.79","0.0045","2016-4-25_1_20160413-gel2_Data"
"6: 29-19P4S3","19P4S3","15","10788.3","24","0.0007","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","1","42545.5","325.84","0.0519","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","2","41945.8","502.57","0.0582","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","3","41885.5","631.29","0.062","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","4","41825.3","513.01","0.0383","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","5","41753","313.68","0.035","2016-4-25_1_20160413-gel2_Data"
"7: 30-05N2S4","05N2S4","6","41680.7","229.35","0.0276","2016-4-25_1_20160413-gel2_Data"
