"strain.list","band.list","peak.list"
"O55:B5",0.1154,15.7383641285971
"O55:B5",0.4368,30.3139475220248
"O55:B5",0.6181,24.7475675677471
"O55:B5",0.7582,20.8215821840451
"O55:B5",0.8571,15.6171272064274
"O55:B5",1.022,15.0718648266504
"O55:B5",1.9698,159.255748397592
"O55:B5",2.3736,156.349365373917
"O55:B5",2.5879,80.0765753572081
"O55:B5",2.8681,202.020450872331
"O55:B5",3.0164,59.3015552545725
"O55:B5",3.2472,31.5858068087826
"O55:B5",3.2719,31.679065157659
"O55:B5",3.478,46.7604474327182
"O55:B5",3.8406,21.2986073516856
"O55:B5",4.0137,21.8209611387591
"O55:B5",4.1126,21.9183764978418
"O55:B5",4.1867,20.9759345322733
"O55:B5",4.401,51.9301881407921
"O55:B5",4.7801,260.814763847695
"19N1S2",0.1978,14.7879800875906
"19N1S2",1.2033,15.9161969962416
"19N1S2",1.4011,18.4551104786711
"19N1S2",1.5412,20.4835839228857
"19N1S2",1.8626,34.5213724225277
"19N1S2",2.0439,32.9107993539371
"19N1S2",2.3406,50.7077865231332
"19N1S2",2.7939,111.734253298289
"19N1S2",3.3543,24.7026803723484
"19N1S2",3.5851,22.138587798293
"19N1S2",3.6593,22.4888421415888
"19N1S2",3.8241,25.1411671206891
"19N1S2",3.956,22.5306519243122
"19N1S2",4.0549,24.8655981800826
"19N1S2",4.2115,34.0578702167018
"19N1S2",4.4587,38.1742536284091
"19N1S2",4.6648,59.0655126209797
"19N1S2",4.8626,64.0503980847166
"19N3S4",0.0989,18.1254350234875
"19N3S4",0.1978,15.4096264615482
"19N3S4",0.4368,15.5069967602335
"19N3S4",1.4176,17.415803566509
"19N3S4",1.8626,14.7419002829081
"19N3S4",1.8873,14.6859701520606
"19N3S4",1.9945,15.5710001618798
"19N3S4",2.1016,15.3147891686062
"19N3S4",2.3241,16.8489148795773
"19N3S4",2.4313,16.8750651206948
"19N3S4",2.5467,17.5522360654025
"19N3S4",2.6785,18.7685830412866
"19N3S4",2.7939,20.5732436335992
"19N3S4",2.9752,23.1335601436075
"19N3S4",3.206,22.8467021904202
"19N3S4",3.3379,22.4703650454372
"19N3S4",3.5439,15.8155858226728
"19N3S4",3.6593,14.9523719428964
"19N3S4",3.7747,15.2764507359937
"19N3S4",4.1703,14.6277579132256
"19N3S4",4.5082,16.5446276106452
"19N3S4",4.6153,17.9001972324765
"19P4S5",0.1978,15.3207622332491
"19P4S5",0.9066,15.9117427184804
"19P4S5",0.9808,15.7785280953094
"19P4S5",1.1291,15.2867920995852
"19P4S5",1.3516,28.4186491891086
"19P4S5",1.4093,26.9496087492294
"19P4S5",1.7637,16.7689000203999
"19P4S5",2.1263,21.7030456667513
"19P4S5",2.5467,20.8320144447032
"19P4S5",2.6868,18.896597193525
"19P4S5",3.0741,34.341010353899
"19P4S5",3.3708,14.8461064305482
"19P4S5",4.1208,17.7706217532119
"19P4S5",4.2609,21.10485578633
"19P4S5",4.6483,15.8601501743323
"19P2S2",0.0824,20.4428361920735
"19P2S2",0.8077,14.6620507620493
"19P2S2",1.434,17.7942599115426
"19P2S2",2.3241,17.9611758363111
"19P2S2",2.3406,17.9718840752427
"19P2S2",2.5467,23.043930186395
"19P2S2",2.9917,18.3471520499658
"19P2S2",4.3351,17.89839248571
"19P2S2",4.5659,14.5455358601209
"19P2S2",4.7307,17.521803030694
"01P2S2",0.0989,16.1914106369922
"01P2S2",1.4588,18.5875825184883
"01P2S2",2.5467,35.8961056461527
"01P2S2",3.3214,16.4266254211282
"01P2S2",3.5439,15.3823171132983
"01P2S2",3.7499,15.9072797013242
"01P2S2",4.2692,32.8896882691891
"01P2S2",4.5659,24.8439528337694
"01N2S3",0.3379,19.6670511120548
"01N2S3",1.4753,16.2566148638456
"21P2S1",0.1154,19.7953329980438
"21P2S1",1.5,34.4087678817288
"21P2S1",1.9285,27.9654025769882
"21P2S1",2.184,47.2520548683867
"21P2S1",2.5796,30.5817992750009
"21P2S1",2.7939,22.3750462958022
"21P2S1",2.8186,22.3649485270352
"21P2S1",3.0576,82.7072078558586
"21P2S1",3.1401,98.9204656122477
"21P2S1",3.2967,21.452942162233
"21P2S1",3.4203,17.5736377878036
"21P2S1",3.478,17.7114262168145
"21P2S1",3.6675,16.775579283313
"21P2S1",3.956,21.7723775425641
"21P2S1",3.9807,21.7658334559118
"21P2S1",3.9972,21.7567595080465
"21P2S1",4.1373,25.1676041166694
"21P2S1",4.2692,22.1298077126142
"21P4S4",1.5082,19.5050311360297
"21P4S4",1.8214,19.0899357519544
"21P4S4",2.5219,50.9774005543565
"21P4S4",3.0494,19.9517674720485
"21P4S4",3.3791,25.2111081560952
"21P4S4",3.5521,26.6054477297884
"21P4S4",3.7747,32.073791230992
"21P4S4",4.1208,25.8918360866737
"21P4S4",4.3021,39.0816573039492
"21P4S4",4.6071,35.7637349998857
"21P4S2",1.5,18.8318078865682
"21P4S2",2.0851,29.7773596016974
"21P4S2",2.2005,28.3763016117593
"21P4S2",2.3159,33.0579597298812
"21P4S2",2.4478,34.0224743594042
"21P4S2",2.967,17.0589411792191
"21P4S2",3.1565,15.1553743015093
"21P4S2",3.2967,15.9858444381349
"21P4S2",3.478,15.8433046920257
"21P4S2",3.7087,16.8378339264053
"21P4S2",4.0796,17.9194349316558
"21P4S2",4.0961,17.8929071620906
"21P4S2",4.2362,24.6325834635271
"21P4S2",4.5411,24.4694486899989
"21N3S4",1.5906,17.3042712589276
"21N3S4",2.0027,21.9117447432534
"21N3S4",2.3901,39.7332122000326
"21N3S4",2.8104,20.3920396806946
"21N3S4",2.9093,18.6041184296137
"21N3S4",3.1153,16.6074042460929
"21N3S4",3.2554,17.5194442174997
"21N3S4",3.3956,18.1497323376811
"21N3S4",3.4862,19.0598572417236
"21N3S4",3.7252,25.7702888799035
"21N3S4",3.9065,20.5866644722829
"21N3S4",4.0714,22.5771873043846
"21N3S4",4.2527,25.2270662779169
"21N3S4",4.5576,31.4725982991097
