"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","696.19","0.4031","20160413-gel4"
"1: CandyCane","1","2","42   ","148.98","0.0658","20160413-gel4"
"1: CandyCane","1","3","29   ","273.70","0.0820","20160413-gel4"
"1: CandyCane","1","4","18   ","81.76","0.0371","20160413-gel4"
"1: CandyCane","1","5","14   ","1163.37","0.4119","20160413-gel4"
"4: Untitled","4","1","43.03","436.32","0.4541","20160413-gel4"
"4: Untitled","4","2","40.77","535.69","0.5459","20160413-gel4"
"5: Untitled","5","1","45.42","199.33","0.4110","20160413-gel4"
"5: Untitled","5","2","41.73","197.54","0.3630","20160413-gel4"
"5: Untitled","5","3","29   ","29.73","0.0470","20160413-gel4"
"5: Untitled","5","4","27.96","22.74","0.0328","20160413-gel4"
"5: Untitled","5","5","23.72","26.87","0.0574","20160413-gel4"
"5: Untitled","5","6","19.13","36.50","0.0886","20160413-gel4"
"6: Untitled","6","1","47.47","169.70","0.0885","20160413-gel4"
"6: Untitled","6","2","43.37","769.11","0.3024","20160413-gel4"
"6: Untitled","6","3","40.49","900.28","0.3492","20160413-gel4"
"6: Untitled","6","4","28.83","60.71","0.0263","20160413-gel4"
"6: Untitled","6","5","27.53","65.45","0.0277","20160413-gel4"
"6: Untitled","6","6","25.19","113.15","0.0611","20160413-gel4"
"6: Untitled","6","7","23.11","141.23","0.0940","20160413-gel4"
"6: Untitled","6","8","19.3 ","79.44","0.0332","20160413-gel4"
"6: Untitled","6","9","13.44","22.42","0.0175","20160413-gel4"
"7: Untitled","7","1","39.67","58.37","0.0371","20160413-gel4"
"7: Untitled","7","2","37.48","383.20","0.3077","20160413-gel4"
"7: Untitled","7","3","35.29","318.25","0.2364","20160413-gel4"
"7: Untitled","7","4","28.74","100.26","0.0952","20160413-gel4"
"7: Untitled","7","5","27.44","29.79","0.0242","20160413-gel4"
"7: Untitled","7","6","19.13","307.10","0.2815","20160413-gel4"
"7: Untitled","7","7","9.68  ","9.7614","0.0067","20160413-gel4"
"7: Untitled","7","8","8.08  ","15.44","0.0113","20160413-gel4"
"8: Untitled","8","1","28.48","116.15","0.2012","20160413-gel4"
"8: Untitled","8","2","27.44","56.19","0.0850","20160413-gel4"
"8: Untitled","8","3","18.78","177.30","0.3326","20160413-gel4"
"8: Untitled","8","4","13.04","92.73","0.2269","20160413-gel4"
"8: Untitled","8","5","10.4 ","57.00","0.1543","20160413-gel4"
"9: Untitled","9","1","42.68","171.26","0.1462","20160413-gel4"
"9: Untitled","9","2","40.49","125.41","0.0959","20160413-gel4"
"9: Untitled","9","3","28.22","136.56","0.1302","20160413-gel4"
"9: Untitled","9","4","22.59","55.14","0.0670","20160413-gel4"
"9: Untitled","9","5","18.35","387.42","0.3819","20160413-gel4"
"9: Untitled","9","6","17.2 ","111.14","0.0696","20160413-gel4"
"9: Untitled","9","7","12.4 ","63.62","0.1051","20160413-gel4"
"9: Untitled","9","8","6.88  ","5.4065","0.0041","20160413-gel4"
"10: Untitled","10","1","52.6 ","113.78","0.0536","20160413-gel4"
"10: Untitled","10","2","48.84","194.93","0.1340","20160413-gel4"
"10: Untitled","10","3","45.42","257.62","0.1762","20160413-gel4"
"10: Untitled","10","4","41.86","220.75","0.1467","20160413-gel4"
"10: Untitled","10","5","40.22","139.36","0.0858","20160413-gel4"
"10: Untitled","10","6","38.58","69.43","0.0365","20160413-gel4"
"10: Untitled","10","7","36.25","10.52","0.0122","20160413-gel4"
"10: Untitled","10","8","14.72","28.39","0.0174","20160413-gel4"
"10: Untitled","10","9","12.4 ","179.46","0.1281","20160413-gel4"
"10: Untitled","10","10","9.36  ","232.15","0.2095","20160413-gel4"
