"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","1141.94","0.1478","2016-4-25_1_20160420gel2-3_Data"
"1: CandyCane","dyCane","2","66000","379.06","0.0532","2016-4-25_1_20160420gel2-3_Data"
"1: CandyCane","dyCane","3","42000","2856.92","0.6626","2016-4-25_1_20160420gel2-3_Data"
"1: CandyCane","dyCane","4","41500","370.25","0.0573","2016-4-25_1_20160420gel2-3_Data"
"1: CandyCane","dyCane","5","29000","264.54","0.0374","2016-4-25_1_20160420gel2-3_Data"
"1: CandyCane","dyCane","6","18000","128.02","0.0417","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","1","67280","129.44","0.0202","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","2","46465.1","360.95","0.0345","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","3","41980.8","871.98","0.0616","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","4","41673.1","591.96","0.0371","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","5","37333.3","308.28","0.0286","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","6","32879.3","296.16","0.0144","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","7","28446","1828.24","0.1474","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","8","27179.9","1915.21","0.1321","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","9","24251.8","340.47","0.0334","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","10","21798.6","522.36","0.0566","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","11","17525.2","3231.65","0.2522","2016-4-25_1_20160420gel2-3_Data"
"3: 58-01N3S2","01N3S2","12","16021.6","2159.81","0.1819","2016-4-25_1_20160420gel2-3_Data"
"5: 39-01N3S4","01N3S4","1","43116.3","106.36","0.0384","2016-4-25_1_20160420gel2-3_Data"
"5: 39-01N3S4","01N3S4","2","41769.2","102.2","0.0413","2016-4-25_1_20160420gel2-3_Data"
"5: 39-01N3S4","01N3S4","3","40350.6","34.48","0.0102","2016-4-25_1_20160420gel2-3_Data"
"5: 39-01N3S4","01N3S4","4","28841.7","296.17","0.1332","2016-4-25_1_20160420gel2-3_Data"
"5: 39-01N3S4","01N3S4","5","18158.3","1689.38","0.777","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","1","47860.5","98.97","0.0142","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","2","43674.4","279.34","0.0619","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","3","41826.9","149.72","0.0306","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","4","40637.9","28.36","0.0038","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","5","33597.7","36.56","0.0066","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","6","28841.7","534.52","0.1679","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","7","24726.6","72.63","0.016","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","8","22273.4","177.07","0.0462","2016-4-25_1_20160420gel2-3_Data"
"7: 40-01P2S1","01P2S1","9","18079.1","2226.36","0.6528","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","1","46465.1","29.48","0.0035","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","2","43395.3","117.85","0.0129","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","3","41788.5","132.56","0.0143","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","4","28366.9","998.57","0.2795","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","5","24410.1","99.62","0.0149","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","6","21798.6","122.91","0.0184","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","7","17525.2","2889.85","0.4495","2016-4-25_1_20160420gel2-3_Data"
"9: 52-01P4S4","01P4S4","8","16179.9","1418.6","0.207","2016-4-25_1_20160420gel2-3_Data"
