"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","1511.09","0.2731","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","2","66000","1778.51","0.1723","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","3","42000","2359.39","0.1723","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","4","41500","262.93","0.0131","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","5","29000","23.01","0.0036","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","6","18000","266.68","0.0157","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","7","14000","3550.53","0.2164","2016-4-25_2_20150525-gel3-4_Data"
"1: CandyCane","dyCane","8","-----","999.18","0.1334","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","1","47508.2","1108.06","0.1481","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","2","42786.9","1275.46","0.1529","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","3","41794.1","1120.7","0.1207","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","4","41500","800.72","0.0827","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","5","39245.9","411.24","0.0376","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","6","37401.6","176.26","0.0166","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","7","34532.8","48.01","0.0029","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","8","32278.7","-----","-----","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","9","29614.8","-----","-----","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","10","28293.6","-----","-----","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","11","26477.1","9.3296","0.0005","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","12","24862.4","25.16","0.0025","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","13","23449.5","32.14","0.0032","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","14","21733.9","68.84","0.0068","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","15","19917.4","198.54","0.0344","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","16","17814","191.06","0.0204","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","17","14372.1","522.2","0.1427","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","18","12325.6","693.02","0.1342","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","19","10279.1","566.97","0.085","2016-4-25_2_20150525-gel3-4_Data"
"2: ECOLI"," ECOLI","20","7860.5","116.09","0.0111","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","1","44360.7","55.05","0.0494","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","2","41500","73.95","0.0597","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","3","38836.1","84.44","0.0573","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","4","35557.4","132.54","0.0932","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","5","32278.7","109.44","0.0786","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","6","16325.6","47.03","0.0418","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","7","15116.3","62.5","0.0415","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","8","14000","33.75","0.0181","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","9","9534.9","186.78","0.1069","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","10","7581.4","150.42","0.2333","2016-4-25_2_20150525-gel3-4_Data"
"3: 11-19N1S2","19N1S2","11","4883.7","174.33","0.2202","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","1","40680.3","273.5","0.2746","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","2","37196.7","249.22","0.1366","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","3","20825.7","70.8","0.0629","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","4","19412.8","117.55","0.1195","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","5","9162.8","74.2","0.0974","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","6","7395.3","126.88","0.0861","2016-4-25_2_20150525-gel3-4_Data"
"4: 12-19N3S4","19N3S4","7","4604.7","181.8","0.2228","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","1","53409.8","52.7","0.082","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","2","41295.1","14.68","-----","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","3","37606.6","2.6985","-----","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","4","18201.8","52.24","0.0809","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","5","15767.4","6.8733","-----","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","6","13907","49.65","0.0283","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","7","9534.9","143.34","0.1168","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","8","7209.3","156.35","0.2562","2016-4-25_2_20150525-gel3-4_Data"
"5: 13-19P4S5","19P4S5","9","4418.6","223.99","0.4898","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","1","57344.3","258.09","0.04","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","2","51836.1","282.87","0.1665","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","3","47901.6","232.33","0.0642","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","4","43180.3","161.27","0.0361","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","5","41705.9","99.18","0.0263","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","6","28394.5","43.76","0.016","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","7","25770.6","44.34","0.0198","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","8","21330.3","77.38","0.0283","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","9","19211","214.3","0.1095","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","10","15767.4","194.44","0.0856","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","11","9534.9","255","0.0713","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","12","7488.4","247.35","0.1719","2016-4-25_2_20150525-gel3-4_Data"
"6: 14-19P2S2","19P2S2","13","4697.7","221.6","0.1645","2016-4-25_2_20150525-gel3-4_Data"
"7: 15-01P2S2","01P2S2","1","3116.3","509.83","1","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","1","74000","425.6","0.1383","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","2","41735.3","203.38","0.0299","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","3","40680.3","1060.52","0.1568","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","4","37606.6","928.85","0.2787","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","5","23348.6","44.01","0.0051","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","6","21229.4","95.14","0.0373","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","7","9534.9","145.96","0.0194","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","8","8604.7","217.83","0.0294","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","9","7395.3","336.88","0.1119","2016-4-25_2_20150525-gel3-4_Data"
"8: 16-01N2S3","01N2S3","10","4511.6","437.38","0.1933","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","1","65606.6","402.06","0.0641","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","2","63245.9","477.13","0.0904","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","3","59311.5","527.76","0.0895","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","4","56163.9","529.82","0.1018","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","5","52229.5","386.35","0.0607","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","6","48295.1","265.38","0.0388","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","7","43180.3","173.48","0.0196","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","8","41764.7","128.24","0.0154","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","9","32893.4","167.36","0.0304","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","10","28596.3","186.45","0.0274","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","11","25972.5","273.61","0.0429","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","12","21733.9","200.49","0.0256","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","13","19614.7","432.15","0.0719","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","14","15953.5","374.49","0.0501","2016-4-25_2_20150525-gel3-4_Data"
"9: 113-21P2S1","21P2S1","15","9534.9","271.73","0.0216","2016-4-25_2_20150525-gel3-4_Data"
