"band.point","fluorescence"
0.1083,30.6767590849591
0.4831,74.1386116996034
0.7246,51.9872389677632
1.266,196.820335076426
1.3409,184.852953277113
1.4325,136.221403244731
1.5242,90.2297736156499
1.6241,61.3239540964865
1.7157,46.3139811656695
1.7407,46.5681588176495
1.849,43.211819998245
1.9656,41.0671744405605
2.0988,38.2196069944807
2.2154,35.5537436847453
2.3903,41.1116584638055
2.5153,46.5242455005191
2.7152,62.2474086417903
2.8318,66.9016254438964
3.1399,33.5958796617383
3.4814,22.2772029727438
3.5647,22.3410342819332
