"band.point","fluorescence"
0.2359,37.0478956181587
0.396,37.5245261794625
0.5308,38.5053454668005
0.6319,38.9060451889199
0.733,39.4467764745132
0.9015,43.4251794915914
1.0026,39.5286507235417
1.1711,39.6077274791957
1.2974,37.8809888833687
1.4828,37.8836623640916
1.5754,40.0452878946941
1.6681,37.1291512517369
1.8787,36.4768176442973
2.0472,35.5738405631118
2.2157,34.7942964725503
2.3505,32.8188581671997
2.4095,32.3239418621183
2.519,33.2843429156786
2.6201,33.9608775567893
2.7212,33.1957293454421
2.856,33.9206755646296
2.9571,32.7350155505443
3.0666,37.487830474305
3.3278,44.1900158489421
3.4963,41.5588653311744
3.6227,104.712258484496
3.7406,71.8327519267189
4.2208,248.722556737765
