"band.point","fluorescence"
0.125,15.5142111904639
0.3583,18.9240296436432
0.425,17.7091695953842
0.575,19.2270369300868
0.6916,23.795934458551
0.7916,20.8723775377746
0.8666,19.2391352016055
1.0333,13.4676581782397
1.2249,16.533910531878
1.4332,57.4928713376198
1.7499,15.0401330955962
1.8166,15.0059624135793
1.9415,17.6599875529167
2.2249,54.0265166863635
2.3165,46.978326959354
2.5332,10.0604363693759
2.6832,9.91560755298196
2.8415,10.8915734872843
2.9248,52.3804455211251
3.0415,78.8859757201871
