"band.point","fluorescence"
0.177,27.2320205595305
0.236,27.4551961136523
0.3034,27.752802321524
0.8174,20.2055646516192
1.618,137.917451643179
1.896,130.626143808473
2.4269,252.945871989543
2.5955,102.276355818895
2.764,55.9268155965348
2.8061,55.8367097246765
3.1179,62.9291166680274
3.2949,48.4575967995768
3.691,45.0701680666759
3.9606,45.7425265281957
4.3904,74.264873503911
4.6685,39.5176185797722
4.7106,39.1413987715577
4.9213,225.375696416345
5.1067,41.4294582143332
5.2331,39.9797985341367
5.6038,41.1904196003819
