"band.point","fluorescence"
0.3707,52.5334451016897
0.556,65.1048198460492
1.0194,66.2673307355378
1.4491,112.572206883725
1.5333,120.605088989588
1.7102,47.9279670565967
1.7692,47.6333097428788
2.0388,41.1126873484277
2.2157,41.230718358234
2.359,43.5172118212433
2.5612,60.9899243931659
2.7128,78.1180543955402
2.9908,50.4349622962465
3.1256,50.7728624334305
3.3699,39.6260021609943
3.4289,39.4762626864686
3.5721,91.608668377828
3.7154,80.9923393726334
3.7491,81.0023326299415
3.8586,75.9722261634363
3.9681,77.0648601969098
