"band.point","fluorescence"
0.1432,56.4915933800419
0.1685,56.4040689832418
1.0026,128.668686487621
1.07,127.416890180323
1.1626,110.26074090009
1.2637,90.8726192758277
1.4659,62.7848707377718
1.567,50.9154239903202
1.8113,59.6449070496493
1.9798,59.2640375521953
2.0725,56.1743891085385
2.2157,58.1964189863246
2.3758,43.5143311555334
2.5696,63.3745843564848
2.7549,107.71030189855
2.9234,44.5865546708561
3.0498,94.5668161666269
3.4963,35.3844683213304
3.6058,109.693207295715
3.7659,105.773225402582
4.0018,78.9596690518343
