"strain.list","band.list","peak.list"
"CCMW",0.0583,249.528787733239
"CCMW",0.2083,95.7121271286707
"CCMW",0.35,82.4919349028038
"CCMW",0.6,253.702614173983
"CCMW",0.7416,91.6199016260991
"CCMW",0.9166,43.8551246652243
"CCMW",1.0166,41.2968655975141
"CCMW",1.1249,41.1134681650729
"CCMW",1.3999,28.3859574772619
"CCMW",1.5582,24.4320207973424
"CCMW",1.6332,24.2511249725167
"CCMW",1.6916,24.5240249151628
"CCMW",1.7916,26.1489700913947
"CCMW",2.0499,46.3507316034221
"CCMW",2.4249,203.561069076553
"CCMW",2.6998,27.6311680592925
"CCMW",2.8332,25.9224577774025
"CCMW",2.9165,20.7064208352698
"CCMW",3.2081,85.6490844504462
"O55:B5",0.4416,128.94013110487
"O55:B5",0.5166,150.598361931746
"O55:B5",0.6,135.209770127945
"O55:B5",0.6916,104.480163812623
"O55:B5",0.775,67.2341396104457
"O55:B5",0.8749,46.2326812101942
"O55:B5",0.9749,32.4672597349189
"O55:B5",1.0749,24.035723393621
"O55:B5",1.1749,19.5519706134032
"O55:B5",1.2916,18.6920967459862
"O55:B5",1.4082,18.6153621627218
"O55:B5",1.5332,21.2491229181872
"O55:B5",1.6499,21.6375463725294
"O55:B5",1.7832,24.5904069138225
"O55:B5",1.9165,31.3766516402013
"O55:B5",2.0999,29.378817333887
"O55:B5",2.3999,45.1759406669973
"O55:B5",2.5748,61.2325382117909
"O55:B5",2.7915,81.166612960975
"O55:B5",2.9665,17.7159060337915
"O55:B5",3.0248,17.2935024271122
"O55:B5",3.0581,17.2626324578261
"O55:B5",3.2165,13.8908985437354
"7803",0.125,15.5142111904639
"7803",0.3583,18.9240296436432
"7803",0.425,17.7091695953842
"7803",0.575,19.2270369300868
"7803",0.6916,23.795934458551
"7803",0.7916,20.8723775377746
"7803",0.8666,19.2391352016055
"7803",1.0333,13.4676581782397
"7803",1.2249,16.533910531878
"7803",1.4332,57.4928713376198
"7803",1.7499,15.0401330955962
"7803",1.8166,15.0059624135793
"7803",1.9415,17.6599875529167
"7803",2.2249,54.0265166863635
"7803",2.3165,46.978326959354
"7803",2.8415,10.8915734872843
"7803",2.9248,52.3804455211251
"7803",3.0415,78.8859757201871
"01N3S3",0.0917,12.5818526547658
"01N3S3",0.175,13.3316296561761
"01N3S3",0.2833,14.6309609137092
"01N3S3",0.35,16.0772544040031
"01N3S3",0.5666,25.7230852171165
"01N3S3",0.8916,24.8410630601073
"01N3S3",1.0499,15.3459708229684
"01N3S3",1.1333,14.981457275307
"01N3S3",1.4582,59.3782095581646
"01N3S3",1.7166,19.4380065552615
"01N3S3",1.7916,14.9466129741406
"01N3S3",1.8416,15.172581887716
"01N3S3",2.1082,20.7201837279128
"01N3S3",2.1249,20.7243982389
"01N3S3",2.2415,54.9444629938962
"01N3S3",2.3415,51.2939817416986
"01N3S3",2.5832,13.2237281301019
"01N3S3",2.7748,22.2372684305485
"01N3S3",2.9248,68.108134750789
"01N3S3",3.0498,103.09576921179
"01P5S1",0.0833,14.2106878931678
"01P5S1",0.15,14.3542604196944
"01P5S1",0.3583,17.1620977913825
"01P5S1",0.4416,14.7384751923873
"01P5S1",0.4583,14.7358289091031
"01P5S1",0.5666,14.8683531882108
"01P5S1",0.6166,14.7819247815822
"01P5S1",0.7166,15.7493736055618
"01P5S1",0.7916,14.7932450571679
"01P5S1",0.8666,14.470944576883
"01P5S1",0.9416,13.6011316112773
"01P5S1",1.0499,13.1345847578324
"01P5S1",1.1249,12.7979367115828
"01P5S1",1.1999,13.7918703444958
"01P5S1",1.3083,12.6333547891174
"01P5S1",1.4332,18.3842019986668
"01P5S1",1.6916,13.0553432975829
"01P5S1",1.7582,13.5450607541767
"01P5S1",1.9415,14.9803877752657
"01P5S1",2.0165,14.4892893872029
"01P5S1",2.0999,14.3476078624577
"01P5S1",2.2415,32.300684531044
"01P5S1",2.3415,22.8793266057571
"01P5S1",2.5082,11.6314252475829
"01P5S1",2.5498,11.4967602726213
"01P5S1",2.6415,11.0897574785095
"01P5S1",2.7582,21.2918647721215
"01P5S1",2.9165,38.458694173765
"01P5S1",3.0415,35.0823799145914
"21N5S5",0.0583,41.7026747204823
"21N5S5",0.5,56.3507197379726
"21N5S5",0.65,53.8961273165246
"21N5S5",0.8833,143.842686858419
"21N5S5",0.9749,154.552221470974
"21N5S5",1.2416,59.6159192298104
"21N5S5",1.4832,40.4329276876192
"21N5S5",1.7832,55.8102645296886
"21N5S5",1.9749,55.2984983555564
"21N5S5",2.1415,80.9557645004016
"21N5S5",2.5332,62.1238870318632
"21N5S5",2.6332,43.2517781959409
"21N5S5",3.0415,106.480536182679
"21N5S5",3.1915,119.650749862898
"21P2S2",0.125,55.85169339304
"21P2S2",0.2667,65.0952257915662
"21P2S2",0.3166,69.1268795727439
"21P2S2",0.3833,67.232244595305
"21P2S2",0.4583,56.1681046560902
"21P2S2",0.5416,44.7172673763959
"21P2S2",0.6166,36.819856020829
"21P2S2",0.7166,32.9825529316137
"21P2S2",0.8416,29.3411071058079
"21P2S2",1.0499,29.9109632987964
"21P2S2",1.1999,35.6384783472241
"21P2S2",1.3416,45.0561328436937
"21P2S2",1.5416,54.1910540449007
"21P2S2",1.8915,31.0277184982674
"21P2S2",2.0665,53.7919217489481
"21P2S2",2.3582,54.3234983450574
"21P2S2",2.9165,11.3912867978144
"21P2S2",3.0748,46.0656503074475
"21P2S2",3.1498,57.5276244516948
"21P3S2",0.1167,44.1462294657266
"21P3S2",0.3083,39.8047013956351
"21P3S2",0.4833,43.3531203501953
"21P3S2",0.5416,43.4608808961912
"21P3S2",0.6916,35.6949339787123
"21P3S2",0.7666,37.1558552757028
"21P3S2",0.8583,53.4046892198568
"21P3S2",0.9499,44.5013795079948
"21P3S2",1.1333,23.4278135014002
"21P3S2",1.2083,23.9751868619775
"21P3S2",1.3582,25.7197269232907
"21P3S2",1.5582,25.9162991637337
"21P3S2",1.7582,18.6653001307101
"21P3S2",1.8915,20.1327759386957
"21P3S2",2.0749,32.455565394416
"21P3S2",2.3665,29.937095370863
"21P3S2",2.4582,29.4496087556586
"21P3S2",3.0665,50.8893805454991
"21P3S2",3.1831,66.3675000172497
"21P4S3",0.2,54.7262764907478
"21P4S3",0.4416,77.8512176485943
"21P4S3",0.5166,74.5364888563504
"21P4S3",0.5916,61.5900391827604
"21P4S3",0.7166,50.2943321391552
"21P4S3",0.8416,67.9377232510102
"21P4S3",0.9499,58.2089261932938
"21P4S3",1.1499,31.2868471417404
