"band.point","fluorescence"
9,62.01173723495
25,61.5715431026701
42,63.3472155548953
51,63.9801987611954
60,59.4892503640906
73,54.3835399418068
85,64.4241786727248
97,106.599405356429
110,97.2240944059732
136,52.4136297776474
160,55.9129727503014
187,57.2326705652255
216,46.6481556593311
223,45.8152623276177
226,45.7504122296268
269,104.596112690253
314,118.194707475327
366,36.882183945845
382,35.684658333341
394,35.2423984271104
402,35.2598714698913
407,35.5247531283449
411,35.6251147172533
430,37.0728849121494
434,37.078650697525
