"band.point","fluorescence"
0.1666,22.8811094906759
0.2665,26.2023261250749
0.3665,23.8050694398692
0.4581,22.6571612342391
0.558,23.8639111202485
0.7413,26.6066837667175
0.8245,26.0543641617763
0.9745,29.3485553791421
1.0911,31.1044022036275
1.191,32.7265194058446
1.2993,34.3557145731766
1.3909,35.6087405098136
1.4742,37.8667781292046
1.5741,40.8272828265574
1.6907,50.0936693868244
1.8073,42.8943099774793
1.9073,29.7126424875578
2.1238,29.3408970575731
2.1821,28.2771405465782
2.3903,23.7222641683746
2.6402,27.589609381091
2.8984,33.2592826952066
2.9983,41.3697953488331
3.2149,26.6513888543815
3.2898,20.5864256374678
3.3481,20.5089843275471
3.4897,21.9431865457772
