"band.point","fluorescence"
0.1999,30.342640725281
0.4581,22.0514340938135
0.558,23.2477302547669
0.7496,25.1781705437937
0.8662,28.0007864102436
0.9328,25.9674937526674
1.0827,25.2850678565171
1.166,24.3000852337486
1.2243,24.6335024204557
1.3909,23.107479764776
1.4908,24.0564750756646
1.5658,25.4609660662113
1.6657,24.7789977668805
1.8073,21.8851676888637
1.8823,22.1882383878981
1.9822,21.3850208520719
2.0405,21.2787794041373
2.1821,21.4457777584425
2.2987,22.0426556858046
2.5069,20.5651215291782
2.6069,20.7787323847837
2.6818,20.588061937952
2.7568,21.7776438764454
2.8318,22.7151908387511
2.9484,22.5170122950647
3.0733,32.4652597899565
3.4064,20.0104622854147
3.5397,19.449181894893
