"band.point","fluorescence"
0.0916,29.0522456488486
0.1666,29.7885671468844
0.3748,33.0094362209378
0.583,32.8663337798152
0.6746,33.8225864339304
0.9994,40.3268305680394
1.0911,41.4879185198274
1.1827,38.5472332021328
1.1993,38.5384795242335
1.6574,28.3732546485953
1.7407,27.0321837128024
1.8656,28.5625393406992
2.0239,26.9834256138571
2.0822,27.5454740467467
2.1821,27.9678116253495
2.2404,28.3287321037052
2.3154,27.1689030091351
2.4153,27.3977708558886
2.5153,26.652571838006
2.6902,25.4486406706418
2.7735,25.0724081094545
2.8567,24.757608067386
3.04,35.4151970790983
3.1316,32.9067850946582
3.4481,24.416947222037
