"band.point","fluorescence"
0.0927,39.6732334138467
0.1938,43.0537947276283
0.5729,49.9409983034897
0.9857,76.446329247492
1.3395,62.6527000685557
1.4406,63.7200518647789
1.5333,57.7265117033645
1.8703,44.8681086717191
2.0557,40.0699325372807
2.1399,39.5778819794557
2.3253,38.0023001725092
2.4179,42.7502989920294
2.7718,63.7526920975921
3.0329,53.7564210025026
3.193,69.7496898986856
3.3194,44.9726404170043
3.4626,37.2589423124949
3.5974,97.9204108054599
3.7912,90.1641023098731
4.0355,85.3731291125595
