"band.point","fluorescence"
0.075,28.9527847737703
0.0916,28.8973969866387
0.1666,31.1997370191842
0.2415,30.3396805551435
0.4081,24.3479252269706
0.4747,23.6499372444743
0.5497,25.1227754514141
0.6247,25.8217247064561
0.7163,26.1097974118916
0.8162,26.7533728596963
0.9162,26.3025612282665
0.9745,26.2068325242868
1.0661,27.6939819814124
1.166,26.4789286083603
1.2243,26.1146482198383
1.3826,26.434132850468
1.4659,25.7621423944761
1.5491,25.7565713959526
1.6408,26.6342271674786
1.724,27.1226929599049
1.8073,26.2740412105051
1.9073,26.1618560908918
1.9906,27.4494885761925
2.0655,29.0571525678638
2.2821,32.575220154948
2.4653,30.4920507014677
2.6402,24.8794882095806
2.7318,23.4674568499778
2.8901,22.0891032879507
2.9317,22.4604394553557
3.09,38.0068890206025
3.3481,23.0063361849794
